<1>	Msimu wa sikuu unavyotoa fursa ya biashara kwa bidhaa za teknolojia	celebration seasons brings business opportunities for technological products
<2>	Msimu wa sikukuu umewadia.	the season of celebrations has arrived.
<3>	Kama kawaida huu ni wakati ambao marafiki, ndugu na jamaa hununuliana zawadi ikiwa ni moja ya utamaduni wa ukarimu na kupongezana kwa Mungu kutujalia kufika mwisho wa mwaka tukiwa salama.	as usual this is the time that friends, siblings and family buy gifts for each other because it is one of the generous traditions to thank God who let us reach the end of the year safely.
<4>	Miaka ya nyuma sehemu kubwa ya zawadi zilikuwa ni mazao ya kilimo na mifugo kama mbuzi, kuku au ng'ombe.	years back, a large percentage of gifts were farm produce such as cattle, goats, chicken or cows.
<5>	Ulikuwa ni ufahari na hadi sasa inabaki kuwa alama ya utajiri tulio nao katika mila na tamaduni nyingi nchini.	it was a proud thing and up to now, it remains a sign of wealth in our many culture and traditions that we have in the country.
<6>	Hata hivyo, mabadiliko ya teknolojia na ukuaji wa miji yameingiza aina mpya ya zawadi: vifaa vya elektroniki.	even so, changes in technology and growth of towns have introduced new types of gifts: electronic devices.
<7>	Wengi wanapenda kununua vifaa hivyo kwa ajili ya zawadi kutokana na umuhimu wake katika dunia ya sasa.	many love to buy devices as gifts because of their usefulness in the current world.
<8>	Miongoni mwa bidhaa zinazopendwa zaidi ni simu, tabiti, saa za mkononi na ukutani, wanasesere, taa za rangi na nakshi kwa ajili ya mapambo, kompyuta mpakato, king'amuzi, `games' (vifaa vya michezo), redio, spika za masikioni au televisheni.	among the products that are loved better are phones, tablets, hand watches and wall clocks, child's toy, decorated lamps for decorations, laptops, decoders, 'games' (games device), radio, earphones and televisions.
<9>	Vifaa hivi vinaweza kuwa zawadi kwa rika zote.	these devices can be gifts to any age.
<10>	Hazibagui.	they do not discriminate.
<11>	Wazee tunaona wanapatiwa simu za kisasa ambazo bibi yangu huita "za kupapasa."	we see the elders being given the latest phones which my wife calls "for groping"
<12>	Hata kama ni teknolojia mpya kwao, `wanapambana' nazo na kuzizoea.	even though it is new technology to them 'they are struggling' with them and getting used to them.
<13>	Watoto wanapatiwa wanasesere au vifaa vya michezo vya kielektroniki.	children are given children's toys or electronic games devices.
<14>	Vijana wa umri wa kati ambao wapo vyuoni au shuleni huenda wakapatiwa kompyuta mpakato, kifaa cha kuwekea taarifa (flash disk) au spika za masikioni.	young adults who are in college or schools may be given laptops, storage device (flash disk) or earphones.
<15>	Mahitaji haya ya zawadi ni fursa kwa wafanyabiashara wa vifaa hivyo.	the demand for gifts is a business opportunity for businesspeople of these devices.
<16>	Kadri miaka inavyokwenda zawadi hizo nazo zinazid kuwa maarufu.	as more years pass, these gifts also increase in popularity.
<17>	Kampuni za huduma za simu zimeshaona fursa hiyo na kutoa punguzo la bei kwa wateja.	cell phones service companies have seen this opportunity and introduced discounts for their customers.
<18>	Yapo pia baadhi ya maduka ya vifaa yanatoa ofa hizo.	there are also some shops of these devices that are offering these offers.
<19>	Orodha ya vifaa hivyo vya elektroniki vinavyowekwa kwenye ofa inazidi kuongezeka.	lists of electronic devices put on offers continue to increase.
<20>	Hii ina maanisha nini kwa wananchi wa kawaida?	what does this mean to average citizens?
<21>	Kwa kuwa msimu kama huu unatarajiwa kila mwaka, ni vyema wananchi wakainisha aina ya vifaa wanavyohitaji na kubajeti ili wavinunue kwa bei nafuu.	because a season like this is expected every year, it is good for citizens to underline the devices they need and budget so that they can buy them at a low price.
<22>	Punguzo la asilimia 10 au 15 ni nafuu kubwa hasa kwa wananchi.	discounts of 10 or 15 percent is a big relief particularly for citizens.
<23>	Hii pia inawasaidia wajasirimali.	this also helps entrepreneurs.
<24>	Jambo la msingi hapa ni kuhakikisha mfanyabiashara husika anabaini misimu ya sikukuu au maonyesho yanayohusisha punguzo la bei ili afanye ununuzi huo vyema.	the basic thing here is to ensure the businessperson involved recognizes the celebration season or shows that they are involved in price discounts so that they do the buying well.
<25>	Fursa za punguzo la bei haliwapi faida tu wanunuzi.	price discount opportunities do not only profit buyers.
<26>	Wafanyabiashara nao wanatakiwa kutumia msimu huo kuuza bidhaa zao.	businesspeople are also required to use that season to sell their products.
<27>	Wajasiriamali wa bidhaa za kielektroniki kama mashine zinazotumiwa na viwanda vidogo vidogo au watengenezaji wa programu za kompyuta nao wanafaa kutoa punguzo ili wapate wateja wengi.	entrepreneurs of these electronic devices, like machines used by small enterprises or makers of computer programs, should also offer these discounts so that they can get many customers.
<28>	Pia, hii ni fursa kwa wajasiriamali hao kubuni vifaa rahisi ambavyo vinaweza kuwa zawadi nzuri msimu huu wa sikukuu badala ya kutumia bidhaa zilizoingizwa kutoka nje.	this is also an opportunity for those entrepreneurs to invent cheap devices that are can be good gifts in the celebration season instead of using imported products.
<29>	Naiona fursa hapa.	I see an opportunity here.
<30>	Jaribu kufikiria wachonga vinyago au wasuka urembo wa mikeka wakiweka nakshi za kielektroniki katika kazi zao itakuwaje.	try to think of carvers of sculptures or decorative mat-weavers, if they put electronic decorations in their work, how would it be.
<31>	Mfano, kinyago kikachongwa vyema na kuwekewa kama sehemu maalumu ya kuweka simu ya mezani ofisini au nyumbani, unafikiri mtu akipatiwa zawadi hawezi kufurahia?	for example, a statue carved well and used like a special place for putting a phone on a table in the office or at home, do you think if someone is given a gift, he can't be happy about it?
<32>	Mimi siyo mchongaji ila naiona fursa hapo ambayo inaweza kufanywa kwa ushirika baina ya wajasiriamali wa vifaa vya asili na wale wanaojihusisha na teknolojia ya habari na mawasiliano (Tehama).	I am not a carver but I see an opportunity there which can be done in partnership between entrepreneurs of traditional items and those that deal in information and communication technology.
<33>	Zipo fursa nyingi zaidi ya mfano huo ambazo zinaweza kutengenezwa na kuwa zawadi nzuri wakati wa msimu wa sikukuu.	there are a lot of opportunities of that type which can be made to become good gifts at the time of the celebration season.
<34>	Hi isiyo itachochea ukuaji wa teknolojia nchini bali itapunguza utegemezi wa bidhaa za nje ambazo zimekuwa zikiuzwa kwa bei chee na kukatisha tamaa wajasiriamali wa ndani.	this feeling will encourage technological growth in the country but will reduce dependency on imports that have been sold at low prices, causing the domestic entrepreneurs to give up.
<35>	Lakini kuzalisha bidhaa hizo tu haitoshi.	but the production of only those products is not enough.
<36>	Wafanyabiashara wabunifu wanaweza wakabuni halafu Watanzania tukashindwa kununua.	creative businesspeople can invent but Tanzanians are then unable to buy.
<37>	Ni lazima hii iende sanjari na kubadili fikra, kilio changu cha kila siku.	this must be accompanied by a change of mindset, my cry everyday.
<38>	Kama tukibadili fikra tutashinda.	if we change our mindset, we will win.
<39>	Hata wakati tukibadili fikra, wajasirimali wetu nao wajiongeze katika ubora wa bidhaa zao ili kuwe na thamani ya fedha.	even as we change our mindset, our entrepreneurs also improve the quality of their products in order to get value for money.
<40>	Hii itafanya wajasiriamali na wananchi wajivunie bidhaa au huduma za nyumbani.	this will make entrepreneurs and citizens proud of the products or services at home.
<41>	Hakuna jambo linalotia faraja kuona watu wa nchi nyingine wanakuja kununua bidhaa za kiteknolojia nchini.	there is nothing that brings joy than seeing people from other countries coming to buy technological products in the country.
