<1>	Polisi tupieni jicho la tatu Mkuranga	police throw a third eye to Mkuranga.
<2>	Imeandikwa na Mhariri	written by the editor.
<3>	Imechapishwa: 24 Oktoba 2016	published: 24th October, 2016.
<4>	KATIKA siku za hivi karibuni Wilaya ya Mkuranga mkoani Pwani, imepata umaarufu kutokana matukio ya kihalifu, ambapo tumeshuhudia na kusikia matukio mengi ya kutisha ya kihalifu yakitokea kwenye eneo hilo.	in recent days, Mkuranga in the province of Pwani has gotten a reputation as a result of criminal incidents, and we have witnessed and heard of many horrifying criminal incidents happening in the area.
<5>	Matukio yanayotokea huko si ya kitoto, ni yale yanayohusisha silaha za moto ambapo wahalifu waliopo humo inaonekana ni wale wenye ujuzi wa mbinu za kijeshi na kuua kwao ni jambo dogo.	the incidents happening there are no child's play; they involve fiery weapons and criminals who appear to have expertise in military strategies and to whom killing is a minor thing.
<6>	Juzi tu, Jeshi la Polisi lilitoa taarifa za kujibizana kwa risasi na watu wanaosadikiwa kuwa majambazi waliokuwa kwenye nyumba moja ambayo imezungushiwa ukuta, lakini watu wake wanakaa ndani na hawajichanganyi na wakazi wa eneo hilo.	just the other day, the military police reported an exchange of fire with people believed to be criminals who lived in a fenced house, but stayed indoors and didn't mix with the residents of the area.
<7>	Katika tukio hilo, majambazi wanne waliuawa na polisi mmoja alijeruhiwa, huku silaha kadhaa zikikamatwa ikiwemo bunduki yenye namba MV.	in that incident, four criminals were killed and one police officer injured, with several weapons captured, including a gun number MV.
<8>	51516 R na risasi tano ndani ya magazini yake.	51516R and five bullets were found inside its magazine.
<9>	Risasi nyingine sita za bunduki zilikutwa ndani ya mfuko wa plastiki pamoja na risasi nane za bastola.	six more gun bullets were found inside a plastic bag together with four other rifle bullets.
<10>	Mbali na tukio hilo, pia kulisharipotiwa matukio kama hayo ya majambazi kurushiana risasi na polisi katika eneo la Vikindu huko Mkuranga na wahalifu hao ikaelezwa walikuwa wakijifungia kwenye nyumba isiyoisha yaani pagala na hawajichanganyi na majirani.	apart from this incident, there have also been reports of criminals exchanging gun fire with police in Vikindu, Mkuranga have also been reported, with the criminals locking themselves inside empty half-finished houses and not mixing with neighbors.
<11>	Mkuranga hiyohiyo kuliripotiwa kuuawa kwa polisi mmoja na wengine wawili kujeruhiwa katika kituo cha Polisi cha Mkamba na watu wanaodhaniwa kuwa majambazi na kupora bunduki tano na risasi 30.	in the same Mkuranga area, one police officer was reported to be killed and two others injured at the Mkamba Police Station by people thought to be criminals, who also stole five guns and 30 bullets.
