<1>	Aligeuza ploti kuwa shamba la mboga	he turned a plot to a vegetable farm.
<2>	NA MWANGI MUIRURI	by Mwangi Muiruri
<3>	KASISI wa kitengo cha Kikristo katika jeshi (KDF) Meja Francis Mutua Ndolo aliangalia mshahara wake wa Sh24, 000 akijumuisha marupurupu, kisha akafanya hesabu ya Sh45, 000 kwa mwezi alizokuwa akizoa kutoka sekta ya kilimo na mwaka wa 1995 akaamua kujitoa kutoka ajira ya kulinda nchi na kuwa mlishaji nchi kupitia kilimo.	a chaplain of the Christian section in the army (KDF), Major Francis Mutua Ndolo, looked at his salary of 24,000 shillings, together with his allowances, then he added the 45,000 shillings per month he was getting from the agriculture sector and in 1995, he decided to quit his job of defending the country and became a supporter of the country through agriculture.
<4>	Na katika kisa cha mvumilivu kuishia kula mbivu, mwanajeshi huyu alipambana na maisha, akipanda na kuteremka katika harakati hizo hadi kiwango cha sasa ambapo kwa mwaka anaunda faida ya kati ya Sh2.4 milioni na Sh3 milioni katika msimu wa miezi sita, kutegemea mazingara ya soko la mboga na matunda.	and in the story of the patient person who ended up eating the ripe fruit, this soldier dealt with life, climbing and coming down in those struggles until the level he's at now where he makes an annual profit between 2.4 million shillings and 3 million shillings in a season of six months, depending on the environment of the fruit and vegetable market.
<5>	Kwa sasa, Meja Mstaafu Ndolo huishi maisha ya utajiri huku akiwa pia mwalimu kwa wakulima chipukizi na ambapo huwaelekeza katika njia mwafaka za kugeuza ploti zao zisizo na nafasi za kilimo kugeuka kuwa mashamba yenye rotuba na ya kuwaundia pesa.	for now, retired Major Ndolo lives a life of wealth while also being a teacher to young farmers, leading them through the proper way to turn their plots which have no space for agriculture and turning them into fertile farms that make them money.
<6>	Katika maamuzi hayo, Bw Ndolo ambaye ni mfuasi wa dini ya Kipentekosti, alitamatisha huduma zake za miaka 15 katika jeshi na akaingilia kazi ya kilimo ambapo mwanzoni alikuwa akifuga kuku wa mayai na nyama.	in those decisions, Mister Ndolo, who is an adherent of the Pentecost faith, ended his 15-year service in the military and entered farming, starting with keeping chickens for eggs and meat.
<7>	Kutenganishwa na familia Kulingana naye, kazi hiyo ya kijeshi ilikuwa na `stresi' nyingi, yaani sumbufu, ambazo zilijumuisha kutenganishwa na familia yake kila mara alipotumwa katika kazi za kueweka amani katika mataifa ya ng'ambo na pia kuhangaika akingoja marupurupu ambayo kila mara yalikuwa yakipunguzwa na wakubwa wake kwa njia za ufisadi.	according to him, being separate from family in the military job caused a lot of 'stress', that is disturbance, which added to the separation from his family every time he was sent to peacekeeping work in countries abroad, and was also anxious while waiting for his allowances which was reduced many times by his seniors through corrupt means.
<8>	"Ndipo nilipata Sh270, 000 kama kitita cha kustaafu na hatimaye nikaingilia kazi ya kufuga kuku ambayo nilikuwa nimeianza mwaka wa 1989," asema.	"that's when I got 270,000 shillings as my lump sum for retirement and later I began the work of keeping chickens which I started in 1989," he says.
<9>	Mambo yalikuwa shwari katika biashara yake ambapo katika mikataba yake na soko, aliunda pesa kwa uepesi na akafanikiwa kujijenga kupitia masomo kwa wanawe wawili na pia kununulia familia yake ploti katika mtaa wa Baraka ulioko katika eneo la Landless, Thika, Kaunti ya Kiambu.	things were good in his business through his contracts with the market, so he made money quickly and successfully built him business through educating his two children and also through buying his family plots in Baraka estate that is in the landless area, Thika, in Kiambu.
<10>	Hata hivyo, changamoto kadha zilianza kumwandama katika sekta hiyo ya kuku ambapo ufisadi wa watengenezaji chakula walimtwika hasara ya kwanza ya takriban Sh180, 000 mwaka wa 1990 ambapo kuku 1, 000 walitaga mayai kwa mwezi mmoja tu na wakakoma kutaga tena.	even so, various challenges began following him in the chicken sector whereby the corruption of chicken feed manufacturers made him suffer losses, the first of approximately 180,000 shillings in 1990 where 1,000 chickens laid eggs for only one month and stopped laying after.
<11>	"Nilipofuatilia kiini cha tukio hilo lisilo la kawaida; nilifahamishwa na wataalamu kuwa chakula cha kuku sokoni kilikuwa kimedunishwa kupitia kuwekwa mchanga na chembechembe za mbao," asema.	"when I followed the core of the abnormal incident, I was informed by experts that the chicken feed in the market was made worthless by being mixed with sand and saw dust," he says.
