<1>	JICHO LANGU: Ajali: Kama ni ‘pepo’ tulikemee wote	my eye: accident: if it's a spirit let's all of us rebuke it.
<2>	Imeandikwa na Stellah Nyemenohi	written by Stellah Nyemenohi.
<3>	Imechapishwa: 25 Septemba 2016	published: 25th, September, 2016.
<4>	USAFIRI kwa njia ya barabara, umegeuka tishio kwa maisha.	travelling by road has turned out to be dangerous for life.
<5>	Wiki hii zimetokea ajali tofauti ambazo zimesababisha vifo vya zaidi ya watu 20.	this week various accidents have occurred causing the death of more than 20 people.
<6>	Basi la New Force linalofanya safari kati ya Dar es Salaam na Songea mkoa wa Ruvuma, limesababisha vifo vya watu 12 na majeruhi 30 baada ya kuacha njia na kupinduka.	the New Force Bus, which makes the journey between Dar es Salaam and Songea, Ruvuma province, has caused the deaths of 12 people and injured 30 after leaving the road and rolling.
<7>	Ajali nyingine iliyosababisha vifo vya watu wapatao 13 na zaidi ya 10 kujeruhiwa, ilitokana na basi la Super Shem ambalo liligongana na daladala katika kijiji cha Mwamaya katika eneo la Hungumalwa, mkoani Mwanza.	another accident that resulted in the deaths of 13 people and injured more than 10 was caused by the Super Shem bus which collided with a bus in the Mwamaya village in the area of Hungumalwa, Mwanza Province.
<8>	Zinapotokea ajali, mengi husemwa.	whenever accidents occur, a lot is said.
<9>	Kila mtu kwa mtazamo wake, hujaribu kueleza kinachochangia wimbi hili la ajali.	everyone will try to explain this wave contributing to the accidents with their own perspectives.
<10>	Miongoni mwa maoni yanayotolewa hujielekeza kuhoji sababu ya ajali kuendelea kuwapo licha ya wasimamizi wa sheria za barabarani kuwapo.	among the recommendations made is to focus on questioning the cause of these accidents despite traffic law managers being there.
<11>	Wengine hushutumu abiria kwa kutokuwa sehemu ya wadhibiti wa madereva wanaoendesha vyombo vya moto bila uangalifu.	others accuse passengers of not controlling drivers who drive vehicles without being careful.
<12>	Wakati mwendokasi na barabara mbovu vinatajwa kuwa chanzo, inashauriwa mfumo mzima wa uendeshaji kufumuliwa kuanzia aina ya madereva wanaofaa kubeba roho za watu.	while speed and poor roads are mentioned as the source, it is recommended that the entire driving system should be reformed starting with drivers who are entitled to carry humans.
<13>	Wapo wanaoshauri kuwepo sheria ya kulazimisha magari yote kila mwaka kufanyiwa uchunguzi wa kina na pia mabasi yasimamiwe na wataalamu kama vile Chuo cha Usafirishaji kupata leseni za kubeba abiria kwa mwaka huo.	there are those who advise that there should be a law which forces all vehicles to undergo an annual comprehensive inspection and for buses to be managed by professionals who have obtained a license at the college of transportation in order to carry passengers for that year.
<14>	Ajira na mikataba ni suala lingine linalotajwa ikishauriwa usafirishaji abiria usiachwe holela bali ziachiwe kampuni kubwa zenye uwezo na zitakazoweza kutoa huduma kwa wananchi na vyombo vya umma kama ilivyo treni.	jobs and contracts are other issues mentioned with the recommendation that transportation of passengers should not be given carelessly but left to bigger companies that will be able to provide services to citizens similar to the train.
<15>	Ikija suala la uwajibikaji wa abiria kudhibiti madereva, abiria pia wanabebeshwa mzigo kwa kutetea madereva wavunja sheria kwa kigezo cha kuchelewa.	regarding the issue of the passenger's responsibility in controlling drivers, the passengers are also burdened with speaking to drivers who break the law because they are late.
<16>	Mara nyingi, baadhi ya abiria hutetea uovu wa madereva na ajali ikishatokea, ndipo hufunguka kutoa lawama kwamba dereva alikuwa anaendesha vibaya.	many times, some passengers defend the incorrect actions of the drivers and open up to blaming the driver for driving recklessly after an accident happens.
<17>	Kwa ujumla, ajali hizi za mfululizo, zinachanganya akili za watu.	in general, these continuous accidents confuse people's brains.
<18>	Imefika hatua, wengine wamekwenda mbali na kuzihusisha na masuala ya kiimani.	it has reached a point where others have gone as far as relating them with matters of faith.
<19>	Wengine wakidai ni makafara.	others claiming it is sacrifices.
<20>	Wengine wakidai kuna ‘vibwengo’ wanaosababisha ajali.	others claim there are demons causing the accidents.
<21>	Kwa wenye mtazamo wa kiimani, hitimisho lao ni kuomba na kuombea taifa liepukane na janga hili.	for those with a perspective on faith, their conclusion is to pray and pray for the nation to stop this disaster.
<22>	Hata hivyo hakuna maoni ya kupuuza.	however, there are no opinions to ignore.
<23>	Lolote lawezekana.	anything is possible.
<24>	Hata hayo ya kiimani, ingawa ni vigumu kuthibitisha, si vibaya viongozi wa dini na wananchi kwa ujumla, kila mtu kwa imani yake kuomba bila kukoma matukio haya yakome.	even the ones about faith, though hard to confirm, it is not bad for religious leaders and the citizens in general and everyone in their faith to continue praying for these incidents to stop.
<25>	Umefika wakati kwa mamlaka kubana wamiliki kuajiri madereva wanaoeleweka kwa ajili ya mabasi ya abiria.	the time has come for authorities to pressure owners to employ drivers who understand the rules for the sake of these passenger buses.
<26>	Udereva usiishie kwenye kuwasha gari, kushika usukani, kukanyaga mafuta na kushika breki.	driving shouldn't end with starting the car, holding the steering, stepping on the fuel and breaking.
<27>	Bali wawe ni watu wenye utu na ubinadamu utakaowasukuma kuzingatia kanuni za barabarani.	but they should be people with kindness and humanity that can push them to focus on the road rules.
<28>	Dereva lazima aendeshe gari akiwa katika afya nzuri kwa maana asiwe mgonjwa au amechoka.	a driver must drive a vehicle while in good health, meaning he shouldn't be sick or tired.
<29>	Zaidi anashauriwa anapojisikia kuchoka wakati wa kuendesha, atafute sehemu salama ya kusimama na kupumzika.	instead, if he feels tired while driving, he's advised to find a safe place to stop and rest.
<30>	Anapaswa apumzike kwa dakika 30 kila baada ya kuendesha kwa saa tatu.	he's supposed to rest for 30 minutes after every three hours of driving.
<31>	Hapaswi kuendesha kwa zaidi ya saa tisa kwa siku.	he shouldn't drive for more than nine days in a day.
