<1>	Ukubwa, ubabe na utata wa Shell	the might, brutality and controversies of Shell
<2>	Oct 02, 2013	October 02, 2013
<3>	KUFAHAMU ukubwa wa kampuni ya mafuta ya Royal Dutch Shell ambayo inaonekana itapewa mkataba wa kutafuta na kuchimba mafuta visiwani Zanzibar, ni vema kufahamu kwamba mwaka jana ilipata mapato ambayo ni takribani mara 30 ya mapato iliyopata kampuni kubwa zaidi ya dhahabu duniani, Barrick Gold.	to know the might of Royal Dutch Shell which seemingly will be given a contract to explore and extract oil in Zanzibar, it is good to know that last year it had an income almost 30 times the income of the largest gold company in the world, Barrick Gold.
<4>	Barrick ndiyo ambao wanamiliki migodi yote mikubwa ya madini ya dhahabu Tanzania na barani Afrika kwa ujumla.	Barrick are the owners of all large gold mines in Tanzania and in Africa in general.
<5>	Popote ambapo kuna dhahabu nyingi, kampuni hii ya Canada ipo.	wherever there is a lot of gold, this Canadian company is there.
<6>	Hii ndiyo kampuni ambayo iliwahi kutaka kumzuia aliyekuwa Waziri wa Mambo ya Ndani, Hamis Kagasheki, asiingie katika mojawapo ya migodi yao mkoani Mara.	this is the company that once wanted to obstruct former minister for local affairs, Hamis Kagasheki, from getting into one of their gold mines in the Mara province.
<7>	Barrick ndiyo kampuni ambayo iliwahi kumwaga maji yenye madini ya zebaki katika mto Tigithe wilayani Tarime na kusababisha vifo na matatizo ya kiafya kwa viumbe hai, wakiwamo binadamu na wanyama, vilivyotumia maji hayo na hakuna aliyewafanya kitu.	Barrick is the company that once poured water with mercury into the river Tigithe in the Tarime district which resulted in deaths and health problems to many living creatures including humans and animals that used the waters though no one did anything to them.
<8>	Lakini, kwa jeuri yote ambayo Barrick wanayo, hawafui dafu kwa Shell.	but for all the rudeness Barrick have, they cannot beat Shell.
<9>	Kama ilikuwa vigumu kupambana na Barrick kwa namna yoyote ile, itakuwa vigumu mara 30 kupambana na Shell kutokana na nguvu ya kiuchumi na historia ambayo tayari imejijengea.	if it was difficult to deal with Barrick in any way, it will be 30 times harder to deal with Shell because of the economic might and history they have already built themselves.
<10>	Ukubwa wa Shell	the greatness of Shell
<11>	Januari mwaka huu, jarida maarufu la masuala ya kiuchumi la Marekani la Forbes, lilitoa orodha ya makampuni 500 makubwa zaidi duniani na kampuni hii inayotarajiwa kuja kuwekeza hapa nchini (kama Tanzania na Zanzibar zitabaki kuwa nchi moja), iliibuka namba moja.	in January this year, the American economic magazine, Forbes, listed 500 greatest companies in the world and this company, which expects to come and invest here in the country (if Tanzania and Zanzibar will remain to be one country), emerged number one.
<12>	Fikiria kampuni yoyote kubwa unayoifahamu hapa duniani lakini bado itakuwa iko chini ya Shell.	think of any big company you know in the world but it will still be under Shell.
<13>	Kueleza namna mapato ya Shell yalivyokuwa ya kushangaza, kiasi ilichoingiza kwa hesabu za Januari mwaka huu kilikuwa sawa na asilimia 84 ya kile kinachokusanywa na serikali ya Uholanzi (nchi iliyoendelea).	to explain how Shell's income was surprising, the amount it made in the account of January this year was equal to 84 percent of that collected by Holland's government (a developed country).
<14>	Kampuni hii inafanya shughuli zote zinazohusiana na biashara ya mafuta na gesi.	this company does everything related oil and gas business.
