<1>	Na MWANDISHI WETU	by our writer
<2>	BINADAMU yeyote anahitaji kuishi maisha bora na yenye tija ikiwa ni pamoja na kuepuka majanga mbalimbali.	any human being needs to live a better and productive life which includes avoiding various disasters.
<3>	Ajali na maradhi ni kati ya majanga yanayowapata binadamu na wakati mwingine ikawa vigumu kuyazuia kutokana na asili yake.	accidents and illnesses are among the disasters that attack human beings and they can sometimes be difficult to prevent as a result of their nature.
<4>	Lakini je, ni namna gani binadamu anatakiwa kujipanga kukabiliana na hali kama hiyo inapotokea?	but how is a human being supposed to organize themselves to deal with such a situation when it comes up?
<5>	Kampuni ya simu za mkononi ya Tigo inatajwa kuwa na sifa moja kubwa ambayo ni ubunifu.	the Tigo cell phone company is mentioned to have one main quality which is innovation.
<6>	Sifa hiyo huenda imeipa jina kubwa kibiashara na kujipatia watumiaji wengi wa mtandao huo, na huduma zake nyingine.	this reputation may well give you a bigger name and provide it to many users of the internet and its other services.
<7>	Miaka mitano iliyopita, kampuni hiyo kwa kushirikiana na Kampuni ya Milvik Tanzania ilianzisha huduma ya bima ya afya inayoitwa BimaMkononi.	five years ago, the company, in partnership with the Milvik Tanzania company, started a life insurance company called BimaMkononi.
<8>	Haikuwa rahisi kwa Watanzania kujiunga na huduma hiyo, lakini kwa sasa kila mtumiaji wa Tigo anatamani kujiunga na huduma hiyo kutokana na uhalisia wake.	it was not easy for Tanzanians to join the service, but now every Tigo user likes to join that service as a result of its realism.
<9>	Hadi sasa wateja hai zaidi ya 200,000 wamejiunga na huduma hiyo, ambapo sharti kubwa la mteja ni kuwa mtumiaji wa huduma ya Tigopesa.	up to now, more that 200,000 living clients have joined the service where the biggest condition for the client is to be a user of Tigopesa services.
<10>	Haihitaji kuwa na kitambulisho zaidi ya namba ya simu ambayo ndiyo inayomtambulisha mteja pale anapojisajili.	he does not need to have identification beyond a phone number which identifies a customer when he registers.
<11>	Mteja wa huduma hii atalazimika kupiga namba maalumu pale anapotaka kudai fidia baada ya kuumwa au kupata ajali, ili Tigo iweze kulipa katika hospitali au kituo chochote cha afya pale muhusika alipohudumiwa.	a client of this service will be forced to call a special number when he wants to claim compensation after injury or an accident, so that Tigo can pay the hospital or any health center where the individual was served.
