<1>	Utunzaji wa taarifa mtandaoni unaleta afya kibiashara	creation of online information is healthy for a business
<2>	Kila siku tunafungua akaunti zetu mtandaoni ziwe za kujisajili kimasomo, kibiashara, kwa ajili ya soga au kuhifadhi nyaraka zetu muhimu.	everyday we open our online accounts to register for learning, for business, for chatting or storing our important documents.
<3>	Sehemu kubwa ya mitandao hiyo inatuomba taarifa binafsi lukuki ambazo siyo kawaida kumpatia mtu anapokufuata moja kwa moja na kukuomba umpatie.	a big percentage of those websites request a number of personal information from us that we cannot ordinarily give an individual who physically comes up to you requesting it.
<4>	Miaka ya nyuma utoaji wa taarifa binafsi ulikuwa ni mwiko na ilikuwa vigumu mtu kutaja hata tarehe yake za kuzaliwa hadharani, kiwango cha elimu, mtaa anaoishi, vitu anavyopenda kula na mahali anapopendelea kutembelea.	in previous years, giving out personal information was taboo and it was hard for a person to even mention their date of birth, level of education, residential estate, things they love eating and where they'd like to visit publicly.
<5>	Lakini kwa sasa zama zimebadilika na tunatakiwa kutoa taarifa hizo hadi kwenye uendeshaji wa biashara zetu.	but now times have changed and we are required to disclose this information to places we do our business.
<6>	Kutokana na mitandao hiyo kubeba taarifa lukuki, watu wabaya wanahaha kuziiba taarifa hizo na kuzivujisha kwa umma au kutumia vinginevyo kuharibu utu wa wahusika.	since those websites carry various personal information, bad people palpitate at stealing that information and leaking it to the public or using it in others ways to destroy the person involved.
<7>	Swali kubwa hapa ni kwa kiasi gani taarifa zetu zipo salama katika mitandao tunayoziweka ili zisiibwe?	the main question here is to what extent is our information safe in the websites we put them in so they are not stolen?
<8>	Suala la usiri ni muhimu katika kufanikisha utekelezaji wa mikakati ya kibiashara.	the issue of secrecy is important in succeeding in the implementation of business plans.
<9>	Usiri huo mtandaoni ndiyo unaopiganiwa sana na kila mtu makini anayetumia mtandao na sadi vyombo vya kimataifa likiwemo Baraza la Kimataifa la Haki za Binadamu limeweka kipaumbele katika hili.	online confidentiality is highly controversial for everyone using the Internet and international media agencies, including the International Council for Human Rights, have put a priority on this.
<10>	Hivi karibuni, Angella Nganga, Mkuu wa masuala ya jamii na sera wa afrika mashariki na kusini mwa Afrika wa kampuni ya Microsoft alieleza kuwa suala la kulinda taarifa siyo la kampuni inayotoa huduma tu bali na watumiaji pia.	this soon, Angella Nganga, head of communal affairs and policy of East and Southern Africa for the company Microsoft, explained that the matter of protecting information is not just for companies offering services but also the users.
<11>	Alisema kuwa pamoja na kwamba raia wanaogopa udukuzi kutoka kutoka kwa maharamia wa mtandao na wakati mwingine kwa Serikali, serikali zenyewe ni miongoni mwa taasisi zinazohofia zaidi kudukuliwa kutokana na unyeti wa masuala ya usalama wa taifa.	she said that in addition to the citizens' fear of intrusion from online bandits and sometimes governments, governments themselves are among the institutions that fear most being breached due to the sensitivity of national security matters.
<12>	Hivyo wakati kampuni za Tehama zikihaha kulinda taarifa zao wateja wao, ni vyema watumiaji tukalinda akaunti zetu kwa kufuata masharti ya kulinda nywila na taarifa tunazoweka ama za kifedha au nyaraka za kawaida.	in this way, when Tehama companies resolve to protect their information and those of their clients, it is good for us as users to protect our accounts by following our obligations of protecting passwords and information we put up or money or normal documents.
<13>	Hata hivyo, watanzania wengi tumekuwa na tabia ya kupuuza katika ulinzi wa akaunti zetu hata pale watoa huduma wanaposisitiza kufuata masharti ili kuzilinda na udukuzi.	even so, many Tanzanians have the behavior of ignoring the protection of our accounts even when the service providers emphasize following the rules in order to protect them from intrusion.
<14>	Kuna baadhi ya mambo yanasababisha kuhatarisha taarifa zetu kwa wadukuzi:	there are some issues that results in risking our information to intruders:
<15>	Mosi, ubunifu wa nywila.	first, creativity of the password.
<16>	Kila siku wataalamu wamekuwa wakisisitiza uandaaji wa nywila ‘password’ ngumu ambayo siyo rahisi kwa wadukuzi kubuni na kufungua akaunti husika.	every day, experts have emphasized the preparation of hard passwords (password) which aren't easy for spies to create and open the account concerned.
<17>	Inashauriwa nywila inatakiwa kuwa na maneno zaidi ya nane yenye mchanganyiko wa tarakimu na alama kama mkato au funga semi au nukta ambayo ni rahisi kuikumbuka.	it is advised that a password is required to have more than eight letters with a mixture of digits and signs like the division sign or quotation marks or a dot that is easy to remember.
<18>	Aina hizi za nywila zinasaidia kuzilinda akaunti hizo dhidi ya maharamia ambao kwa sasa hawaishii tu kuingilia mfumo bali hulazimishi mwathirika hususan kampuni na watu mashuhuri kulipa fedha ili taarifa zao zisimbae.	these types of passwords help protect accounts from bandits who do not simply stop at entering the system but force the victims, especially a company or famous people, to pay money to prevent their information from being spread around.
<19>	Jambo jingine la muhimu ni kufuatilia historia ya mtandao husika unaojiunga.	another important thing is to look into the history of the website you are joining.
<20>	Lazima kujiridhisha uwepo wa kampuni unayotaka ikuhudumie kabla ya kujiunga.	you must be satisfied by the presence of the company you want services from before joining.
<21>	Siyo kila kampuni inayotoa huduma kupitia mtandao hasa hizi za mitandao ya kijamii na michezo ya kielektroniki ni salama.	not every company offering online services, especially these social media websites and electronic games, are safe.
<22>	Usijaribu kununua kitu mtandaoni kama huna uhakika na kampuni inayokupa huduma hata iwe bidhaa ya senti tano.	do not try to buy something online if you are not sure what service the company is giving you even if is a five cent product.
<23>	Kwa sasa maharamia wanajaribu hadi kuiga anwani za barua pepe maarufu ili kuifungua wapate fursa ya kuingilia mawasiliano yako.	currently, bandits are even trying to copy email addresses of famous people so that, through opening it, they get access to your communications.
<24>	Ni vyema kuwa program maalum za kuzuia virusi na udukuzi (anti-virus au firewall) ili kuiimarisha mifumo ya mawasiliano ya taasisi husika.	it is good to have a special program for preventing viruses and intrusions (anti-virus or firewall) in order to strengthen the system of communication with the institution involved.
<25>	Ni aibu kampuni inayoheshimika kama taasisi za kibenki au hospitali ikaingiliwa na taarifa za wateja zikaanikwa mitandaoni kama viwango vya pesa au aina ya ugonjwa.	it is embarrassing for a respected company like banking institutions or hospitals to be breached and the customers' information, like amounts of money or types of disease, exposes.
<26>	Tehema inarahisisha utoaji huduma kwa jamii lakini inahitaji tahadhari kubwa katika ulinzi wa mfumo dhidi ya wavamizi mtandaon.	Tehema ease the service offered to society but it requires great caution in protecting the system against online invasion.
<27>	Hivi karibuni ulitokea uvumi kuwa Shirika la Simu Tanzania (TTCL) lilivamiwa kwenye mfumo wake wa mawasiliano na kuanza kuzua wasiwasi miongoni mwa wafanyakazi na wateja.	recently, a rumor came out that the Tanzanian Telephone cooperation's (TTCL) communication system was hacked and lots of uncertainty was created among the workers and customers.
<28>	Menejimenti ilikana kutokea uvamizi huo kwenye mifumo yake.	the management denied that hacking of its systems occurred.
<29>	Tatu, kuachana na kupakua kila aina ya program kwenye simu au kompyuta inayojitokeza.	third, stop downloading every type of program that appears on your phone or computer.
<30>	Ukiachana na wavamizi wanaovutia ujiunge nao kupitia matangazo yanayojitokeza kwenye tovuti au blog (pop ups), zipo program maalum maarufu kama ‘spyware’ ambazo zinaonekana ni halisi za simu na kompyuta ambazo zinatafuta mwanya wa kuiba taarifa.	if you leave the invaders that attract you to join them through advertisements that show up on a website or blog (pop ups), there are special programs popular as "spyware" that look genuine on phones and computers which look for loopholes to steal information.
<31>	Ni dhahiri wajasiriamali wadogo wanapenda kutumia programu nzuri za kurahisisha ufanyaji biashara zao lakini lazima wawe makini wanapozipakua ili kuimarisha usalama wa taarifa zao hasa za kifedha.	it is evident that small entrepreneurs love to use good programs which will ease the operation of their business but they must be careful when downloading them in order to strengthen the safety of their information especially financials.
<32>	Ni heshima na afya kwa kampuni kuwa na sifa ya kuwa salama katika utunzaji wa taarifa za wateja wake.	it is respectful and healthy for a company to have a reputation of being safe when safeguarding its customers' information.
<33>	Ukiachana na jitihada binafsi za wajasiriamali, ni wakati muafaka wa kuanzisha asasi za kiraia zinazowapatia wananchi elimu ya kujikinga na uvamizi mitandaoni na kubuni fursa za programu maalum za kuzuia uaharamia wa taarifa.	if you leave the personal efforts of the entrepreneurs, it is the right time to start a public institution which provides education to citizens about protecting themselves from online invasion and give time for the chance of a special programs that will preventing information theft.
