<1>	Wataka kitendawili cha maiti Ruvu kiteguliwe	they want the puzzle of a corpse in Ruvu to be solved
<2>	Imeandikwa na Lucy Ngowi	written by Lucy Ngowi.
<3>	Imechapishwa: 12 Desemba 2016	published: 12th December, 2016.
<4>	SERIKALI imeshauriwa kutokaa kimya kuhusu chanzo cha vifo vya watu saba ambao miili yao ilikutwa katika mifuko ya sandarusi katika kingo za Mto Ruvu, wilayani Bagamoyo, Pwani.	the government has been advised not to stay silent about the cause of death of seven people whose bodies were found inside resin bags on the shores of River Ruvu, Bagamoyo District, Coast.
<5>	Aidha imeelezwa kuwa mazingira ya kutatanisha ya kupotea kwa mfanyakazi wa ofisi ya Chama cha Demokrasia na Maendeleo (Chadema), Benard Saanane lazima kutazamwe.	furthermore, it was explained that the conflicting conditions of the disappearance of the employee of the Party of Democracy and Development (Chadema), Benard Saanane, must be looked into.
<6>	Hayo yamesemwa na Mwenyekiti wa Umoja wa Kizazi cha Kuhoji Tanzania (UTG), Malisa Godlisten jana jijini Dar es Salaam alipozungumza na waandishi wa habari kuhusu matukio hayo.	this was announced by the chairperson of the Union of the Generation to Examine Tanzania (UTG), Malisa Godlisten yesterday in Dar es Salaam City when he spoke to journalists about the incidents.
<7>	Alisema serikali kwa kushirikiana na taasisi zake ikiwemo wizara hiyo ya Mambo ya Ndani ya Nchi, Wizara ya Afya, Maendeleo ya Jamii, Jinsia, Wazee na Watoto na Ofisi ya Mkemia Mkuu inapaswa kuratibu kazi ya kufukuliwa kwa miili ya watu hao saba iliyookotwa na kuzikwa eneo la Mto Ruvu, ili kupata sampuli zitakazotumika kutambua ndugu wa marehemu watakapojitokeza na chanzo cha vifo hivyo.	he said that the government, in conjunction with its institutions, including the Ministry of Foreign Affairs, the Ministry of Health, the Development of Society, the Elderly and Children and the Office of the Chief Chemist, should coordinate the work of exhuming the bodies of the seven people who were killed and buried in the area of River Ruvu, in order to get samples that will be used to recognize the dead people's families when they come forward and to determine the motive behind the deaths.
<8>	Miili ya watu sita ilikutwa Desemba 7 mwaka huu kando ya mto Ruvu wilayani humo ndani ya mifuko ya sandarusi na ndani ikiwa imewekwa mawe ili isielee kisha mifuko hiyo kushonwa kama mzigo wa mazao na kutupwa mtoni.	the bodies of six people were found on December 7th this year on the banks of the River Ruvu in the district, inside resin bags with stones put inside so they would not float, the bags having then been sewn together like harvest bags and thrown into the river.
<9>	Mwili mwingine uliokotwa Desemba 9 mwaka huu eneo hilo hilo na pamoja na kutokuwa katika mfuko wa sarandusi, ulikuwa umevuliwa shati na kuonekana na majeraha mgongoni na kwenye ubavu umekatwa na kitu chenye ncha kali.	another body was discovered on December 9th this year in the same area but was not inside a resin bag, and the shirt had been stripped off, with with injuries on the back and a cut on the rib cage caused by something sharp.
<10>	Mwishoni mwa wiki, Kamanda wa Polisi Mkoa wa Pwani, Boniventure Mushongi alisema miili yote ilizikwa kwa kuwa ilikuwa vigumu kuwatambua kutokana na kuharibika vibaya huku kukiwa hakuna kitambulisho chochote kinachoashiria watu hao ni nani na wametoka wapi na kwamba Polisi inaendelea na upelelezi kubaini waliohusika na mauaji hayo, atakayebainika sheria itachukua mkondo wake.	towards the end of the week, the police commander of Coast Province, Boniventure Mushongi, said all the bodies must have been buried because it was hard to identify them from the bad decomposition and there were no identifications to show who the people were and where they were from, and that police are continuing with the investigations to determine who was involved in the killings. the law will take its course on whoever is found to be involved.
<11>	Aidha kuhusu kupotea kwa Saanane, Godlisten alisema UTG inaipa Chadema saa 72 kutoa taarifa ya kupotea kwa Saanane aliyeondoka nyumbani kwake Novemba 18 mwaka huu hadi leo hii hajaonekana wala taarifa zake kutolewa sehemu yoyote.	additionally, when speaking about the disappearance of Saanane, Godlisten said UTG is giving Chadema 72 hours to provide reports about the disappearance of Saanane, who left his home on 18th November this year and until now has not been seen again, nor have sightings been reported anywhere.
