<1>	(0.000-1.326)	good morning senator .	good morning senator .
<2>	(1.326-2.229)	good morning miss Cheryl .	good morning miss Cheryl .
<3>	(2.229-2.800)	okey po .	okay .
<4>	(2.800-5.371)	<int> narinig n'yo po ang panig ng administrasyon .	you have heard the side of the administration .
<5>	(5.371-8.000)	ano po ang reaksiyon n'yo sa kanilang mga sagot ?	what is your reaction to their answers ?
<6>	(8.000-13.660)	<int> <hes> makita n'yo 'yong mga sagot ng <hes> -- ng Malacañang hindi ina-address directly 'yong issue ano .	you will see the answers of -- of Malacañang not addressing the issue directly right .
<7>	(13.660-17.462)	at in this case nagtatago si presidente Duterte mismo ano .	and in this case President Duterte himself is hiding right .
<8>	(17.462-19.010)	<hes> ganiyan 'yan eh .	that's how it is .
<9>	(19.010-24.026)	ma- -- mapapansin n'yo sa mga <hes> isyung mga maliliit papatulan ni presidente .	you will notice on the small issues the president pays attention to these .
<10>	(24.026-24.985)	magmumura-mura siya .	he is cursing .
<11>	(24.985-29.525)	pero pagka ganitong harapin siya ng katotohanan eh <hes> nauutal 'no .	but like this when he is faced with the truth then he stutters .
<12>	(29.525-32.042)	nagtatago sa mga <hes> alipores niya .	hiding behind his underlings .
<13>	(32.042-32.870)	mm .	mm .
<14>	(32.870-40.090)	paano po kayo <int> nakumbinsi o bakit po kayo kumbinsido na totoo po ang mga sinasabi ni Lascañas ?	how are you convinced or why are you convinced that what Lascañas is telling is true ?
<15>	(40.090-48.910)	alam n'yo tayong mga tao marunong tayong mag- -- <hes> -- mag- -- <hes> -- m- -- mangilatis kung <hes> isang tao ay nagsasabi ng totoo o hindi .	you know us people we know how to -- scrutinize if one person is telling the truth or not .
<16>	(48.910-53.338)	so bukod pa riyan ay tiningnan natin talaga 'yong mga <hes> istorya niya 'no .	so aside from that we have really seen those his stories right .
<17>	(53.338-60.327)	kasi hindi lang naman isto-istorya ni Lascañas mayro'n kang Matobato at iba pang- -- mga -- mga circumstances ano .	because this is not only a gossip of Lascañas you have Matobato and other -- more -- more circumstances right .
<18>	(60.327-60.660)	mm .	mm .
<19>	(60.660-68.980)	just the fact na itong tao na 'to kaka-retired na sa serbisyo eh puwede na 'tong mam- -- mamuhay ng tahimik eh .	just the fact that this person has just retired from service so this can -- live peacefully you know .
<20>	(68.980-73.930)	pero lumabas siya at <hes> ya- -- he is risking his life .	but he has exposed himself and -- he is risking his life .
<21>	(73.930-82.090)	biruin mo presidente ang kinakalaban niya dito na alam niyang mamamatay-tao <breath> pero ginawa pa rin <int> niya dahil nakalabit 'yong konsensiya niya eh .	is this a joke he is matching against the president here he know he's a killer but he still did it because he is tagged by his conscience right .
<22>	(82.090-82.484)	mhm .	mhm .
<23>	(82.484-86.209)	pero senator ang <int> nasisilip po kasi ngayon 'yong kaniyang pagbaliktad .	but senator now his reversal is being glimpsed at now .
<24>	(86.209-94.869)	kung -- pero kung sinasabi nga na binabaliktad niya ang kaniyang naunang pahayag mas nagiging kuwestiyonable ngayon 'yong kaniyang kredibilidad .	if -- but if its said that he is contradicting his previous statement his credibility will be more questionable now .
<25>	(94.869-100.275)	<lipsmack> well sabi ko nga ano pagharap niya sa senado muli makikilatis siya ng taumbayan .	well as I've said however he faces the senate again he will be criticized by the people .
<26>	(100.275-109.433)	alam ng <hes> mga kababayan natin kung -- kung 'yong istorya mo ay gawa-gawa lang or <hes> talagang <hes> bumaliktad ka dahil nakunsensiya ka .	it is known by our people if -- if your stories are only made up or really you turned in because of your guilty conscience .
<27>	(109.433-115.950)	so ikukumpara natin 'to do'n sa mga <hes> bilibid convicts na ginamit na testigo laban kay senator de Lima <breath> .	so let's compare this to those of prison convicts who are used as witnesses against senator De Lima .
<28>	(115.950-125.954)	'yong mga 'yon talagang <hes> mga nakakulong na 'yon na kung kredibilidad lang pinag-uusapan <hes> <hes> convicted drug Lord na nga eh tapos papaniwalaan nga ng Malacañang eh 'di ba ?	those people are basically already imprisoned and if credibility is what's being discussed a convicted drug lord then the Malacañang will believe them right ?
<29>	(125.954-126.198)	mm .	mm .
<30>	(126.198-127.139)	ito pulis ito .	this is a policeman .
<31>	(127.139-132.416)	bago lang ito na retire so <hes> makikita ng <hes> mga kababayan natin 'yan .	he is newly retired so it can be seen by our fellow countrymen .
<32>	(132.416-142.838)	ang tanong din po ng marami ngayon I'm just not sure kung <hes> sasa- -- kung masasagot n'yo po ay <int> hindi rin po napag-usapan sa press conference ano talaga 'yong dahilan niya ?	the question of many right now I'm just not sure if -- if you can answer it it was not discussed at the press conference what really is his reason ?
<33>	(142.838-146.773)	ba- -- why this time bakit bigla na lamang siya bumaliktad ?	-- why this time why did he suddenly go back on his word ?
<34>	(146.773-148.232)	<hes> 'yon na nga ano .	that was it .
<35>	(148.232-152.740)	<hes> pagdating ng hearing 'yan 'yong mga una niyang <hes> sasagutin .	when the hearing comes that is one of the first he will answer .
<36>	(152.740-163.068)	kailangan niyang makumbinsi ang mga kababayan natin na <hes> ito ay <hes> walang bahid na pulitika walang <hes> personal <hes> motivation o personal interest .	he needs to convince our fellow countrymen that this has no streak of politics no personal motivation or personal interest .
<37>	(163.068-164.210)	so makikita 'yan .	so it will be seen .
<38>	(164.210-164.690)	mhm .	mhm .
