<1>	(0.000-1.968)	<sta> they will have everything they need to succeed .	they will have everything they need to succeed .
<2>	(1.968-12.010)	aliwas ay ipinagmalaki ni pangulong Noy-Noy Aquino sa world economic forum nitong Huwebes kakulangan sa classroom ngayong pasukan ang poproblemahin pa rin ng Batasan Hills national high school .	which is why President Noynoy Aquino boasted during the World Economic Forum last Thursday insufficiency of classrooms this school year will still be the problem of Batasan Hills National High School .
<3>	(12.010-21.846)	may mahigit labing-dalawang libong estudyante raw kasi ito at mayroon lang halos isang daang classroom kaya't lumalabas na isang daang estudyante ang maghahati sa bawat silid-aralan .	it is because they have more than twelve thousand students and only have almost one hundred classroom which is why it turns out that one hundred students will have to share every classroom .
<4>	(21.846-30.570)	dito sa malaking silid-aralan na ito hinati nila ang classroom gamit ang isang kahoy na dingding so lalabas kada classroom mayroong forty five students .	in this large classroom they divided the classroom with the use of a wooden wall so it will seem that every classroom has forty-five students .
<5>	(30.570-37.580)	ang kaso kahit hinati mo na sa dalawa ang isang malaking silid-aralan apat na shift pa rin ang gagawin dito sa maghapon .	but the case is even if you divide a large classroom into two four shifts will still be done here all afternoon .
<6>	(37.580-40.049)	tig-dalawa sa umaga tig-dalawa sa hapon .	two in the morning and two in the afternoon .
<7>	(40.049-46.580)	at kapag sumobra pa raw sa forty five students ang laman ng classroom na ito ang klase puwede gawin dito sa corridor .	and if it exceeds forty-five students contained in this classroom the class can be conducted here in the corridor .
<8>	(46.580-51.973)	if classroom shortage were not a problem would you still offer this partnership ?	if classroom shortage were not a problem would you still offer this partnership ?
<9>	(51.973-55.759)	of course definitely -- definitely no siyempre e ano naman .	of course definitely -- definitely no of course then so what .
<10>	(55.759-66.563)	pero given the- -- given the situation no <hes> of course <hes> doon <sta> ka lang gagalaw naman sa -- sa ibinigay na ano e na sitwasyon .	but given the -- given the situation no of course you only move to what -- what is being given of course as a situation .
<11>	(66.563-68.230)	temporary solutions lang .	only temporary solutions .
<12>	(68.230-77.834)	pero giit ng department of education walang kakulangan sa classroom dahil bago pa raw matapos ang taong twenty thirteen mahigit sixty six thousand eight hundred classrooms na ang naitayo .	but the Department of Education insists that there is no insufficiency in classrooms because even before the year twenty thirteen ended more that sixty-six thousand eight hundred classrooms were built .
<13>	(77.834-82.960)	ito rin ang kakulangan binanggit ng pangulo sa kaniyang talumpati pero para pa sa taong twenty ten .	this is the insufficiency mentioned by the president in his speech but for the year twenty ten .
<14>	(82.960-84.692)	in July of twenty ten when we ~ %incomplete	in July of twenty ten when we %incomplete
