<1>	(0.000-5.066)	<sta> aarangkada na sa Linggo as in sa darating na Linggo ang One Run One Philippines .	One Run One Philippines will be this Sunday this coming Sunday .
<2>	(5.066-13.480)	ito po ang fun run ng A_B_S-C_B_N Foundation at layon ng proyektong ito <sta> na ibahagi ang mensahe tungkol sa pag-alaga ng kalikasan .	this is the fun run of A_B_S-C_B_N Foundation and this project aims to share the message about preserving the environment .
<3>	(13.480-21.131)	<sta> ang malilikom po na pondo na 'yan ay mapupunta rin sa paglilinis ng Ilog Pasig at mga estero na dumadaloy dito .	the collected funds will go to the cleaning of Pasig River and canals that flow here .
<4>	(21.131-38.342)	simula ng <sta> ilunsad noong two thousand nine ng A_B_S-C_B_N Foundation ang proyektong Kapit-bisig Para sa Ilog Pasig <sta> at sa tulong ng Run for the River Pasig <sta> ay lalong nagulat ang ating mga kababayan sa kahalagahan ng pag-alaga ng kalikasan .	since the launch last two thousand nine of A_B_S-C_B_N Foundation the project Work Together for River Pasig and the with the help of Run for the River Pasig our fellow citizens were even more surprised with the importance of preserving our environment .
<5>	(38.342-47.090)	at sa apatnapu't pitong estero sa Maynila ha <sta> labing-anim na po diyan ang na-rehabilitate na at patuloy na <int> nililinis .	and in the forty-seven canal in Manila sixteen have already been rehabilitated and is continuously cleaned .
<6>	(47.090-57.284)	ang mga dating illegal settlers sa mga <int> estero na-relocate na po sa Bayan ni Juan sa Kalawan Laguna <sta> kung saan tinuturuan na rin sila ng iba't ibang livelihood skills .	previous illegal settlers in the canals were already relocated in Town of Juan in Kalawan Laguna where they're taught with various livelihood skills .
<7>	(57.284-59.677)	galing ang galing niyang proyekto na 'yan .	good that project is good .
<8>	(59.677-67.600)	<overlap> 'pag nakita n'yo ho 'yong <sta> mga estero na nalinis na well 'yong dati tapos 'yong <hes> transformation nito ngayon eh matutuwa kayo .	if you can see the canals that are cleaned well the previous after this transformation now you'll be delighted .
<9>	(67.600-73.216)	<sta> hindi lang 'yon pati 'yong communities na inalis <overlap> oo <overlap> buhay eh .	not only that the communities that were removed yes alive of course .
<10>	(73.216-75.160)	'pag nakita mo community nila ngayon .	if you can see their community now .
<11>	(75.160-76.097)	<sta> iba na oo .	different yes .
<12>	(76.097-83.360)	'tsaka 'yong Bayan ni Juan hindi lang siya pabahay may pabahay tapos may school para sa bata <overlap> livelihood training sa <overlap> kumpleto .	and Bayan ni Juan isn't just housing there's housing and then there's school for the children livelihood training so it's complete .
<13>	(83.360-90.410)	<sta> community po ito ha hindi lamang po ito 'yong mga donors at mga sponsor niyan kundi pati 'yong mga simpleng taong nakikibahagi po diyan para tumulong .	it's a community not just its donors and sponsors but even the simple people contributing to help .
<14>	(90.410-93.611)	<sta> ay iba may I -- I -- importante po 'yong awareness sa ating lahat .	ah others have -- -- everyone's awareness is important .
<15>	(93.611-98.618)	ang kahalagahan ng paglilinis hindi lang po ng ating sariling bakuran pati ng atin pong komunidad .	the importance of cleaning not just our own yards but also our community .
