<1>	(0.000-1.913)	<no-speech>	<no-speech>
<2>	(1.913-8.602)	<sta> binabatayan na rin ng mga awtoridad ang lebel ng tubig sa mga dam sa bansa lalo na ngayong pumasok na sa bansa ang bagyong Buchoy .	the authority also monitors the level of water of the dam in the country especially now that thunderstorm Buchoy has already entered the country .
<3>	(8.602-17.350)	ang Angat Dam na siyang pangunahing pinagkukunan ng tubig sa ka Maynilaan malayo pa naman daw sa pag-apaw at kaya pang sumalo ng tubig kahit makaranas pa ng mga pag-ulan .	Angat Dam the primary source of water in Manila is still far from overflowing and can still catch water regardless of strong rain .
<4>	(17.350-20.790)	mula sa Bulacan may ulat on the spot si Dante Perello .	from Bulacan reporting on the spot Dante Perello .
<5>	(20.790-21.603)	Dante ?	Dante ?
<6>	(21.603-24.290)	<no-speech>	<no-speech>
<7>	(24.290-24.756)	yes Raffy .	yes Raffy .
<8>	(24.756-29.310)	nananatiling nasa normal level ang tubig ng Angat Dam dito sa Bulacan .	the water of Angat Dam here in Bulacan remains on normal level .
<9>	(29.310-31.643)	<no-speech>	<no-speech>
<10>	(31.643-44.543)	sa pinakahuling tala ng Napocor kaninang alas dyes ng umaga nasa one hundred eighty nine point ninety six meters ang water elevation malayo ito sa spilling level na two hundred seven meters at two hundred ten meters critical level .	in the last record of Napocor as of ten in the morning water elevation is at an estimate of one hundred eighty-nine point ninety-six meters this is far from the spilling level which is two hundred seven meters and two hundred ten meters critical level .
<11>	(44.543-51.245)	kaya hindi raw kailangan magpakawala ng tubig ang Angat Dam katunayan kaya pa raw nito sumalo ng maraming ulan .	that's why Angat Dam doesn't need to clear water actually it can still catch plenty of rain .
<12>	(51.245-53.520)	bumababa siya paunti-unti .	it's slowly reducing .
<13>	(53.520-60.789)	kahit may <hes> na karanasan na tayong <hes> pag-ulan ay din naman kasing dami para tumaas .	even there is we already have experienced rain not that much to rise .
<14>	(60.789-84.660)	ang nakakapagpataas lang diyan ay yung dire-diretsong ulan na na-ge-generate ng masamang panahon kamukha ang bagyo nakatakda namang isailalim sa rehabilitasyon ang Angat Dam makalipas ang apatnapu't tatlong taon mula ng itayo ito noong dekada setenta five point seven billion pesos ang inaprubahang pondo ng Department of Budget and Management sa utos ni Presidente Noy-Noy Aquino .	what have made it to rise higher is the simultaneous rain which is generating a bad weather similar to a typhoon the Angat Dam is set to undergo a rehabilitation forty-three years past after it was built on the last seventies decade the approved fund of the Department of Budget and Management is point seven billion pesos through the mandate of President Noynoy Aquino .
<15>	(84.660-87.275)	sa darating na buwan raw ang bidding ng mga contractors .	the bidding of the contractors will be on the coming month .
<16>	(87.275-99.140)	at inaasahang magsisimula ang proyekto sa Abril ng susunod na taon at magtatapos sa taong twenty sixteen babawasan raw ang mga slopes ng dam dahil masyadong matarik at magdadagdag ng spill way .	and the project is expected to start on April next year and will be finished on the year twenty sixteen the slopes of the dam will be lessened because it is too steep and will add a spill way .
<17>	(99.140-107.280)	pagtitiyak naman ng M_W_S_S hindi maaapektuhan ang supply ng tubig sa Metro Manila na dito kinukuha habang isinasagawa ang rehabilitasyon .	M_W_S_S had assured that the supply of water in Metro Manila which is taken here will not be affected while the rehabilitation is being done .
<18>	(107.280-113.490)	ang tatlong taong proyekto ay resulta ng anim na buwang pag-aaral at pagsusuri sa structural integrity ng dam .	the three year project is a result of six month study and examination on the structural integrity of the dam .
<19>	(113.490-123.142)	ayon kasi sa Philippine Institute of Volcanology and Seismology o PHIVOLCS ang dam ay nasa West Marikina Fault Line at kayang tumagal sa seven point two magnitude na lindol .	because according to the Philippine Institute of Volcanology and Seismology or PHIVOLCS the dam is on the West Marikina Fault Line and can last a seven point two magnitude earthquake .
<20>	(123.142-129.160)	nadiskubre rin nila na mayroon itong splay o ugat na nasa ilalim mismo ng main dike ng Angat .	they have also discovered now that it has a splay or root under the main dike of Angat itself .
<21>	(129.160-131.243)	pero wala naman daw dapat ikabahala .	but there is nothing to be worried about .
<22>	(131.243-138.160)	dahil ang materyales daw kasi na ginamit sa Angat Dam ay hindi mabilis mabiyak o gumuho dahil sa paggalaw ng lupa .	because the materials used in Angat Dam does not easily break or crumble due to the movement of the land .
<23>	(138.160-139.120)	<no-speech>	<no-speech>
<24>	(139.120-143.002)	nilinaw din ng PHIVOLCS na walang bitak ang dam tulad ng napapabalita .	PHIVOLCS also clarified that the dam has no clefts similar to what is reported .
<25>	(143.002-153.200)	mayroon sinasabi yung PHIVOLCS na karugtong ng Mariqui -- <hes> ng West Valley fault pero malayo dito na no'ng mga two hundred meters diyan sa dike .	the PHIVOLCS has been saying that connected to -- of the West Valley fault but this is far from the two hundred meters there on the dike .
<26>	(153.200-153.991)	so still hanggang ngayon %incomplete	so still until now %incomplete
<27>	(153.991-161.910)	kaya hindi -- h- h- hindi maapektuhan ito kung magkaroon man ng <hes> pag-ulit no'ng seven point two na lindol .	so no -- this will not be affected if there would be a repeat of that seven point two earthquake .
<28>	(161.910-163.742)	<no-speech>	<no-speech>
<29>	(163.742-172.336)	Raffy ang di matigil na illegal logging at mining sa paligid ng Angat Dam Watershed ang nakakakompromiso umano sa dam ayon sa M_W_S_S .	Raffy the unstoppable illegal logging and mining around Angat Dam Watershed is compromising the dam according to the M_W_S_S .
<30>	(172.336-174.324)	'yan ang mainit na balita mula rito sa Angat Dam .	that is the hot new from here at Angat Dam .
