<1>	(0.000-0.509)	eh wala na .	well already gone .
<2>	(0.509-2.141)	'yan number four .	that number four .
<3>	(2.141-6.816)	number four actively defend life the institution of marriage and the family .	number four actively defend life the institution of marriage and the family .
<4>	(6.816-26.284)	ayan actually <hes> contentious i- -- issue 'yan ngayon 'yun iyong sunod <hes> of bishops for the fa- -- on the family no'ng October two thousand fourteen at saka iyong darating din sa October na mas malakihan maraming participation from Bishop's Clergy and may lay representatives din .	that actually contentious -- issue now that the following of bishops for the on the family last October two thousand fourteen and then also in the coming October which is larger more participation from the Bishop's Clergy and there are also lay representatives .
<5>	(26.284-35.390)	iyon nga ang inaano eh ang tinututukan na <hes> iyong institution of the -- the family tapos 'yung ayan .	that is what is being focused on the institution of the -- the family and then that .
<6>	(35.390-67.318)	iyong sa U_S nga iyong every year 'yan mayroon silang March For Life iyong kasi ginugunita nila iyong supreme court decision iyong raw versus weight yata iyon na iyong dito yata inallow I'm not so familiar with it iyong abortion <overlap> so ayan <hes> marami kasi actually dapat mas tinutuon nga sa kabataan 'yan kasi di ba ang -- ang kalaban ngayon ng morality't mga doktrina is 'yung YOLO mentality .	there in the U_S every year they have a March For Life they celebrate the supreme court decision I think it's the raw versus weight where it was allowed I'm not so familiar with it with abortion so there there is so much that the youth should focus on because -- the enemy of morality and doctrines today is the YOLO mentality .
<7>	(67.318-70.006)	mhm oo na ngayon lang 'ko mabubuhay .	yes where I only live now .
<8>	(70.006-75.542)	you only live once <overlap> gumamit ng YOLO pero nalaman ko lang kay Gerard Garcia kung ano ibig <overlap> kung ano ibig sabihin no'n ?	you only live once YOLO was used but I only learned from Gerard Garcia what it what it means ?
<9>	(75.542-77.709)	<overlap> oo we- -- nag- -- mga last year lang <laugh> .	yes -- -- just last year .
<10>	(77.709-86.352)	hindi alam mo hindi ko rin agad nalaman 'yan eh <laugh> <overlap> oo anong ibig sabihin ng YOLO (()) you only live once na mentalidad po lalo na ng mga kabataan .	but you know I didn't learn of it right away yes what does YOLO mean (()) you only live once mentality especially of the youth .
<11>	(86.352-89.305)	kaya nagpapakasasa sa mga kung anu-ano .	so they get lost in different things .
<12>	(89.305-95.260)	very fleeting very temporary very temporal iyong mga relasyon .	very fleeting very temporary very temporal are the relationships .
<13>	(95.260-102.009)	very ano experimental <overlap> experimental ganiyan 'di ba 'yong mga sinasabi cohabitation ganiyan 'di ba ?	very experimental experimental like they say cohabitation like that right ?
<14>	(102.009-106.750)	so <hes> at saka 'yong <hes> premarital ano sex ganiyan .	so and then premarital sex like that .
<15>	(106.750-122.505)	so 'yon e parang dapat ang sinasabi is <hes> ang pamilya sagrado kung -- kung tutuusin 'yan 'yong sinasabi 'di ba sa atin sa sociology ba 'yon o anthropology na <hes> it's the basic unit of society <overlap> sociology 'yan .	so there it's like what is being said is the family is sacred when -- when considered that is what is said to us in sociology or anthropology that it's the basic unit of society that's sociology .
<16>	(122.505-124.110)	aah sociology <overlap> oo .	ah sociology yes .
<17>	(124.110-127.590)	it's the <hes> nucleus of society the family .	it's the nucleus of society the family .
<18>	(127.590-130.940)	and sa simbahan it is also the domestic church .	and with the church it is also the domestic church .
<19>	(130.940-156.991)	'yon ang unang simbahan ang nanay ang tatay at mga talagang ano naman e parang kung ano iyong <hes> foundation ng church sa loob ng bahay 'yon naman talaga yung susunduin no'ng anak <overlap> at saka 'yon iyong modelo ng first domestic church is the holy family yeah <overlap> Parish Kamias yung ating <overlap> na fiesta namin sa February eight kainis nasingit pa 'yon <overlap> <laugh> .	that is the first church the mother the father and the really and like the foundation of the church inside the home that is what the child will follow and the model of the first domestic church is the holy family yeah Parish Kamias our fiesta on February eight so annoying that it was included .
<20>	(156.991-161.175)	hay naku <overlap> <overlap> next is ay maganda 'yan .	hay geez next is a good one .
<21>	(161.175-162.695)	ito I like this .	this I like this .
<22>	(162.695-165.172)	promote a culture of respect for women .	promote a culture of respect for women .
