<1>	(0.000-5.860)	<sta> isa sa mga pinakamalaking problema sa edukasyon sa bansa ang kakulangan ng mga guro .	one of the biggest problems of education of the country is the lack of teachers .
<2>	(5.860-12.718)	<sta> pahirapan din pala kasi ang paghahanap ng mga kuwalipikadong guro <sta> na gagabay sa ating mga supling .	the search for qualified teachers to guide our children is difficult .
<3>	(12.718-25.835)	<sta> sa datos ng Professional Regulation Commission o P_R_C alam ninyo bang sa mga kumukuha ng lisensiya <sta> para maging guro ni wala pa sa limampung porsiyento ang pumapasa <sta> sa nakalipas na siyam na taon .	in the data of the Professional Regulation Commission or P_R_C do you know that for those who are getting their licenses to become teachers those who have passed have not almost reached fifty percent in the past nine years .
<4>	(25.835-37.525)	<sta> kaya naman <sta> sa mahigit na isang daan at apatnapu't libong -- apatnapu't limang libong kulang na guro sa buong bansa noong taong twenty ten <sta> wala pa sa kalahati ang natutugunan .	so more than one hundred and forty thousand -- forty-five thousand teachers are lacking in the whole country last two thousand ten not half is addressed .
<5>	(37.525-45.271)	ang tanong ngayon <sta> lahat kaya ng mga bagong gurong tinatanggap para magturo lisensiyado ng gobyerno ?	the question now are all the new teachers hired to teach are licensed by the government ?
<6>	(45.271-47.900)	nakatutok si Hadji Rieta .	Hadji Rieta looks closely .
<7>	(47.900-52.510)	<no-speech>	<no-speech>
<8>	(52.510-58.790)	<sta> taong two thousand nine nang maitampok sa kauna-unahang serye ng Biyaheng Totoo ang batang teacher na ito .	year two thousand nine when the first series of Real Travels featured this young teacher .
<9>	(58.790-66.340)	<sta> second year high school lang at boluntaryong nagtuturo sa isang grupo ng mga grade one sa bayan ng Datu Odin Sinsuat sa Maguindanao .	only in second year high school and teaches voluntarily to a group of grade ones in the town of Datu Odin Sinsuat in Maguindanao .
<10>	(66.340-73.990)	<sta> mahigit tatlong taon na ang lumipas pero ang problema ng Maguindanao noon problema pa rin ngayon .	more than three years have passed but the problem of Maguindanao before is still its problem now .
<11>	(73.990-75.020)	talagang mahirap .	really difficult .
<12>	(75.020-80.100)	<sta> pakarami po ng estudyante nami- -- natin kulang po ang teacher natin .	too many students -- our teacher is insufficient .
<13>	(80.100-88.100)	sa buong bansa dito sa Autonomous Region in Muslim Mindanao o A_R_M_M may pinakamalaking kakulangan sa mga gurong nagtuturo sa elementarya .	in the whole country here in the Autonomous Region in Muslim Mindanao or A_R_M_M has the largest insufficiency of teachers teaching elementary .
<14>	(88.100-93.353)	<sta> bawat isang teacher umaabot sa limampu't siyam na mga estudyante ang hawak niya sa isang klase .	for each teacher it reaches to fifty-nine students she handles in one class .
<15>	(93.353-94.050)	<no-speech>	<no-speech>
<16>	(94.050-106.210)	<sta> nakasaad sa Philippine Teachers Professionalization Act of nineteen ninety four <sta> na tanging mga nakapasa sa Licensure Examination for Teachers o L_E_T at least (()) at P_R_C lamang ang puwedeng magturo sa elementarya at high school .	stated in the Philippine Teachers Professionalization Act of nineteen ninety-four that only those who have passed the Licensure Examination for Teachers or L_E_T at least (()) and only P_R_C can teach elementary and high school .
<17>	(106.210-112.230)	<sta> pero dahil sa kakulangan ng mga lisensiyadong guro sa probinsiya pinapayagang magturo ang mga volunteer dito .	but because of the insufficiency of licensed teachers in the provinces the volunteers are allowed to teach here .
