<1>	(0.000-1.649)	(()) .	(()) .
<2>	(1.649-9.826)	simula Pebrero a-dos hanggang kasalukuyan umabot na sa pitumpu't tatlo ang bilang ng mga sumusukong miyembro ng N_P_A .	starting February two until the present the number of surrendering members of the N_P_A reached seventy-three .
<3>	(9.826-13.550)	patunay ng tagumpay sa pagsusulong ng kapayapaan sa buong bansa .	an evidence of the success of the advancement of peace in the whole country .
<4>	(13.550-19.080)	lalo na sa parteng Mindanao kung saan nagmumula ang karamihan ng N_P_A .	especially in the Mindanao part where most of the N_P_A are coming from .
<5>	(19.080-28.621)	yung sa -- yung pinaka-latest nga natin dito very active yung ating mga <int> local government <hes> units sa pagbibigay no'ng comprehensive <hes> local integration program .	the one in -- our very latest here our local governments units are very active in giving that comprehensive local integration program .
<6>	(28.621-36.111)	yung <hes> nakaka-receive din kasi sila ng initial cash assistance diyan na amounting to sixty five thousand .	that they have been receiving an initial cash assistance there amounting to sixty-five thousand .
<7>	(36.111-47.557)	yung pinaka-latest natin dito sa bahagi ng Compostela Valley province wherein thirty five ng mga former rebels yung nabigyan ng amounting to almost two million na cash assistance .	our very latest here in the part of Compostela Valley province wherein thirty-five of the former rebels were given cash assistance amounting to almost two million .
<8>	(47.557-52.830)	and separate from that among the thirty five merong mga nagdala ng fire arms .	and separate from that among the thirty-five some have brought firearms .
<9>	(52.830-58.060)	so there is a separate amount for the fire arms that they have surrendered .	so there is a separate amount for the firearms that they have surrendered .
<10>	(58.060-69.920)	pangako na edukasyon <sta> trabaho at magandang buhay ang ilan sa mga dahilan kung bakit mas napipili at nahihikayat <sta> ang ilan sa ating mga kababayan natin na Lumad na sumapi sa rebeldeng grupo na N_P_A .	promise of education work and beautiful life are some of the reasons why some of our Lumad fellowmen are chosen and encouraged to join the N_P_A rebel group .
<11>	(69.920-78.220)	<sta> ngunit reyalisasyon ang mga pangakong ito ay kailan may 'di matutupad ang dahilan kung bakit mas ninanais nila ngayong sumuko sa gobyerno .	but the realization of these promises that will never be fulfilled is the reason why they have chosen more to surrender now to the government .
<12>	(78.220-87.080)	kaya naman ang dating recruiter ng N_P_A ngayon tagahikayat na ng mga kasapi nito na sumuko at magbagong-buhay .	so the former recruiter of the N_P_A is now the persuading its members to surrender and have a new life .
<13>	(87.080-92.594)	bagay na mas madali kaysa mamundok malayo sa pamilya at humawak ng armas .	a thing easier than going up the mountains far from the family and holding arms .
<14>	(92.594-94.575)	noon ay inaya ~ %incomplete	in the past is according to %incomplete
