<1>	(Inline, 0.000-2.800)	ano nabili mo na tr- -- ano 'yong sasakyan ni ano ni Y_D ?	what were you able to buy -- what is Y_D's uh car ?
<2>	(Outline, 0.000-5.960)	<no-speech>	<no-speech>
<3>	(Inline, 2.800-3.790)	<no-speech>	<no-speech>
<4>	(Inline, 3.790-4.790)	'yong kotse niya ?	his car ?
<5>	(Inline, 4.790-5.810)	<no-speech>	<no-speech>
<6>	(Inline, 5.810-6.240)	<no-speech>	<no-speech>
<7>	(Outline, 5.960-6.768)	dito yata .	maybe here .
<8>	(Inline, 6.240-7.250)	<no-speech>	<no-speech>
<9>	(Outline, 6.768-7.387)	<no-speech>	<no-speech>
<10>	(Inline, 7.250-9.807)	<int> kaya nagpanotaryo na ko ha .	which is why I already had it notarized .
<11>	(Outline, 7.387-8.240)	nandito yata .	it's probably here already .
<12>	(Outline, 8.240-12.340)	<no-speech>	<no-speech>
<13>	(Inline, 9.807-10.760)	<no-speech>	<no-speech>
<14>	(Inline, 10.760-11.620)	<no-speech>	<no-speech>
<15>	(Inline, 11.620-13.685)	ang bibigay ko sa 'yo si mister Park .	I will give you Mister Park .
<16>	(Outline, 12.340-12.910)	ha ?	huh ?
<17>	(Outline, 12.910-16.780)	<no-speech>	<no-speech>
<18>	(Inline, 13.685-15.810)	<no-speech>	<no-speech>
<19>	(Inline, 15.810-17.570)	<no-speech>	<no-speech>
<20>	(Outline, 16.780-17.670)	'yong bago ?	the new one ?
<21>	(Inline, 17.570-18.310)	oo .	yes .
<22>	(Outline, 17.670-20.570)	<no-speech>	<no-speech>
<23>	(Inline, 18.310-18.858)	<no-speech>	<no-speech>
<24>	(Inline, 18.858-20.263)	sa 'yo nakapangalan eh .	it's under you name .
<25>	(Inline, 20.263-21.120)	(()) .	(()) .
<26>	(Outline, 20.570-21.860)	ano nga pangalan no'ng bago ?	what's the name of the new one ?
<27>	(Inline, 21.120-22.290)	<no-speech>	<no-speech>
<28>	(Outline, 21.860-24.450)	<no-speech>	<no-speech>
<29>	(Inline, 22.290-23.295)	<sta> type 'yon .	it's a type .
<30>	(Inline, 23.295-24.031)	<no-speech>	<no-speech>
<31>	(Inline, 24.031-25.060)	(()) on .	(()) on .
<32>	(Outline, 24.450-26.160)	ano bang pangalan <no-speech> -- ha ?	what's the name -- ?
<33>	(Inline, 25.060-26.220)	<no-speech>	<no-speech>
<34>	(Outline, 26.160-32.330)	<no-speech>	<no-speech>
<35>	(Inline, 26.220-27.569)	part one lang .	just part one .
<36>	(Inline, 27.569-30.425)	<int> 'di ba dapat halimbawa (()) sit park 'di ba .	shouldn't (()) be an example right .
<37>	(Inline, 30.425-32.914)	si tatay (()) sit park 'di ba .	dad (()) sit park right .
<38>	(Outline, 32.330-32.910)	oo .	yes .
<39>	(Outline, 32.910-34.690)	<no-speech>	<no-speech>
<40>	(Inline, 32.914-35.390)	(()) mas madali siya i-park .	(()) it's easier to park .
<41>	(Outline, 34.690-35.310)	oo .	yes .
<42>	(Outline, 35.310-44.980)	<no-speech>	<no-speech>
<43>	(Inline, 35.390-36.260)	<no-speech>	<no-speech>
<44>	(Inline, 36.260-36.910)	(()) .	(()) .
<45>	(Inline, 36.910-38.410)	<no-speech>	<no-speech>
<46>	(Inline, 38.410-40.070)	tagal nila dalawa lang ang ano niya eh .	those two are taking too long his uh .
<47>	(Inline, 40.070-40.970)	<no-speech>	<no-speech>
<48>	(Inline, 40.970-42.950)	'di ba sa Korean tatlo .	isn't it three for the Korean .
<49>	(Inline, 42.950-44.160)	<no-speech>	<no-speech>
<50>	(Inline, 44.160-44.680)	(()) .	(()) .
<51>	(Inline, 44.680-45.800)	<no-speech>	<no-speech>
<52>	(Outline, 44.980-45.511)	oo .	yes .
<53>	(Outline, 45.511-46.062)	<no-speech>	<no-speech>
<54>	(Inline, 45.800-46.678)	school .	school .
<55>	(Outline, 46.062-47.220)	ah kasali dalawa lang .	ah only two are included .
<56>	(Inline, 46.678-48.206)	<no-speech> oo .	yes .
<57>	(Outline, 47.220-48.280)	<no-speech>	<no-speech>
<58>	(Inline, 48.206-51.474)	<no-speech>	<no-speech>
<59>	(Outline, 48.280-49.360)	mhm .	yes .
<60>	(Outline, 49.360-50.600)	<no-speech>	<no-speech>
<61>	(Outline, 50.600-51.690)	park million -- park .	park million -- park .
<62>	(Inline, 51.474-52.384)	oo .	yes .
<63>	(Outline, 51.690-56.140)	<no-speech>	<no-speech>
<64>	(Inline, 52.384-53.571)	birthday niyan eh .	it's his birthday .
<65>	(Inline, 53.571-57.180)	<no-speech> pa- -- ako paradahan pasyalan eh .	-- mine is for parking leisure .
<66>	(Outline, 56.140-56.760)	ah .	ah .
<67>	(Outline, 56.760-60.080)	<no-speech>	<no-speech>
<68>	(Inline, 57.180-60.190)	<no-speech>	<no-speech>
<69>	(Outline, 60.080-60.580)	<no-speech>	<no-speech>
<70>	(Inline, 60.190-62.490)	<no-speech>	<no-speech>
<71>	(Outline, 60.580-62.540)	<no-speech>	<no-speech>
<72>	(Inline, 62.490-65.150)	<no-speech>	<no-speech>
<73>	(Outline, 62.540-65.180)	'di man lang ipinaalala sa 'kin 'yong pagsasama n'yo eh .	I wasn't even reminded of your companionship .
<74>	(Inline, 65.150-65.710)	ha ?	huh ?
<75>	(Outline, 65.180-68.590)	<no-speech>	<no-speech>
<76>	(Inline, 65.710-68.530)	<no-speech>	<no-speech>
<77>	(Inline, 68.530-69.070)	umm .	um .
<78>	(Outline, 68.590-69.960)	'di man lang pinakilala .	wasn't even introduced .
<79>	(Inline, 69.070-69.990)	<no-speech>	<no-speech>
<80>	(Outline, 69.960-73.980)	<no-speech>	<no-speech>
<81>	(Inline, 69.990-71.260)	<int> oh ?	oh ?
<82>	(Inline, 71.260-72.960)	<no-speech>	<no-speech>
