<1>	(0.000-1.585)	kasindak-sindak .	frightening .
<2>	(1.585-10.010)	<sta> may bagong pinagtatalunan ngayon ang mga dalubhasa kung saan nga ba <sta> ang tunay na kapanganakan ni Hesu Kristo ?	experts are now having a new debate on where Jesus Christ was really born ?
<3>	(10.010-11.084)	<no-speech>	<no-speech>
<4>	(11.084-17.680)	<sta> ayon sa nasaliksik ng Kasindak-sindak may dalawang lugar sa Israel na tinawag na Bethlehem .	according to the shocking research there were two places in Israel which were called Bethlehem .
<5>	(17.680-21.187)	may isang maliit na nayon doon na tinawag na Galilee .	there was a small town there called Galilee .
<6>	(21.187-35.341)	sa mga tradisyunal na pagdiriwang ng kapaskuhan tungkol sa kapanganakan ni Hesus nakalakihan na natin na siya ay isinilang sa sabsaban ng Bethlehem West Bank ng bansang Israel .	in traditional Christmas celebrations of the birth of Jesus we were already accustomed to the fact that he was born in a manger in Bethlehem West Bank in the country of Israel .
<7>	(35.341-43.690)	<breath> pero may pangalawang Bethlehem daw na maliit na village isang daang milya ang layo mula sa hilaga ng Bethlehem .	but there is supposedly a second Bethlehem which is a small village one thousand miles away from the north of Bethlehem .
<8>	(43.690-49.878)	dito raw ang totoong lugar kung saan isinilang ni Maria ang anak niyang <sta> si Hesus .	this is allegedly the real place where Mary gave birth to his son Jesus .
<9>	(49.878-53.570)	<no-speech>	<no-speech>
<10>	(53.570-65.810)	<sta> sabi ni Aviram Oshri opisyal ng Israel Antiquities Authority <int> naniniwala siya na may pangalawang Bethlehem nga at umikot ang buhay ni Hesus sa Galilee at Kinneret .	Aviram Oshri an official of the Israel Antiquities Authority said he believes that there is indeed a second Bethlehem and the life of Jesus was spent in Galilee and Kinneret .
<11>	(65.810-74.600)	<sta> walong milya ang layo ng village sa Nazareth kaya imposible raw na malakad ni Maria ang gano'n kalayong lugar .	the distance of the village from Nazareth is eight miles which is why it is impossible for Mary to walk to a place that far .
<12>	(74.600-84.084)	mahirap daw iyon dahil buntis siya at araw ang bibilangin para makarating sa Nazareth kung doon nga niya isinilang si Kristo .	that would be hard because she is pregnant and it would take days to reach Nazareth if she would give birth to Christ there .
<13>	(84.084-93.471)	sabi ni doktor Oshri sumakay si Maria sa donkey pagkapanganak akay-akay ni Maria si Hesus noong panahong iyon .	doctor Oshri said that Maria rode a donkey upon giving birth Maria was cuddling Jesus during those times .
<14>	(93.471-105.282)	pero nakapagtataka raw dahil ano nga ba ang tsansa na mabuhay ang sanggol na si Hesus habang sakay sa donkey na bumabiyahe papuntang Bethlehem hanggang sa Judea .	but it is curious what are the chances that the infant Jesus would live while riding a donkey from Bethlehem to Judea .
<15>	(105.282-106.164)	<no-speech>	<no-speech>
<16>	(106.164-110.040)	may nagsabi naman na si Hesus ay ipinanganak sa Nazareth .	someone said that Jesus was born at Nazareth .
<17>	(110.040-122.424)	sinabi ni doktor Uzi Dahari isang archaeologist sa panahon ng mga Romano kung saan nabuhay si Hesus hindi pinapayagang lumipat ng lugar sa lugar ang mga tao noon .	said by doctor Uzi Dahari an archaeologist in the Roman times when Jesus lived people were prohibited to transfer from place to place back then .
<18>	(122.424-122.810)	<no-speech>	<no-speech>
<19>	(122.810-132.691)	dahil ang buong pamilya ni Hesus ay nagmula sa Nazareth naniniwala ang archaeologist na ito na sa Nazareth din isinilang si Hesus .	because the whole family of Jesus came from Nazareth the archaeologist believes that here in Nazareth Jesus was born .
<20>	(132.691-143.342)	ngunit sa ating kasalukuyang panahon ang minamahalaga ay <hes> <breath> <sta> ang nagawa ni Hesus <int> sa pagkasilang at hindi kung saan siya isinilang .	but in the present time what is given importance are the things done by Jesus upon birth and not where he was born .
<21>	(143.342-148.963)	mahalaga si Hesu Kristo sa marami dahil isa siyang mabuting halimbawang nilalang sa mundo .	Jesus Christ is important to many because he is a good example of a human being in the world .
<22>	(148.963-149.620)	<no-speech>	<no-speech>
<23>	(149.620-157.980)	kaya nga ba anong saysay ng pagdiriwang ng kaniyang kaarawan kung ang mismong may kaarawan ay hindi masaya <breath> sa pagsaway ng marami .	so what is the meaning of celebrating his birthday if the one whose birthday is not happy with the unruliness of many .
<24>	(157.980-163.965)	<sta> sa dahilan ang kaniya mismong kapanganakan ang ipagpatuloy ang kaniyang sinimulan niyang aral .	the reason for his birth is to continue the teachings he started .
<25>	(163.965-171.050)	ang aral ng tunay na pagmamahalan ng bawat nilalang .	the teaching of true love between people .
