<1>	(0.000-1.992)	(()) sa lahat ng mga nanonood sa inyo .	(()) to everyone who's watching you .
<2>	(1.992-6.870)	kumusta po ang assessment ninyo ng <hes> day one ng balik eskuwela ?	how is your assessment of day one of back-to-school sir ?
<3>	(6.870-9.877)	<no-speech>	<no-speech>
<4>	(9.877-22.921)	alam mo medyo nahuli ako sa tunay na nangyari sa Kamaynilaan at sa ibang parte ng <hes> ng ating bansa dahil <hes> minabuti kong pumunta rito sa Maguindanao para tingnan naman kung ano nangyayari dito .	you know I am somewhat behind with the real events in Metro Manila and other parts of our country because I preferred to go here in Maguindanao to check what is really happening here .
<5>	(22.921-39.213)	so yung nakuha ko ay kalimitan ay mga reports at <hes> in general ang nakuha ko naman medyo maayos may paisa-isang <hes> mga problema sa iba't ibang mga eskuwelahan pero nagpapasalamat ako sa Diyos na in general mukhang okay naman yung unang araw ng ating pasukan .	so what I often got are reports and in general it's somehow all right there is the occasional problem in different schools but I am thankful to God that in general it looks like the first day of classes is okay .
<6>	(39.213-39.925)	mhm .	yes .
<7>	(39.925-47.190)	bra- -- brother Luistro pasensiya na ho kayo pero alam ko last year n'yo pa ho sinasabi na wala na tayong kakulangan sa classroom .	-- Brother Luistro please excuse me but I know that last year you said that we don't have a shortage of classrooms .
<8>	(47.190-59.440)	bagay na parang mahirap hong paniwalaan ng marami kasi pag nakita mo nga ho yung average <hes> classroom size 'no uma- -- lumalagpas pa ng fifty yung bilang ng mga estudyante sa kada classroom .	something that is somewhat difficult to believe for many because when you see the average classroom size right -- the number of students per classroom exceeds fifty .
<9>	(59.440-63.490)	so ano ho bang masasagot n'yo do'n <hes> secretary ?	so what can you say to that secretary ?
<10>	(63.490-65.353)	<no-speech>	<no-speech>
<11>	(65.353-73.225)	<hes> Jessica alam o <hes> talagang pag titingnan mo yung pangkalahatan kasi kami naman <hes> tinitingnan namin yung pangkalahatan ng ating bansa 'no .	Jessica you know when you look at it overall because we we look at it in general for our country .
<12>	(73.225-79.743)	yung ating <hes> classroom ratio umaabot na ngayon ng mga thirty eight o kaya forty two 'no ?	our classroom ratio now reaches up to thirty-eight or maybe forty-two right ?
<13>	(79.743-97.962)	<hes> ang talagang nagiging problema natin ay doon sa mga siyudad na kung saan talagang napakasikip ng ating mga residences lalo na pagka mayroon tayong mga illegal <hes> mga informal settlers o kaya yung mga relocatees na hindi naman masyadong napagplanuhan 'no ?	our real problem is there in the cities wherein our residences are too congested especially when we have illegal informal settlers or relocatees that were not really planned right ?
<14>	(97.962-107.477)	<hes> pero kahit alam mo kahit sa N_C_R <hes> masasabi natin na noong una nag-umpisa kami mayroon pa tayong mga schools na may tatlong shift ha .	but you know wherever in the N_C_R we can say that when we started we still had schools with three shifts .
<15>	(107.477-122.230)	<hes> pero ngayon nakasisigurado ako ang pinakamalala ay yung two shifts na lang o kaya mayroon tayong isang natitira na lamang sa N_C_R na isang three shifts pero sa grade four lang at may ginagawa naman tayong classroom do'n 'no ?	but now I am sure that the worst is only two shifts or we have one left in the N_C_R with three shifts but only in grade four and we are building a classroom there right ?
<16>	(122.230-129.350)	yung ating kakulangan noong twenty ten na naitala siyempre taon taon mayroon tayong mga bagong mga estudyante .	our shortage that we noted in twenty ten of course every year we have new students .
<17>	(129.350-133.490)	mayroon tayong mga classroom na nasisira tapos na-Yolanda pa tayo .	we have classrooms that break down and of course we were also hit by Yolanda .
<18>	(133.490-141.300)	mayroon tayong ibang programa diyan pero ang mahalaga yung ating kakulangan na hinahabol no'ng twenty ten ating nasolusiyonan .	we have other problems there but what's important is that we were able to solve the shortage we were working for in twenty ten .
<19>	(141.300-144.992)	mayroon pa bang mga bagong kakailangan ng ating eskuwelahan ?	do our schools have new needs ?
<20>	(144.992-145.990)	marami pa .	more .
<21>	(145.990-149.210)	pero mayroon din tayong mga programa para diyan .	we also have programs for that .
<22>	(149.210-149.829)	mhm .	yes .
<23>	(149.829-158.782)	Secretary Luistro yung mga transferee rin po galing sa private school pumunta na ng <hes> public school dahil sa taas po ng tuition ano ?	Secretary Luistro the transferees from private schools that went to public school because of high tuition uh ?
<24>	(158.782-167.980)	'yon ho na-input n'yo naman kasi 'yon -- may mga eskuwelahan ho yata lumobo yung bilang ng kanilang enrollee dahil maraming nga hong <hes> nag-transfer .	that one you were able to input that because -- there seem to be schools whose number of enrollees blew up because many transferred .
<25>	(167.980-172.290)	baka 'yon ho ang hindi na-input dito ho sa classroom ratio natin ?	maybe that's the one not included here in the input of our classroom ratio ?
<26>	(172.290-175.580)	<no-speech>	<no-speech>
<27>	(175.580-180.675)	<hes> ito siguro yung mga <hes> late enrollees pero hindi naman sila ~ %incomplete	maybe these are the late enrollees but they were not %incomplete
