<1>	(0.000-0.636)	<sta> Veneracion .	Veneracion .
<2>	(0.636-1.354)	<sta> Jun ?	Jun ?
<3>	(1.354-8.100)	<sta> Jessica mataimtim na ginunita dito ang <hes> unang anibersaryo ng Mamasapano encounter .	Jessica the first anniversary of the Mamasapano is being held here sincerely .
<4>	(8.100-14.428)	nagpunta ang <hes> ilang kamag-anak ng S_A_F forty four sa pinangyarihan ng engkuwentro para mag-alay ng panalangin .	some relatives of the S_A_F forty have come to the place of encounter to offer prayers .
<5>	(14.428-15.203)	<no-speech>	<no-speech>
<6>	(15.203-18.760)	no cameras no cameras <overlap> ang tawag dito ay Aray-ab .	no cameras no cameras they call this Aray-ab .
<7>	(18.760-27.730)	<sta> isang ritwal mula Cordillera para sa pagpapauwi ng mga kaluluwa ng mga nasawi sa mismong lugar sa barangay Tukanalipao sa Mamasapano Maguindanao .	a ritual from Cordillera to bring home the souls of the victims to Barangay Tukanlipao in Mamasapano Maguindanao .
<8>	(27.730-32.350)	kung saan pinaslang ang marami sa S_A_F forty four isinagawa ang Aray-ab .	where many of the S_A_F forty were killed the Aray-ab was held .
<9>	(32.350-40.660)	umaasa ang pamilya ng ilan sa S_A_F forty four na dumalo sa ritwal na sana matahimik na ang kaluluwa ng kanilang mahal sa buhay .	families of some S_A_F forty that arrived are hoping that the souls of their loved ones are at peace already .
<10>	(40.660-50.600)	sa Camp Crame naman sinabi ni pangulong Noy-Noy Aquino ang kaisa-isang bagay na makapagpatahimik sa kanilang kaluluwa at sa kalooban ng kanilang naiwan hustisya .	meanwhile in Camp Crame President Noynoy Aquino said that the only thing that can make them and the families they left at peace is justice .
<11>	(50.600-57.357)	makakaasa kayo kasabay ng pag sigurong mabibigyan na bibigyan ng suporta ang pamilya sa S_A_F forty four .	you can expect together with the guarantee of support that will be given to the families of S_A_F forty four .
<12>	(57.357-61.859)	puspusan ang ating pagsisikap para makamit ang hustisya .	are efforts to attain justice is thorough .
<13>	(61.859-62.840)	<no-speech>	<no-speech>
<14>	(62.840-67.270)	pero isang taon na ang nakalipas wala pa ni isa <int> ang nasasampahan ng kaso .	but one year has already passed not even one has been filed with a case .
<15>	(67.270-71.019)	<sta> isinumite na raw para sa resolusyon ang imbestigasyon ng Department of Justice .	the investigation of Department of Justice has already been submitted for resolution .
<16>	(71.019-78.550)	<sta> sa una nilang rekomendasyon dapat kasuhan ang dalawampu't anim na miyembro ng Moro Islamic Liberation Front o M_I_L_F .	in their first recommendation twenty-six members of Moro Islamic Liberation Front or M_I_L_F should be sued .
<17>	(78.550-86.080)	labing-dalawang miyembro ng Bangsamoro Islamic Freedom Fighters o B_I_F_F at limampu't dalawang miyembro ng private armed group .	twelve members of the Bangsamoro Islamic Freedom Fighters of B_I_L_F and fifty-two members of private armed group .
<18>	(86.080-91.850)	sa ulat ng senado may pananagutan din ang high ranking government officials kasama ang pangulo .	in the report of senate the high ranking government officials including the president also have responsibilities .
<19>	(91.850-94.558)	at muli nilang bubuksan ang imbestigasyon ngayong Linggo .	and they will open the investigation this Sunday once again .
<20>	(94.558-98.820)	habang gumugulong ang proseso patuloy ang pagluluksa .	while the process is rolling mourning goes on .
<21>	(98.820-104.550)	ang asawa ni police chief inspector Ryan Pabalinas na si Erica hindi dumalo sa Crame .	the wife of Police Chief Inspector Ryan Pabalinas Erica didn't come to Crame .
<22>	(104.550-108.460)	natanggap na raw nila ang mga benepisyo kasama ang scholarship ng mga anak .	they already received the benefits including the scholarship of their children .
<23>	(108.460-110.685)	pero hindi pa rin daw naghihilom ang sugat .	but the wound is still not healing .
<24>	(110.685-111.890)	<int> that's right .	that's right .
<25>	(111.890-120.290)	<sta> opo ako (()) para po sa anak ko sana po mabigyan ng linaw or mabigyan na po kami ng hustisya .	yes I (()) for my child I hope this can be cleared or we can be given justice .
<26>	(120.290-128.890)	ang kaanak ni P_O three Chum Agabon sa Iligan naghihintay pa rin daw sa pangako ng gobyerno na ipapaopera ang anak ni Agabon na maysakit .	the relative of P_O Three Chum Agabon in Iligan is still waiting for the promise of the government to finance the operation of Agabon's child who is sick .
<27>	(128.890-136.166)	pinaplano na raw ng biyuda ni Agabon na mangibang bansa na lang at iwan muna ang mga anak para lang may pantustos .	Agabon's widow is already planning to work overseas and leave the children first just to provide for them .
<28>	(136.166-137.703)	kung sinong tulong-tulong na lang .	whoever just help hand in hand .
<29>	(137.703-138.480)	mm .	mm .
<30>	(138.480-145.928)	ang managot dapat managot talaga mm sa sistema hindi iyong mangyari ganoon kung walang may mga kasalanan doon .	those who are accountable should really take account in the system not just if they don't have any offense .
<31>	(145.928-152.800)	mm ang ina ni P_O two Romeo Senin iniisip pa rin daw hanggang ngayon na nasa Zamboanga lang ang anak .	the mother of P_O Two Romeo Senin is still thinking that her son is just in Zamboanga up until now .
<32>	(152.800-158.520)	<foreign> at bigla na lang uuwi isang araw .	<foreign> and will just come home one day .
<33>	(158.520-166.550)	ayon sa Philippine National Police o P_N_P may mga grupo raw na nagsabi sa kaanak ng S_A_F forty four na huwag dumalo sa commemoration sa Crame .	according to the Philippine National Police or P_N_P there are groups that told the relatives of S_A_F forty-four to not attend the commemoration in Crame .
<34>	(166.550-168.271)	may mga accounts iyong mga commanders natin .	our commanders have accounts .
<35>	(168.271-177.540)	there were <hes> ma -- parang may effort daw talaga oo from some groups to prevent our this -- the families of our S_A_F forty four to come over in .	there were really efforts from some groups to prevent the families of our S_A_F forty-four to come over in .
<36>	(177.540-188.930)	iginawad ni P_Noy ang pinakamataas na parangal sa unipormadong hanay ang Medalya ng Kagitingan o Medal of Valor kina senior inspector Gednat Tabdi at P_O two Romeo Cempron .	P_Noy awarded the highest recognition the Medal of Valor to the line of uniformed Senior Inspector Gednat Tabdi and P_O Two Romeo Cempron .
<37>	(188.930-192.340)	si Cempron ang lead gunner ng fifty fifth special action company .	Cempron is the lead gunner of the fifty-fifth special action company .
<38>	(192.340-195.196)	ang nagsilbing cover at napuruhan ng mga kalaban .	the one who served as cover and was targeted by the enemies .
<39>	(195.196-203.120)	ng maubusan ng bala at wala ng armas iniharang niya ang katawan sa mga bala upang makaligtas ang mga kasamahan .	when he used up the bullets and had no arms he blocked the bullets with his body to save his comrades .
<40>	(203.120-208.640)	at si Tabdi naman ang namuno sa eighty fourth S_A_C na siyang nagsakatuparan ng misyong hulihin si Marwan .	and Tabdi led the eighty-fourth S_A_C that fulfilled the mission to catch Marwan .
<41>	(208.640-219.290)	sugatan man pagod at uhaw mahusay pa rin niyang pinamunuan ang pangkat upang matapatan ang puwersa ng kalaban dehado man sila sa bilang .	wounded tired and thirsty he still efficiently commanded the group to counter the force of the opponents regardless of their disadvantage in count .
<42>	(219.290-220.934)	<no-speech>	<no-speech>
<43>	(220.934-226.960)	habang-buhay na tatanggap ng twenty thousand buwan-buwan ang pamilya nina Tabdi at Cempron bukod pa sa pension .	the families of Tabdi and Cempron will receive twenty thousand monthly life-long aside from the pension .
<44>	(226.960-229.644)	may scholarship din ang kanilang mga anak hanggang kolehiyo .	their children will also have scholarships until college .
<45>	(229.644-243.490)	<sta> nagpasalamat ako dako sa Ginoo na <sta> na ano iyong heart ko kasi kahit patay na siya nandito pa rin buhay parang buhay iyon .	I give many thanks to the Lord that my heart is even though it's dead it's still here seems like it's still alive .
<46>	(243.490-250.544)	<sta> salamat ng Panginoon iyong nag-ano sa kanila iyong mga <sta> forty four S_A_F .	thank you God the one who the forty-four S_A_F .
<47>	(250.544-253.737)	<sta> sana mahanap iyong katarungan .	I hope they find justice .
<48>	(253.737-257.990)	<no-speech>	<no-speech>
<49>	(257.990-262.570)	medalya ng kabayanihan naman ang ginawad sa natitirang apatnapung dalawang S_A_F .	medal of heroism was awarded to the remaining forty-two S_A_F .
<50>	(262.570-265.098)	gayundin sa limang S_A_F commandos na nakaligtas .	as well as with the five S_A_F commandos who survived .
<51>	(265.098-267.760)	may kaakibat din itong mga benepisyo .	this also has benefits .
<52>	(267.760-275.430)	kasabay ng paggunita sa S_A_F nag-alay rin ng panalangin ang M_I_L_F para sa kaluluwa ng kanilang mga kasamahang nasawi rin sa engkuwentro .	together with the recollection of S_A_F M_I_L_F also offered prayers to the souls of their comrades who were killed in the encounter .
<53>	(275.430-283.050)	iyong mga tulong of course salakayan ng lahi bumigay -- nagbigay kami ng tulong .	the help of course attack of ancestry gave us help .
<54>	(283.050-297.090)	hindi lamang doon sa mga (()) pati iyon sa mga pamilya mga (()) nagbigay rin kami ng tulong pero it's never enough .	not just for the (()) also the families of the (()) we also gave help but it's never enough .
<55>	(297.090-302.269)	may apela naman ang lokal na pamahalaan ng Mamasapano para sa limang sibilyang nasawi sa bakbakan .	the local government of Mamasapano has an appeal for the five civilians that were killed in the combat .
<56>	(302.269-305.824)	eh nakakalungkot nga lamang kasi ang napapansin lang is iyong S_A_F .	well it is only saddening because only the S_A_F is being noticed .
<57>	(305.824-310.341)	hindi ko naman sinasabing huwag pansinin but sana pati din naman iyong sibilyan .	I'm not saying they should not pay attention but I hope they include the civilians .
<58>	(310.341-314.130)	even iyong fighters ng M_I_L_F hindi naman nila ginusto iyong nagkaroon ng barilan dito .	even the fighters of M_I_L_F they didn't want the encounter that happened .
<59>	(314.130-321.630)	isang taon na ang lumipas pero nananatiling nakatayo ang tulay na ito na naging simbolo na rin ng madugong engkuwentro dito sa bayan ng Mamasapano .	one year has passed but this bridge that has been the symbol of the bloody encounter here in the town of Mamasapano remains up .
<60>	(321.630-330.884)	hindi na ito ginagamit pero plano pa rin ng lokal na pamahalaan na patibayin para raw maging paalala sa lahat ng madugong kasaysayan na puwede naman daw sanang maiwasan .	this is no longer being used but the local government plans to restore it for this to be a reminder to all about the bloody history that could have been prevented .
<61>	(330.884-332.769)	marami na ang nagbago sa Mamasapano .	many has changed in Mamasapano .
<62>	(332.769-336.380)	kongkreto at malapad na ang daan paloob sa Tukanalipao .	the road to Tukanalipao is now concrete and wide .
<63>	(336.380-340.710)	kayang-kaya na raw pumasok ng rescue at reinforcement unit sakaling may sakuna .	rescue and reinforcement unit can easily pass in case of disasters .
<64>	(340.710-342.670)	pinalitan na rin ang kahoy na tulay .	the wooden bridge has also been replaced .
<65>	(342.670-344.418)	may mga irrigation project .	there are irrigation projects .
<66>	(344.418-346.650)	may mga bagong silid-aralan .	there are new classrooms .
<67>	(346.650-351.481)	lahat daw ito'y mga programang hindi nila natikman noon bago mangyari ang trahedya .	all of these are programs they have not experienced in the past before the tragedy happened .
<68>	(351.481-357.570)	parang ang signal pa kailangan pang mangyari ito para i-implement nila iyong mga previous projects dito .	like the signal is this needs to happen for them to implement the previous projects here .
<69>	(357.570-363.877)	in coordination with the local government units dito concentrated iyong mga projects <overlap> mm so that's part of the healing process .	in coordination with the local government units here the projects are concentrated mm so that's part of the healing process .
<70>	(363.877-364.880)	(()) .	(()) .
<71>	(364.880-368.450)	(()) .	(()) .
<72>	(368.450-386.458)	Jessica hindi naman talaga maitatanggi na malaki na rin maski papaano ang <hes> naging pagbabago sa Mamasapano isang <hes> taon mula ng mangyari nga ang <hes> madugong engkuwentro kaya naman <hes> umaapela rin iyong mga lokal na opisyal pati na rin iyong mga residente na sana daw ay huwag na silang makalimutan pa lalo na sa mga susunod pang taon Jessica .	Jessica it cannot really be denied that the change in Mamasapano has been somehow big one year since the bloody encounter happened so the local officials are appealing as well as those residents that hopefully they will not be forgotten especially the following years Jessica .
<73>	(386.458-394.524)	Vene mas kampante na ba iyong mga residente ng <hes> Mamasapano na hindi na mauulit itong nangyaring engkuwentro ?	Vene those residents in Mamasapano are they confident that this encounter that has happened will not be repeated ?
<74>	(394.524-403.417)	<hes> mas may peace of mind na ba sila one year after it happened at nakita natin may mga proyektong <hes> ginawa na sa wakas sa kanila .	do they have more peace of mind one year after it happened and we have seen there are projects finally made for them .
<75>	(403.417-407.120)	<no-speech>	<no-speech>
<76>	(407.120-420.740)	alam mo Jessica napunta ako dito noong <hes> isang araw makaraang nangyari nga iyong Mamasapano encounter at bumalik ako mga two or three weeks after noong nagsimula naman iyong offensive ng military laban sa B_I_F_F at kitang-kita ko iyong difference .	you know Jessica I had arrived here last one day after that Mamasapano encounter happened and I came back around two or three weeks after the military offensive against the B_I_F_F started and I have really seen the difference .
<77>	(420.740-427.030)	iyong <hes> iyong iba iyong <hes> pagnaki- -- pag nakakausap mo iyong mga tao nandoon iyong magiging kampante na sila .	that that that is different -- if you are able to talk those people there when they become secured .
<78>	(427.030-449.630)	at ang report naman ng <hes> ng <hes> Armed Forces of the Philippines Jessica ay wala silang nakikitang <hes> o na-mo-monitor na mga sightings ng mga armadong grupo dito sa kanilang area ng Mamasapano kaya ang sabi nila base sa kanilang obserbasyon at sa kanilang security analysis ay malaki na talaga ang pinagbago ng Mamasapano hindi lang tungkol sa mga proyekto sa kaunlaran maging sa aspeto ng seguridad Jessica .	and the report also of the Armed Forces of the Philippines Jessica is they have not seen or monitored sightings of the armed groups here in their area of Mamasapano so they said based on their observation and in their security analysis is that Mamasapano has really changed a lot not only about the projects on progress even in the aspect of security Jessica .
<79>	(449.630-455.551)	mm iyong <hes> livelihood ng mga kababayan natin diyan na na-disrupt for such a long time .	mm the livelihood of our fellowmen there which has been disrupted for such as long time .
<80>	(455.551-460.381)	nakikita kasi natin sa video natin mismo ang ganda sana ng mga sakahan nito ano ?	because we are seeing in the video itself its farmlands could have been beautiful right ?
<81>	(460.381-464.239)	flat lands tapos may ilog fertile iyong soil .	flat lands then there is a river the soil is fertile .
<82>	(464.239-469.934)	eh na disrupt iyan after the encounter kasi ang tagal na ang daming tao nakatira sa mga evacuation site .	but that was disrupted after the encounter because it has been long time since there are many people living in the evacuation sites .
<83>	(469.934-476.713)	ngayon ba back to the you know iyong <hes> natural grind noong buhay ng mga kababayan natin diyan ?	now is it back to the you know the natural grind of the lives of our countrymen there ?
<84>	(476.713-480.300)	<no-speech>	<no-speech>
<85>	(480.300-489.371)	aah tama ka diyan Jessica na iyong mga magsasaka rito karamihan kasi rito sa mga nandito sa area ng Mamasapano lalo na dito sa barangay Tukanalipao ay mga farmers ito Jessica .	aah you are right there Jessica that those farmers here because mostly those who are here in the area of Mamasapano especially here in barangay Tukanalipao are farmers Jessica .
