<1>	HEAT STROKE AT ANG MGA PUGON NA MRT AT LRT	heat stroke and the oven MRT and LRT
<2>	DUMARAMI ang mga mamamayan na tinatamaan ng heat stroke dahil sa sobrang init ng panahon.	citizens affected by heat stroke because of the severely hot weather are increasing.
<3>	Marami ring alagang hayop, gaya ng mga kalabaw at baka, ang namamatay dahil sa sobrang init ng panahon.	many pets, like water buffalos and cows, are also dying because of the extremely hot weather.
<4>	Nahi-heat stroke din sila.	they also get heat stroke.
<5>	Pero ang nakakakaba ay ang heat stroke na tumatama sa tao.	but what is worrisome is the heat stroke that affects people.
<6>	Kung hindi ka kasi mamamatay, masasama ang iyong pamilya sa iyong paghihirap, maging ang iyong mga kapitbahay.	because if you do not die, your family, even your neighbors, will get dragged into your distress.
<7>	MALAKING KAWALAN	a big loss.
<8>	PARA sa mga magsasaka, malaking kawalan ang pagkamatay ng kanilang mga katuwang sa pagbubukid na kalabaw at baka dahil sa init ng panahon.	for farmers, the death of their partners in farming, the water buffalo and cow, due to the hot weather is a big loss.
<9>	Kasi naman, gamit ng mga magsasaka ang mga kalabaw at baka sa pag-aararo ng mga bukid, paghila ng kanilang mga kariton sa pamamalengke, pagtitinda ng kanilang mga produkto at paghila ng mga produkto galing sa mga bundok gaya ng boho at iba pa.	because farmers use the water buffalos and cows in plowing farm fields, towing their carts while shopping at the market, selling their products and hauling their products, like boho and others, from the mountain.
<10>	Kasunod naman nito ang paggamit ng mga magsasaka ng mga makinarya na wala nang ginawa kundi lamunin ang kita nila sa sobrang mahal na mga produktong petrolyo at piyesa.	next to this is the farmers' use of machines, which do nothing but eat up their earnings through very expensive petroleum products and parts.
<11>	Diyan damang-dama ang hirap ng kawalan ng mga katuwang ng mga magsasaka.	this is where the difficulty of having no partners is felt by the farmers.
<12>	HEAT STROKE SA TAO	heat stroke in humans.
<13>	GRABE kung tumama ang heat stroke sa tao.	it is severe when heat stroke affects people.
<14>	Kung hindi ka mamamatay, mapaparalisa ka nang matagal.	if you do not die, you will be paralyzed for a long time.
<15>	At kung ikaw ang haligi ng tahanan o bumubuhay ng iyong pamilya, maiimadyin mo na kung anong hirap ang sasapitin ng iyong pamilya.	and if you are the head of the family or supporting your family, you can just imagine the kind of suffering that your family will experience.
<16>	Okey lang kung mayaman ka at hindi mo problema ang pangangailangan ng iyong pamilya.	it is okay if you are rich and the needs of your family isn't your problem.
<17>	Pero paano kung pangkaraniwan kang mamamayan lamang?	but what if you are just a common citizen?
<18>	O paano kung isang kahig, isang tuka ang iyong kalagayan?	or what if you are living from hand to mouth?
<19>	NAMATAY NA LANG SANA AKO	I should have just died.
<20>	PARA sa ama o ina na nakikitang naghihirap ang kanyang pamilya, karaniwang nasasambit na lang niyang “namatay na lang sana ako.”	for a father or mother who is seeing his or her family suffering, he or she would just usually say, "I should have just died."
<21>	Paano naman kasi, kakambal ng sakit sa heat stroke ang pagtigil ng bata sa pag-aaral, krisis sa bayarin sa kuryente at tubig, krisis sa pambili ng gamot at pampaospital at iba pang krisis gaya ng pagpapalayas sa iyo sa iyong inuupahang bahay o hinuhulugang housing.	because getting sick with heat stroke is associated with a child dropping out from school, crisis in electricity and water utility bills, crisis in buying medicine and hospitalization and other crises like getting kicked out of your rented house or housing paid by installment.
<22>	Sa hirap ba naman ng buhay ngayon at mismong ang gobyerno pa ang umaamin na talagang malawakan ang paghihirap at kagutuman.	with difficult times right now and with the government itself admitting that poverty and hunger is really widespread.
<23>	15 TAON NA PAG-UNLAD	15 years of progress.
