<1>	Si Rex at ang Kanyang Pamilya	Rex and his family
<2>	Posted by penpowersong	Posted by penpowersong
<3>	Si Rex at ang Kanyang Pamilya	Rex and his family
<4>	ni Apolinario Villalobos	by Apolinario Villalobos
<5>	Nagkurus ang landas namin ni Rex (ayaw niyang ipabanggit ang apelyido niya) sa 7-11 store, tapat ng Robinson’s-Imus.	Rex (whose surname he doesn't want to be mentioned) and I have crossed paths in a 7-11 store, across Robinson's-Imus.
<6>	Nagkakape ako noon habang hinihintay ko ang pagbukas ng mall kung saan naroon ang store ng computers na may magaling na technician na naging suki ko na, si Allen.	I was having coffee that time while waiting for the mall to open where there is a computer store with a skillful technician who I always go to, he's Allen.
<7>	Nang umagang yon, ang suot na pantalon at polo shirt ni Rex ay halatang hindi na-plantsa pero hindi naman gusot talaga, at ang sapatos na suot ay mumurahing rubberized na itim pero naka- medyas naman siya.	that morning, the pants and polo shirt worn by Rex were obviously not pressed but it was not really that crumpled, and the shoes he was wearing was a cheap rubberized black but he was wearing socks though.
<8>	Napansin kong nakatingin siya sa kape ko kaya inalok ko siya, at nang tumanggi ay tumayo pa rin ako upang ibili siya.	I noticed that he was looking at my coffee so I asked him to have some, and when he refused I still stood to buy him one.
<9>	Sa halip na inumin agad ang kape, medyo nahihiya pang nagtanong kung pwede daw akong magpasa sa kanya ng load dahil iti-text daw niya ang supervisor ng inaaplayan niyang grocery, bilang merchandiser.	Instead of readily drinking the coffee, he slightly was shy in asking if I can possibly pass him some load because he will be texting the supervisor of the grocery he applied at, as merchandiser.
<10>	Papasahan ko na sana pero nalaman kong Globe ang gamit niya at ako naman ay Smart kaya hindi puwede.	I was about to do the pass but I learned that he was using Globe and I was on Smart so it won't do.
<11>	Binigyan ko na lang siya ng sampung pisong pang-load.	I instead gave him ten pesos for loading.
<12>	Bago umalis upang magpa-load ay saka pa lang siya nagpakilala at iniwan din ang belt bag.	Before he left to do the loading is the only time he said who he was and also left his belt bag.
<13>	Nang makabalik pagkatapos magpa-load ay nag-text agad sa supervisor ng inaaplayan niya para i-confirm na darating siya.	Upon returning after doing the load, he readily texted the supervisor where he applied to confirm that he was coming.
<14>	Ipinagtapat niya na naglakad lang daw siya mula sa kubo nila sa isang bukid na malapit sa isang kilalang subdivision.	he confessed that he only walked from their hut in a farm that is near a popular subdivision.
<15>	Wala daw talaga siyang pera dahil ang kinita niya sa pagbenta ng ilang taling kangkong at talbos ng kamote sa palengke ng Imus, madaling araw pa lang ay ibinili niya ng dalawang kilong bigas at apat na pirasong tuyo para may makain ang dalawa niyang kapatid bago pumasok sa eskwela….	he really doesn't have money because his earnings from selling several bundles of swamp cabbage and sweet potato tops in Imus market, from early dawn he already used to buy two kilos of rice and four pieces of dried herring so his two siblings will have something to eat before they go to school...
<16>	siya ay hindi na nag-almusal para may matirang kanin at ulam sa nanay niyang maysakit.	he didn't have breakfast so there will be leftover rice and viand for his mother who is sick.
<17>	Ang natirang barya ay ibinigay niya sa kanyang nanay para maipon at maipambili ng gamot.	The remaining coins he gave to his mother to save and use for buying medicine.
<18>	Bago daw umalis ay naglaga na rin siya ng talbos ng kamote para pandagdag sa inihaw na tuyo – almusal ng kanyang nanay.	Before he left he also boiled sweet potato tops to add to the grilled dried herring - breakfast of his mother.
<19>	Sa nabili niyang apat na tuyo, bale tig-isa sila at ang share niya ay kakainin niya sa tanghalian.	in the four dried herring he bought, they will have one each and he will eat his share for lunch.
