<1>	Raket ng mga kawatan sa pantalan, buwag na!	the thieves scheme at the port, dismantled!
<2>	BUKONG-BUKO na ni Bureau of Customs Comm. Ruffy Biazon ang dalawang mastermind ng “hao-siao” na pinaniniwalaang utak ng sindikato na nabuwag kamakailan ng nasabing ahensya.	Bureau of Customs Commissioner Ruffy Biazon already found the two masterminds of hao-xiao who were believed to be the mastermind of the syndicates that was dismantled recently by the said agency.
<3>	Tuluyan nang nahubaran ng maskara ang mga tarantadong nagpapanggap na empleyado na “rumaraket” sa Aduana.	the shameless pretentious employees who work in Aduana have their masks finally worn off.
<4>	Nabuking na isang alyas Rene ang isa rito at dati nang ‘kotongero’ sa Aduana na nagpapakilalang kamag-anak ni Biazon at dikit daw siya sa asawa ni Biazon.	it was exposed that one of them was an alias Rene and had been an extortionist in Aduana who introduced himself as Biazon's relative and acquainted to Biazon's wife.
<5>	Pero ‘wag ka, ni anino at balahibo ng tarantadong alyas Rene na ito ay hindi kilala ni Biazon, bagkus ay pinagsisibak na nito ang mga alipores nitong si alyas Rene.	but even the shadow or fur of this shameless alias Rene is never known to Biazon, instead, he is firing the accomplices of this alias Rene.
<6>	Nadiskubre pa sa mga imbestigasyon na malimit daw na kinakaladkad ng gagong alyas Rene na ito sa kanyang sindikato ang pangalan ng isang presidential adviser para katakutan siya sa Aduana.	discovered in the investigations that the damn alias Rene usually drag the name of the presidential adviser to his syndicate to be feared in Aduana.
<7>	Madalas din daw napa-pagkitang gumagagala si Rene sa Customs at napapagkita na biglang sumusulpot sa mga okasyon na kung saan ay imbitado ang nasabing komisyoner.	Rene is usually seen roaming at Customs and is seen to suddenly appear on occasions where the said commissioner is invited.
<8>	Ang akala tuloy ng marami na very close nga ang dalawa pero ang totoo, isang pamamaraan ito ni alyas Rene para mapaniwala niya ang lahat na kamag-anak nito ang nasabing komisyoner.	a lot consequentially thought that the two are very close but in reality, this is the way of alias Rene to make everyone believe that the commissioner is his relative.
<9>	Kaya nang malaman ni Biazon na si Rene ang siyang mastermind ng mga kawalanghiyaan sa Customs ay kaagad niyang iniutos kay Enforcement Security Service chief Gen. George Alino ang pag-aresto rito.	so when Biazon learned that Rene is the mastermind of the shamelessness in the Customs, he immediately commanded Enforcement Security Service Chief General George Alino of his arrest.
<10>	Napag-alaman pa rin sa intel report ng BOC na kaya raw nakapangraraket itong si Rene ay dahil siya ay protektado ng dalawang official ng Customs na dating militar na sina alyas “Teddy” at “Jojo K.”	it was noted from the intelligence report of the BOC that the reason why Rene was able to scheme is because he was protected by two Customs officials, alias "Teddy" and "Jojo K.", who were former military.
<11>	Tuloy ang sugal sa Binangonan	gambling in Binangonan continues
<12>	Wala pa ring tigil si Nerba sa pagpapanatili ng puwesto piho nitong color game sa Brgy. Darangan, Binangonan, Rizal.	Nerba has not stopped in maintaining the post of the color game in Barangay Darangan, Binangonan, Rizal.
