<1>	In Memory of Her	in memory of her
<2>	In Memory of Her (Lk. 8: 1-30	in memory of her (Luke 8: 1-30
<3>	Sa mga simbahan lagi tayong makakakita ng manang na naglilingkod.	in churches we can always see old women ministering.
<4>	Sila yung mga kababaihan na hindi na natin matandaan kung kailan sila naging laman ng simbahan.	they are the women whom we cannot remember when they became part of the church.
<5>	Sila din yung mga babaeng laging nandyan kahit na magpalit ng pari.	they are also the women always present even when the priest is replaced.
<6>	Kahit anong ugali ng pari, kahit na ilang ulit silang paiyakin at pahirapan, sila ay makikita mo pa rin sa loob ng simbahan na tahimik na naglilingkod.	whatever the personality of the priest, despite how many times they cry and suffer, you can still see them inside the church ministering silently.
<7>	Wala na yatang makapipigil sa kanila kaya nga sila ay naging mukha na ng simbahan…Yun bang tila hindi kumpleto ang kulay ng simbahan kung sila ay walang puwang.	it seems there is nothing that can stop them so they have become the image of the church... as if the image of the church is incomplete if there is no space for them.
<8>	Maaaring sila ay nasa choir kaya nga ng boses niya at tila naging opisyal na boses na ng mga misa.	they may be in the choir that is why their voices seem to have become the official voice of the mass.
<9>	Sila din ay mga Lectors and Commentators na dahil sa katagalan nila sa paglilingkod ay tila hindi kumpleto ang pagdiriwang pag wala sila.	they are also lectors and commentators who, due to the length of their service, seem to make the celebration incomplete if they are missing.
<10>	Sila din yung mga Collectors na kahit na yata nakapikit ay alam na alam na nila ang kanilang tungkulin.	they are also the collectors that, even with eyes closed, are probably very familiar with their duty.
<11>	Sila din yung mga ushers na pag may misa ay gumagabay sa mga nagsisimba.	they are also the ushers who guide churchgoers whenever there is mass.
<12>	At kung titingnan mo ang nasa loob ng simbahan habang nagmimisa, karamihan diyan ay mga kababaihan.	and if you will look at what is inside the church during mass, majority of those are women.
<13>	Ano kaya ang mukha ng Simbahan kung wala ang mga kababaihan?	what will be the image of the Church if women are not around?
<14>	Nakakatuwa sapagkat sa Mabuting Balita ay nabanggit ang mga kababaihan na kasama ni Hesus sa kanyang pagpapahayag ng Salita ng Diyos.	it is gratifying because the gospel mentioned the women who accompanied Jesus in his proclamation of the word of God.
<15>	Sila sina Maria Magdalena, Juana, at Susana.	they are Mary Magdalene, Juana, and Susana.
<16>	Hindi man natala dito ang kanilang mga ginagawa alam naman natin na sa likod ng mga gawain ni Hesus at ng mga alagad, hindi mawawala ang mga kababaihan.	even if their actions are not recorded here, we know that behind the work of Jesus and his disciples, women cannot be absent.
<17>	Hindi man sila naging sikat pero kaligayahan na nila na makatulong kay Hesus.	they did not become famous but it was their joy to help Jesus.
<18>	Sabi ni Pope Francis: "Women in the Church have had and have a special role in opening the doors to the Lord, in following him, in communicating his message."	Pope Francis said: "women in the church have had and have a special role in opening the doors to the Lord, in following him, in communicating his message."
<19>	Malaki talaga ang papel ng mga kababaihan sa Simbahan.	the role of women in church is really big.
<20>	Kaya nga sa tuwing pupunta tayo sa simbahan, hwag kalimutan na sila ay pasalamatan.	which is why every time we go to church, do not forget to thank them.
<21>	At lagi nating tandaan, ang Simbahan ay di lamang para sa mga kalalakihan…Ang mga kababaihan ay meron laging mahalagang ginagampanan sa paglago ng Simbahan…	and let us always remember, the church is not only for men... women always have an important role in the growth of the church...
