<1>	BAWAL PERO NAGPAPATULOY: JUETENG, SUHOL, PAGPAPAPUTOK	prohibited but still continues: gambling, bribes, explosives
<2>	MATAPOS ang maingay na pagsalubong sa Bagong Taon ng 2014, Year of the Wooden Horse sa Chinese Zodiac, nagpaalam na nga ang Taong 2013.	after the loud welcome of New Year of 2014, Year of the Wooden Horse in Chinese Zodiac, the year 2013 bid its goodbye.
<3>	Kasabay nito ang pagkakitil ng maraming buhay at pagkasugat ng marami dahil sa paputok sa Bagong Taon.	along with it is the end of many lives and injury of many because of the fireworks in New Year.
<4>	Sinasabi ng Kagawaran ng Kalusugan na sa Enero 2014, 809 na ang naging biktimang namatay.	Department of Health says that in January 2014, 809 victims have already died.
<5>	Kabilang dito ang isang 3-buwang gulang na sanggol na si Von Alexander Llagas ng Caoayan; at si Rhanz Corpuz, ng Ilocos Sur matapos tamaan ng ligaw na punglo sanhi ng pagpapaputok ng baril ng ‘di pa nakikilalang salarin.	this includes the 3-month old baby, Von Alexander Llagas, of Caoayan; and Rhanz Corpuz of Ilocos Sur after they got hit by stray bullets caused by firing of shots by unknown suspects.
<6>	Isang 2-taong gulang na bata naman na si Diane Vocal, edad 2, ng Caniogan, Pasig at si Carmen Samson, 50, ng Rosario, Batangas ang swerteng nakaligtas sa tama ng mga punglo.	one 2-year old girl named Diane Vocal, of age 2, of Caniogan, Pasig; and Carmen Samson, 50, of Rosario, Batangas luckily survived the gunshots.
<7>	Dahil sa mga ito, at gaya ng inaasahan, muli na namang nabuhay ang mga panukala sa total ban sa mga paputok.	because of these, and just like expected, proposal for total ban of explosives has begun again.
<8>	Ito umano ang mabisang paraan sa pagpigil sa mataas pa ring bilang ng mga namamatay at nasusugatan sa paputok.	this is believed to be an effective way to prevent an increase rate of death and injured from explosives.
<9>	Gaya rin ng dati, mahigpit ang nagiging pagtutol ng mga tagagawa at tagabenta ng mga paputok.	just like before, manufacturers and vendors of fireworks strongly protests.
<10>	Papatayin daw ng ban ang industriya.	the ban will kill the industry.
<11>	Itinanggi rin ng asosasyon ng mga magpapaputok ang diumano’y mababang kalidad ng kanilang mga itinitinda.	the association of those who manufacture fireworks also denied that what they're selling are of poor quality.
<12>	Silang mga lisensyadong gumagawa ng mga paputok at pyrotechniques ay may quality control umano sa kanilang mga produkto.	the who are licensed manufacturers of fireworks and pyrotechniques have quality control in their products.
<13>	At kung may namamatay man o nasusugatan, dapat ang mga biktima ang sisihin dahil hindi sila umano nagkulang sa mga paalala at kampanya hinggil sa tamang pagpapaputok.	and if someone dies or gets injured, the victims should be the one to be blamed because they didn't lack reminders and campaigns on right way of using explosives.
<14>	Kung ating lilimiin, dapat na talagang pag-isipan ang mga hakbanging dapat isulong upang hindi na magkaroon ng ganoon karaming buhay na nasasayang o nasusugatan sa paputok.	if we pay closer attention, the steps to be implemented should be thought of thoroughly so that there would no longer be a large number of casualties or injuries from firecrackers.
<15>	Tanggapin na natin, hindi aaminin ng mga gumagawa at nagbebenta ng paputok ang pananagutan sa mga nagiging biktima ng kanilang produkto.	let's accept that the manufacturers and vendors of explosives will not admit to their responsibilities for the victims of their products.
<16>	Ang kanilang katwiran: hindi sila nagkulang ng paalala o kampanya higgil sa wastong pagpapaputok.	their excuse is: they didn't lack in reminders or campaigns on how to use explosives.
<17>	Subalit kung tutuusin, alam nila na sa sandaling umalis na sa kanilang mga tindahan ang mga mamimili ng paputok, “bahala na sila sa buhay nila.” Kung ganun, wala sa gumagawa at nagtitinda ang konsiderasyon kung ipagbabawal o hindi o ikakampanya na ang hindi paggamit ng paputok.	but after all, they know that in the moment the buyers of explosives leave their store, "they're up to themselves." if that's the case, the consideration to prohibit or not or campaign to stop the use of explosives is not on the manufacturers and vendors.
<18>	Pangunahin ang mas malakas na kampanya laban sa pagpapaputok gaya ng pagsusulong ng pagpapalit ng mindset nating mga Filipino sa katwiran kung bakit tayo nagpapaputok.	primarily, a stronger campaign against explosives is to push forward the change of mindset of Filipinos ion why we use explosives.
<19>	Halimbawa, hindi totoong nakapagtataboy ng kamalasan ang paputok, naghahatid pa ito ng kamalasan.	for example, it's not true that fireworks can drive away misfortune, it even brings misfortune.
<20>	Kamalasan ding maituturing ang aksidenteng masugatan ng pyrotechnique habang nagmimiron lang sa fireworks display gaya ng sinapit ng ilang kataong nanood sa Mall of Asia.	consider accidental injuries from pyrotechniques, while just gazing at the fireworks display, a misfortune, like with what happened to some people who who were watching in Mall of Asia.
<21>	At ang pinakamasakit, ang kamalasang hatid ng tama ng punglo mula sa mga walang pakundangang nagpapaputok ng baril kahit bawal.	and what hurts the most is the misfortune brought by the bullets from the inconsiderate people who fired shots, regardless of its prohibition.
<22>	Sa praktikal na kaisipan, maraming benepisyo ang paggamit ng alternatibong pamamaraan ng pag-iingay na sumisimbolo sa masayang pagsalubong sa Bagong Taon.	in practicality, use of alternative ways to make noise, that symbolizes a happy welcome to New year, has lots of benefits.
<23>	Una, malaking tipid sa pera at mas ligtas ang paggamit ng torotot.	first, big savings and more safe in using torotot.
<24>	O malakas na musika na may masayang tugtugin.	or loud music with happy tunes.
<25>	Ikalawa, bawas sa polusyon sa hangin na malalanghap ng ating mga anak ang ‘di pagpapaputok.	second, less pollution of air that our children who don't use explosives might inhale.
<26>	Ikatlo, sa pagsapit ng umaga, walang wawalising kalat na basura mula sa mga paputok o mga lalagyan ng pailaw.	third, when morning arrives, no garbage from firecrackers or fireworks containers should be swept.
<27>	Lahat ng ito ay aking naranasan nang aking subukin na ‘di magpaputok sa paghihiwalay ng taon.	all of these were my experience when I tried to not use explosives at the end of the year.
