<1>	PASAMA NANG PASAMA ANG PAGBABAGO SA 2014	change in 2014 is getting worse and worse.
<2>	MAY pagbabago na kaya na maaasahan mula sa pambansang pamahalaan sa taong ito?	is there change to be expected from the national government this year?
<3>	At maging sa mga lokal na pamahalaan?	and even in the local government?
<4>	Sabi ng isang survey, 94 porsyento ang umaasa ng magandang pagbabago sa pagpasok ng Bagong Taong ito, 2014.	according to one survey, 94 percent are expecting a big change when the new year, 2014, comes.
<5>	Pero sa nakikita natin, wala.	but with what we see, there is nothing.
<6>	Kung mayroon man, pawang higit na kamalasan siguro.	if there is, maybe all of them would be more like misfortunes.
<7>	Tingnan ninyo, parekoy, pagpasok ng Enero 1, agad na nagtaas ng presyo ng petrolyo ang mga kompanya ng langis.	look, dudes, when January 1 came, oil companies immediately raised the prices of petroleum.
<8>	Ang reaksyon ng gobyerno ni PNoy?	the reaction of the government of PNoy?
<9>	Nganga!	nothing!
<10>	Nagrolbak naman nang kaunti ang presyo ng liquified petroleum gas, pero kung hindi pa unang nagrolbak ang halimbawa’y LPG Marketeer’s Association, malamang na hindi nagrolbak ang mga kompanya ng langis.	the price of liquefied petroleum gas was rolled back a little, but if for instance the LPG Marketeer's Association did not do a rollback first, oil companies would probably not do a rollback too.
<11>	Heto pa, parekoy.	one more thing, dude.
<12>	Tataas na rin anomang araw mula sa buwang ito ang pamasahe sa LRT at MRT.	fares at the LRT and MRT would go up any day starting this month.
<13>	Magkano?	how much?
<14>	Wala pang tiyak na halaga pero malaki-laki ang kakaltasin nito sa pang araw-araw na sahod ng mga obrero at estudyante.	there is no definite amount yet but it would take quite a huge chunk from the daily wages of workers and students.
<15>	Noong una, sinasabing magtatayo ang gobyerno ng mga LRT at MRT para magiging magaan sa bulsa at mabilis ang pagbiyahe ng mga mamamayan at malinis ang kapaligiran ng Metro Manila mula sa polusyon.	at first, it was said that the government would build LRT's and MRT's so that the commute of citizens would be light on the pocket and fast, and the environment in Metro Manila would be free from pollution.
<16>	Ngayon, maglalaho nang parang bula ang pagiging magaan sa bulsa nito.	now, its lightness in the pocket will vanish into thin air.
<17>	At tila sinasadya naman ang pagtirik-tirik ng mga tren upang magkaroon ng rason para sa pagtataas ng pamasahe.	and it seems like they are making the trains break down constantly on purpose to have a reason for increasing the fare.
<18>	Ito na nga na lamang sana ang isang maibibigay na magaan na serbisyo ng pamahalaan sa mamamayan, kabaligtaran pa ang magaganap.	this is hopefully one convenient service that the government can give to the people, yet the opposite is about to happen.
<19>	Ayaw gumastos ng pamahalaan para sa mga mamamayan at ang gusto nito ay laging busugin sa tubo ang mga kompanya, gaya ng mga may-ari ng LRT at MRT at kompanya ng langis.	the government does not want to spend for the citizens and what it wants is for companies, like owners of the MRT and LRT and oil companies, to profit all the time.
<20>	‘Di bale nang magkandahetot-hetot ang buhay ng mga mamamayan.	never mind if the citizen's lives go in disarray.
<21>	Gaya ng pagkakandahetot-hetot hanggang ngayon ng mga magsasaka at obrero sa Hacienda Luisita.	like the chaos being experienced until now by farmers and workers at Hacienda Luisita.
<22>	‘Di ba, pinagbubuldoser ang mga tanim ng mga magsasaka at obrero sa hasyenda nang sana’y mag-aani na sila kamakailan?	isn't it that the crops of farmers and workers at the estate were bulldozed when they were about to harvest recently?
