<1>	Biyernes, Disyembre 25, 2015	Friday, December 25, 2015
<2>	ANG SALITANG NAGKATAWANG TAO...	the word that took a human form ...
<3>	MUKHA NG AWA NG DIYOS: Reflection for Christmas Day Year C - December 25, 2015 - JUBILEE YEAR OF MERCY	face of the mercy of god: reflection for Christmas day year c - December 25, 2015 - jubilee year of mercy
<4>	Maligayang Pagkakatawang-tao ng "Verbo" sa inyong lahat!	happy incarnation of "verbo" to all of you!
<5>	Kakaibang pagbati di ba?	a unique greeting right?
<6>	Nakakasawa na kasi ang pagbating "Maligayang Pasko" o "Merry Christmas!"	because greeting "merry Christmas" or "merry Christmas!" is getting old.
<7>	Kaya't ibahin naman natin "for a change" ika nga!	so let's change it "for a change" as they say!
<8>	Ngunit kung ating titingnan ay ito naman talaga ang kahulugan ng Pasko.	but if we look at it it really is the meaning of Christmas.
<9>	Ang pagkakatawang-tao ng Anak ng Diyos na ang tawag din natin ay "the mystery of Incarnation." Sa Misa ng araw tuwing Pasko ay laging ipinaalala sa atin ng Ebanghelyo ang katotohanang ito.	the incarnation of the son of God that is also called "the mystery of incarnation." on the mass of the day during Christmas the gospel always reminds us of this truth.
<10>	"Sa pasimula pa’y naroon na ang Salita.	"in the beginning there is the word.
<11>	Kasama ng Diyos ang Salita at ang Salita ay Diyos...	God is with the word and the word is God ...
<12>	Naging tao ang Salita at siya’y nanirahan sa piling natin."	the word became human and he lived in our midst."
<13>	Ito ang pahayag ni San Juan sa pasimula ng kanyang Ebanghelyo.	this is the statement of Saint John in the introduction of his gospel.
<14>	Ang Salita na Diyos ay nagkatawang-tao.	the word of God took human form.
<15>	Mahirap maunawaan ang katotohanang ito!	it is difficult to understand this truth!
<16>	May kuwento na minsan ay may lalaking nagdasal sa Panginoon sapagkat nagkandamamatay ang kanyang mga alagang baboy.	there was a story once of a man who prayed to the Lord because his pet pigs have died.
