<1>	Usapang Uste: Ang pagkalinga ng Unibersidad sa wikang pambansa	UST discussion: the university's care of the national language
<2>	By Managing Editor - February 1, 2017	by managing editor - February 1, 2017
<3>	NAGING mainit na paksa na noon pa man sa pagitan ng mga akademiko ang bisa ng paggamit ng Filipino bilang pangunahing wika sa mga pamantasan.	the effectiveness of using Filipino as the main language in universities became a hot topic before among academics.
<4>	Sa isyu ng Varsitarian noong 1962, inilahad sa pangulong tudling nito ang mungkahing palaganapin ang Filipino bilang pang-araw-araw na wika sa loob ng Unibersidad.	in the 1962 issue of Varsitarian, the main editorial stated the suggestion to spread Filipino as the everyday language inside the university.
<5>	Kasabay ito ng nakahihigit na paggamit ng Ingles lalo na sa mga pang-akademikong usapin na bunsod ng pananakop ng mga Amerikano sa Filipinas.	this coincides with the superior use of English especially in academic discussion due to the American colonization of the Philippines.
<6>	Ayon sa artikulo, mainam na pook sana ang Unibersidad upang hulmahin ang pang-unawa ng mga kabataan, partikular na ng mga Tomasino, hinggil sa lupang kinalakhan nila.	according to the article, the university would have been a good place to mold the understanding of the youth, particularly the Thomasians, about the land they grew up in.
<7>	Pinabulaanan din nito ang paniniwalang maaaring luma na ang ating katutubong wika kaya hindi na dapat ito gamitin.	it also contradicted the belief that our native language may be antiquated so it should not be used anymore.
<8>	“Ang wika ay hindi maaaring ihalintulad sa isang bangkong kinalawang na sa matagal na pagkakaupo, kaya’t ibig nang palitan ng mahusay-husay.	"language cannot be compared to a chair that has rusted due to prolonged seating, so it should be replaced with a better one.
<9>	Ito ay walang hugis, walang kulay, walang anyo,” pagdidiin nito.	it does not have shape, color, or form," it stressed.
<10>	Mungkahi pa ng editoryal, ang Unibersidad dapat ang nagsisilbing ikalawang tahanan ng mga mag-aaral upang paghandaan ang kanilang mga kinabukasan bilang bahagi ng lipunan.	the editorial even suggests, the university serves as the second home of students to prepare their futures as members of society.
<11>	Kung pananatilihin ang paggamit ng Filipino at sisimulan ito sa mga pamantasan, tiyak na mananatiling buhay ang mga katutubong wika sa mga susunod na henerasiyon.	if the use of Filipino will be maintained and it will begin in universities, native languages will surely remain alive in the future generations.
<12>	Tomasino siya	he is a Thomasian
<13>	Bagaman malayo na ang narating bilang mediko, malapit pa rin si Juan Sanchez sa mga mahihirap na komunidad kung saan maraming pasyente ang kapos sa kakayahang pinansiyal upang magpagamot.	despite accomplishing a lot as a medic, Juan Sanchez is still close to the poor in the community wherein he has many patients lacking financial capability to get treatment.
<14>	Taong 1980 nang magtapos siya ng medisina sa Unibersidad.	it was year 1980 when he finished medicine in the university.
<15>	Sa kalaunan, ipinagpatuloy ni Sanchez ang pagsasanay ng General Surgery sa Veteran’s Memorial Medical Center (1982-1986) at ng Plastic Reconstructive Surgery naman sa Makati Medical Center (1988-1991).	eventually, Sanchez continued his training in general surgery at the Veteran's Memorial Medical Center (1982-1986) and in plastic reconstructive surgery at Makati Medical Center (1988-1991).
<16>	Tumungo siya noong 1992 sa Virginia sa Estados Unidos upang pormal na magsanay ng Aesthetic, Craniofacial and Microvascular Surgery sa Eastern Virginia Medical School.	in 1992 he went to Virginia in the United States to formally train in aesthetic, craniofacial and microvascular surgery at Eastern Virginia Medical School.
<17>	Noong 1987, nanguna siya sa Philippine Board of General Surgery gayundin sa Philippine Board of Plastic Surgery naman noong 1991.	in 1987, he headed the Philippine Board of General Surgery as well as the Philippine Board of Plastic Surgery in 1991.
<18>	Tumatayo siya bilang lead surgeon sa buwanang pagbisita ng Rotary Club of San Francisco del Monte’s DOCS Mobile Surgical Unit sa ilang bahagi ng lungsod Quezon, Payatas, siyudad ng Marikina, Bulacan at iba pa.	he serves as lead surgeon in the monthly visit of the Rotary Club of San Francisco del Monte's DOCS Mobile Surgical Unit in some parts of Quezon City, Payatas, Marikina City, Bulacan, and others.
<19>	Nagsimula ang nabanggit na Monthly Surgical Missions noong Setyembre 2007.	the said monthly surgical missions started in September 2007.
<20>	Kabilang din siya sa ilan pang mga misyon tulad ng Gawad Kalusugan, Operation Smile, at Filipino-American Club of North Texas na naglalayong panatilihing mabuti ang kalagayan ng bawat Filipino sa loob at labas ng bansa.	he is also a part of other missions like Gawad Kalusugan, Operation Smile, and Filipino-American Club of North Texas that aims to maintain the good condition of each Filipino inside and outside the country.
<21>	Upang ibahagi ang kaniyang kaalaman sa larangan ng medisina, sumulat din si Sanchez ng ilang mga aklat tulad ng “Oriental Rhinoplasty,” “Local and Regional Anesthetic Blocks Made Simple (2002)” at “Doctors’ Practices, Strategies and Guides to Success (2003)”.	to share his knowledge in the field of medicine, Sanchez also wrote some books like "oriental rhinoplasty," "local and regional anesthetic blocks made simple (2002)" and "doctors' practices, strategies and guides to success (2003)".
<22>	Noong 2009, nominado naman siya sa ilang malalaking parangal tulad ng Ten Outstanding Filipino Physicians at Ten Outstanding Filipinos.	in 2009, he was nominated for some major awards like the ten outstanding Filipino physicians and ten outstanding Filipinos.
<23>	Sa loob ng dalawang taon (2009-2010), siya ang hinirang na Most Outstanding Rotarian of the Rotary Club of San Francisco del Monte.	within two years (2009-2010), he was honored as the most outstanding Rotarian of the Rotary Club of San Francisco del Monte.
<24>	Sa kasalukuyan, patuloy na ginagamit ni Sanchez ang kalinangan sa medisina upang mabigyan ng paglilingkod at malasakit ang mga pinakanangangailangan nito.	currently, Sanchez continues to use his skills in medicine to offer service and concern to those who need it the most.
