<1>	Comelec, kumpiyansa na matatapos ng maayos ang halalan sa Palawan	Comelec, confident that election in Palawan will finish properly
<2>	May 09, 2016	May 09, 2016
<3>	Orlan C. Jabagat	Orlan C. Jabagat
<4>	PUERTO PRINCESA, Palawan, Mayo 9 (PIA) --- Kumpiyansa ang Commission on Elections sa Palawan na matatapos ng maayos ang halalan ngayon araw sa kabila ng mga ulat na nagkaroon ng aberya ang ilang Vote Counting Machine (VCM) sa pagsisimula ng botohan.	Puerto Princesa, Palawan, May 9 (PIA) - the Commission on Elections in Palawan is confident that election on this day will end properly despite reports that some vote counting machines (VCM) had mechanical trouble at the start of election.
<5>	Ayon kay Provincial Election Supervisor Atty. Percival Mendoza, sapat ang back-up VCM sa Palawan sakaling magkaroon ng aberya ang mga nasabing makina.	according to Provincial Election Supervisor Attorney Percival Mendoza, the back-up VCM in Palawan is enough in case the said machines have mechanical trouble.
<6>	Nakaantabay din ang mga technician ng Smartmatic sa mga clustered precincts upang magbigay ng teknikal na ayuda sa mga Board of Election Inspector.	Smartmatic technicians are also on standby in clustered precincts to give technical assistance to the Board of Election inspector.
<7>	Kahapon dumating na rin ang isang Secured Digital o SD Card para sa VCM sa precinct no. 23 ng Barangay Ipilan sa Bayan ng Brooke’s Point.	also yesterday a secured digital or SD card for the VCM in precinct number 23 in Barangay Ipilan in the town of Brooke's Point arrived.
<8>	Natuklasan ng COMELEC na walang kasamang SD Card ang VCM ng magsagawa ng final testing ang sealing kamakailan.	the COMELEC discovered that the VCM did not come with an SD card when they did a final testing of the sealing recently.
<9>	Samantala, bago mag-alas-6 ng umaga ay nagsimula ng humaba ang pila ng mga botante sa iba’t-ibang voting places sa lungsod ng Puerto Princesa.	meanwhile, before six o'clock in the morning the line of voters in different voting places in the city of Puerto Princesa has started to grow.
<10>	Kapansin-pansin din ang presensiya ng mga kapulisan at miyembro ng Armed Forces of the Philippines dito.	also noticeable is the presence of the police and members of the Armed Forces of the Philippines here.
<11>	Binibigyan din ng priyoridad ang mga senior citizens at mga buntis na unang makaboto.	senior citizens and the pregnant were given priority to vote first.
<12>	Mayroong kabuuhang 433 barangay, 583,057 registered voters at 514 voting centers ang Palawan. (OCJ/PIA4B-Palawan)	Palawan has a total of 433 barangays, 583,057 registered voters and 514 voting centers. (OCJ/PIA4B-Palawan)
