<1>	Mabilis na pagbabago ng wika, hamon sa mga leksikograpo	fast-paced change of language, challenge to lexicography
<2>	By Tomas U. Santos - November 24, 2016	by Tomas U. Santos - November 24, 2016
<3>	Nov. 24 2016,	November 24, 2016,
<4>	10:13 p.m.	10:13 p.m.
<5>	– LABIS na nakaaapekto ang mabilis na pagbabago at pagdaragdag ng kahulugan sa mga salita sa pagpapaunlad ng mga diksiyonaryong Filipino.	-the fast-paced change and added definitions of words greatly affects the improvement of Filipino dictionaries.
<6>	Ito ang sentro ng talakayan na dinaluhan ng ilang mga guro, leksikograpo at mga akademiko sa Unibersidad ng Pilipinas noong ika-23 ng Nobyembre.	this is the center of discussion attended by some teachers, lexicographers, and academics of the University of the Philippines last 23rd of November.
<7>	“Kailanman ay hindi maaaring palitan ang partisipasiyon ng tao sa mga editoryal na gawain sa pagbabahagi ng mga diwa ng mga salitang polysemous (maraming kahulugan),” ani Arthur Casanova, isang Tomasinong leksikograpo o dalubhasa sa linguwistika at paggawa ng diksiyonaryo, sa nabanggit na pagtitipon.	"participation of people in the editorial practiced in imparting the meaning of polysemous words (of many definitions) can never be replaced," said Arthur Cassanova, a Tomasite lexicographer or expert in linguistics and creating dictionaries, in the said event.
<8>	Dagdag pa niya, maiging instrumento ang diksiyonaryo sa pagpapanatili ng kamalayan sa tamang pagbigkas, tamang pagsulat at pangkabuuang diwa ng mga salitang nadaragdagan ng kahulugan sa kalaunan.	he added, dictionary is a great instrument to preserve the awareness of proper pronunciation, proper spelling, and meaning of the words with added definitions in the future.
<9>	Dahil dito, sinusubok ang mga dalubhasa sa pagpapalaganap ng mga bagong kahulugan sa mga dati nang ginagamit na mga salita.	because of this, experts are being tested in implementing the new definitions of words used even before.
<10>	Ayon naman kay Evelyn Lanuza, propesor ng Leyte Normal University, may mga pagkakataong nakalilito ang paiba-ibang gamit ng mga kataga batay sa lugar na kanilang pinagmulan.	according to Evelyn Lanuza, professor of Leyte Normal University, there are times where the different use of terms according to origin is confusing.
<11>	Idiniin niyang ang kahalagahan ng pagdaan ng mga diksiyonaryo sa maingat na pagsusuri bago mailimbag at maipamahagi ang mga ito.	she emphasizes the importance of dictionaries undergoing careful review before it's edited and produced.
