<1>	EBIDENSYA SA ORDER TO KILL! By ­Aries Cano	evidence on the order to kill by Aries Cano
<2>	December 18, 2016	December 18, 2016
<3>	Nakahandang mag-resign agad-agad si Pa­ngulong Rodrigo Duterte kung mayroon umanong miyembro ng Philippine National Police (PNP) o tropa ng Armed Forces of the Philippines (AFP) ang makapagsasabi na may direktiba siyang todasin ang mga sumusukong kriminal.	President Rodrigo Duterte is prepared to resign if there is a member of the Philippine National Police (PNP) or a troop of the Armed Forces of the Philippines (AFP) can tell that he has a mandate to kill the criminals who surrendered.
<4>	Ang binitawang hamon ng Pangulo patungkol sa pagbibitiw nito sa puwesto ay kaakibat ng ipinahayag ni Vice President Leni Robredo na nakababahala umano ang mga pahayag ng Pangulo tungkol sa pagpatay, sapagkat tila isinusulong nito ang kultura ng kawalang hustisya.	the uttered statement of the President about his resignation from his post is in connection to the statement of Vice President Leni Robredo that the statements of the President about killing is alarming, because it seems he is advancing the culture of injustice.
<5>	“You can ask.	"you can ask.
<6>	There are about how many thousands ang military natin 200 plus, ang pulis mga 300.	there are about how many thousands of military we have, 200 plus, the police are 300.
<7>	Magtanong ka ng isa kung may inutos ba akong barilin mo ‘yang tao ng nakaluhod, nakatali sa likod,” wika ng Pangulo.	ask one if I have a command to shot that person kneeling, tied from behind," the President said.
<8>	“Magtanong ka isa.	"ask one.
<9>	Kung may magsabi sa’yo na ‘yan ang sinabi ni Duterte, mag-resign ako, mag-resign ako bukas.	if someone told you that, Duterte said, I will resign, I will resign tomorrow.
<10>	Ihanap mo ‘yung sundalo o pulis na magsabi na, sa sinasabi ni Robredo,” pagdiriin pa nito.	look for a soldier or police who can tell what Robredo is saying," he asserted.
<11>	Nilinaw ng Pangulo na hindi siya basta-basta pumapatay ng walang kapararakan.	the President clarified that he does not kill recklessly without benefit.
<12>	Inihayag niya ito kasunod ng nauna nitong pahayag na may napatay siya noong siya ay Mayor pa ng Davao City na kinondena na naman ng White House.	he announced this after his initial statement that he had killed someone when he was still a mayor in Davao City which was condemned by the White House.
<13>	Depensa ni Pangulong Duterte nang magsalita kahapon ng madaling-araw sa Davao City International Airport nang dumating mula sa apat na araw na state visit sa Cambodia at Singapore na isang insidente ng kanyang pamamaril ang nangyaring kidnapping noong 1988 na nauwi sa shootout.	President Duterte defended when he talked yesterday at dawn at Davao City International Airport when he arrived from a four-day state visit in Cambodia and Singapore that it was an incident that he fired a gun during a kidnapping that happened last 1988 which resulted to a shootout.
<14>	“So, I might have hit them all or none at all.	"so, I might have hit them all or none at all.
<15>	But the fact is I was there and I fired at them.	but the fact is I was there and I fired at them.
<16>	It was a pure case of kidnapping.	it was a pure case of kidnapping.
<17>	It happened during my first term in 1988,” paliwanag ni Duterte.	it happened during my first term in 1988," Duterte explained.
<18>	Binigyang-diin ng Pangulo na siya ay alkalde at hindi papayagang maapi ang mga sibilyan kaya hindi siya nagdadalawang-isip makipagbarilan.	the President asserted that he was the mayor and he would not allow the civilians to be oppressed, therefore, he did not think twice to exchange a gunshot.
<19>	Iginiit pa ng Pangulo na namaril siya para protektahan ang mga mamamayan at hindi siya isang diktador na pumapatay ng kalaban sa pulitika para lang manatili sa puwesto.	the President asserted that he fired a gun to protect the citizens and he is not a dictator who kills his political enemies just to remain on the position.
<20>	“So, at least I killed to protect people.	"so, at least I killed to protect people.
<21>	I am not here a dictator killing my political opponents to stay in power,” ayon pa kay Pangulong Duterte.	I am not here a dictator killing my political opponents to stay in power," according to President Duterte.
