<1>	Anti-KK ba si Binay, Mar at Duterte?	are Binay, Mar and Duterte anti-KK?
<2>	AMBA’S BRIEFS Ni Roy “AMBA” Seneres (Pilipino Star Ngayon) | Updated November 16, 2014 - 12:00am BAGO kayo mag-isip nang masama kung ano ang ibig sabihin ng KK, ang tinutukoy ko ay Korapsyon at Kontraktuwalisasyon.	Amba's Briefs by Roy "Amba" Seneres (Pilipino Star Ngayon) | updated November 16, 2014 - 12:00am before you think negatively about what KK means, I am referring to corruption and contractualization.
<3>	Hindi pa nabubuo ang isip ko kung sino ang susuportahan ko at ng OFW Family party-list sa pagka-presidente sa 2016 elections.	my mind is still not made up on whom I and the OFW Family party-list will support for president in the 2016 elections.
<4>	Pero alin man sa tatlo ang makakumbinsi sa akin na kaya niyang sugpuin ang KK, magha-house to house ako nang pangangampanya para sa kanya.	but anyone of these three who can convince me that he can annihilate KK, I will campaign house-to-house for him.
<5>	Si VP Jojo Binay kaya ay kayang labanan ang KK?	Can VP Jojo Binay really fight KK?
<6>	Kaya naman siguro.	maybe he can.
<7>	Dapat lang maipaliwanag niya nang husto sa sambayanang Pilipino na talagang hindi siya kawatan.	he must explain well to the Filipino people that he really is not corrupt.
<8>	Dapat ipaliwanag din niya na hindi siya pabor sa kontraktuwalisasyon dahil ito ay labag sa ating Saligang Batas at Labor Code.	he also should explain that he is not in favor of contractualization because it is against the constitution and Labor Code.
<9>	Dapat makumbinsi niya tayo na walang mga contractual o endos o 555 sa shopping malls sa Makati City.	he should convince us that there are no contractuals or endos or 555s in shopping malls in Makati City.
<10>	Si Mar Roxas naman na bossing ng Liberal Party ay dapat magpahayag na ang partido niya ay laban sa kontraktuwalisasyon magmula pa nang ipinagbawal ito ng Labor Code may 40 taon na.	Mar Roxas who is the boss of the Liberal Party should state that his party is against contractualization since the Labor Code banned it some 40 years ago.
<11>	Dapat tapatin niya ang sambayanan na walang kontraktuwalisasyon na nangyari sa shopping malls na pag-aari ng pamilya niya sa Cubao.	he should be straight with the public that no contractualization happens in shopping malls owned by his family in Cubao.
<12>	Si Rudy Duterte sana ang napupusuan ko na maging pangulo sa 2016 kaya lang baka mamaya “pusilon” niya ako.	I was leaning to Rudy Duterte to become president in 2016 but what if he "shoots" me later.
<13>	Aprub na aprub sa akin si Rudy kaya lang dapat makumbinsi niya rin ang sambayanang Pilipino na bagamat naging city mayor siya nang mahabang panahon sa pinakamalaking lungsod sa Pilipinas, never nagkaroon ng mga “tongpats” o korapsyon sa public works projects sa Davao City, at dahil magaling siyang abogado at alam ang batas na illegal ang kontraktuwalisasyon, igarantiya niya sa lahat ng mamamayang Pilipino na walang mga nabibiktima ng salot ng kontraktuwalisasyon sa shopping malls ng mga Ayala, Gokongwei, Gaisano, Sy at iba pa sa Davao City kung hindi ay dapat “pusilon” niya ang mga nagpapairal ng kontraktuwalisasyon roon at sa buong Pilipinas kapag siya ay naging presidente.	I really approve of Rudy but he should also convince the Filipino people that even if he became city mayor of the largest city in the Philippines for a long time, there never was "tongpats" or corruption in public works projects in Davao City, and because he is a great lawyer and knows the law that contractualization is illegal, he will guarantee to all the Filipino people that the contractualization plague has no victims in shopping malls of the Ayalas, Gokongweis, Gaisanos, Sys and others in Davao City and if not he should "shoot" those implementing contractualization there and in the whole Philippines when he becomes president.
<14>	KK ang malalaking issues sa 2016 presidential elections.	KK are the big issues in the 2016 presidential elections.
<15>	Suruin nating mabuti ang plataporma ng mga kandidato.	let us examine well the platforms of each candidate.
