<1>	Living by the Honor Code: My personal experience (Part 3)	Living by the Honor Code: My personal experience (Part 3)
<2>	Kaming mga militar ay nai-expose sa tunay na 'mundo' sa labas sa panahong nakakasalamuha na namin ang komunidad na aming ginagalawan.	we, the military, are exposed to the real outside world during the time when we are interacting with the community where we are moving in.
<3>	Dahil kinakailangan naming makasalamuha ang mga sibilyan at maging ang mga ahensya ng pamahalaan, doon namin nakikita ang kaibahan ng ideal environment sa isang institusyon na kagaya ng PMA at ng katotohanan na dapat naming harapin sa labas.	because we needed to interact with the civilians and even the agencies of the government, there we are seeing the difference of the ideal environment in an institution such as the PMA and the reality that we need to face outside.
<4>	Ang karanasan ko sa aking field assignment sa San Miguel, Bulacan ay ang unang hamon sa akin paano mapanindigan ang natutunang Honor Code sa Philippine Military Academy.	my experience in my field assignment in San Miguel, Bulacan is the first challenge for me on how to stand by the Honor Code learned in the Philippine Military Academy.
<5>	Sa aking unang naibahaging kwento, umusok ang aking tenga nang mapanood ko sa Magandang Gabi Bayan ang segment na kung saan ay naakusahan ang Army na tumanggap ng P500.00 bawat truck mula sa mga illegal quarry operators sa Mt. Mabio.	in the story I have shared first, my ears fumed when I have watched the segment in Magandang Gabi Bayan where the Army was accused to have received P500.00 per truck from the illegal quarry operators in Mt. Mabio.
<6>	Para sa akin, kabastusan yon at paglapastangan hindi lamang sa aming dangal bilang sundalo ngunit sa buong Sandatahang Lakas.	for me, that was indecency and disrespect not only to our honor as soldier but to the whole Armed Forces.
<7>	Paano na nga lang ba kung makilala ang kasundaluhan bilang kotong boys?	how would it be if the military will be known as corrupt boys?
<8>	Habang ako ay nasa serbisyo, hindi ko hahayaan na mangyari yan.	while I am in service, I am not going to allow that to happen.
<9>	Nagbunga ang usapan namin ni Kapitan Ado nang nagkaroon na ang 7th Scout Ranger Company ng dokumento na nag-deputize sa amin na manghuli ng mga trak na may kargang tea rose marble.	our conversation with Captain Ado bore fruit when the 7th Scout Ranger Company already got a document that deputized us to arrest the trucks with loads of tea rose marble.
<10>	Para sa amin, peanuts lang na mission iyon.	for us, that was an easy mission.
<11>	Kung ang mga bandido nga na mahirap hagilapin sa galing magtago ay naiisahan namin, yong mga trak na maiingay pa kaya?	even if the bandits, who are difficult to search because of good skills in hiding, are outwitted by us, why not those noisy trucks?
<12>	Simula noon, paisa-isa na naming nahuhuli ang mga trak na nagpupumilit magkarga ng tea rose marble.	starting then, we have been arresting the trucks one by one which are forcing to load tea rose marble.
