<1>	The AFP's 'badass' fighter: Cpl Leonardo Orozco	the AFP's 'badass' fighter: Corporal Leonardo Orozco
<2>	Meron na akong naibahaging kwento ng kagitingan at kabayanihan ng mga mga kasundaluhan at mga CAFGU na katuwang namin sa pagsugpo sa karahasan ng mga terorista na bumibiktima sa mga mamamayan sa kanayunan.	I have shared a story on bravery and heroism of soldiers and CAFGU who support us in suppressing terrorist crimes that victimizes our fellowmen in villages.
<3>	Isa sa matagurian kong 'Badass' na sundalo ay ang mangangaso (hunter) at miyembro ng CAFGU na si Cpl Leonardo Orozco.	one whom I would refer to as a 'badass' soldier is the hunter (hunter) and member of CAFGU who is Corporal Leonardo Orozco.
<4>	Bakit sya 'badass'?	why is he 'badass'?
<5>	Ganito yon: Sya ay kalmado lang pero mataas ang kumpyansa sa sarili, 'tuso sa labanan', mataas ang level ng survivor instincts; at, higit sa lahat ay hindi nakikitaan ng nerbyos sa mga nakaambang panganib kahit sa gitna ng putukan!	in this way: he is calm only but has high self confidence, 'shrewd in fighting', has high level of survivor instincts; and, most of all he does not show signs of nervousness on imminent danger even in the line of fire!
<6>	Napatunayan ko ang lahat ng iyan sa pinakamadugong engkwentro na aking naranasan noong aking kabataan.	I have proven all that in the bloodiest encounter that I experienced in my youth.
<7>	To know more about him, you may also see these links:	to know more about him, you may also see these links:
<8>	1) Meeting Orrozco http://rangercabunzky.blogspot.com/2013/10/my-most-memorable-combat-action-leave_11.html	1) meeting Orrozco http://rangercabunzky.blogspot.com/2013/10/my-most-memorable-combat-action-leave_11.html
<9>	2) Fighting with Orrozco.	2) fighting with Orrozco.
<10>	http://rangercabunzky.blogspot.com/2013/10/my-most-memorable-combat-action-leave_13.html	http://rangercabunzky.blogspot.com/2013/10/my-most-memorable-combat-action-leave_13.html
<11>	Bago pa man ang aming engkwentro, meron na syang naipakitang katapangan at kagalingan sa recon operations.	even before our encounter, he has shown bravery and excellence in recon operations.
<12>	Kasama ang kanyang kapatid, nagapang nilang dalawa ang pwesto ng mga Abu Sayyaf na pinamunuan ni Hamsiraji Salih sa Bgy Makiri, Isabela City, Basilan.	together with his sibling, they both crawled in to position of the Abu Sayyaf lead by Hamsiraji Salih in Barangay Makiri, Isabela City, Basilan.
<13>	Kahit Cal 45 pistol lang ang dala nila, nilapitan nila ang mga bandido upang manmanang mabuti ang kanilang ginagawa.	even of they brought only a .45 caliber pistol, they went near the bandits to carefully observe their actions.
<14>	Sa kanilang pagtitiyaga, napag-alaman nilang nasa hiwalay na pwesto ang 4 bandido na naglilinis ng Cal. 50 Heavy Machine Gun!	in their patience, they learned that 4 bandits cleaning a caliber 50 heavy machine gun is in a different position!
<15>	Napagkasunduan nilang agawin ang Cal. 50 HMG kaya gumawa sila ng diskarte.	they agreed to snatch the caliber 50 HMG so they came up with a strategy.
<16>	Naghiwalay sila ng pwesto at kinasahan ng pistola ang mga bandido.	they went on separate positions and cocked a pistol on the bandits.
<17>	Malakas ang apog no?	they are fearless, aren't they?
<18>	Buong loob na sinigawan ni Orrozco ang mga bandido.	Orrozco boldly shouted at the bandits.
<19>	"Hoy, napaligiran na namin kayo!	hey, we have surrounded you!
<20>	Sumuko na kayo kundi ratratin namin kayo ngayon din!"	surrender otherwise we will now fire at you incessantly!"
<21>	Sa sobrang nerbyos, nabitawan ng mag bandido ang mabigat na machinegun at kumaripas ng takbo para iwasan ang ratrat ng 'maraming' sundalo.	in severe nervousness, the bandits lost their hold on the heavy machine gun and quickly fled to avoid the attack of 'many' soldiers.
<22>	Ito ang kinuha nina Orrozco na pagkakataon para naman ay pulutin ang napakabigat na baril ay itinakbo paakyat sa high ground, palapit sa pwesto ng kanilang mga kasamahan.	this is the chance taken by Orrozco's company to pick up the very heavy gun to run up to high ground, nearer the position of their group.
<23>	Nganga ang inabot ng mga Abu Sayyaf.	the Abu Sayyaf were left agape.
<24>	Sa ikatlong pagkakataon, halos dalawang buwan lamang pagkatapos na sya ay masugatan sa aming engkwentro sa Balatanay, nagapang uli ni Orrozco ang mga bandido at nakita ang grupo ni Hamsiraji malapit sa Bgy Balawatin-Bgy Makiri area.	on the third opportunity, almost two months only after he was wounded in our encounter in Balatanay, Orrozco again crawled to the bandits and saw the group of Hamsiraji near Barangay Balawatin-Barangay Makiri area.
<25>	Dahil nasa Sampinit Complex ako sa mga panahong iyon, sa Light Reaction Company nya ibinigay ang impormasyon na nagbunga ng isang matagumpay na engkwentro na pinangunahan ni Cpt Toto Dela Cruz.	because I was in Sampinit Complex during that time, he gave the information to the light reaction company that resulted to the triumphant encounter that was lead by Captain Toto dela Cruz.
<26>	Timbuwang ang mga bandido at nakuha ang 90mm Recoilless Rifle, iilang matataas na kalibre ng baril at pati ang na-recover na Raytheon Thermal Imager mula sa tropa ng 10th IB ay nabawi mula sa mga terorista.	the bandits fell flat on the floor and the 90mm Recoilless Rifle was taken, a few high calibre guns and including the recovered Raytheon Thermal Imager from the troops of the 10th IB were recovered from the terrorists.
<27>	Dahil sa kanyang kakaibang tapang at galing sa patrolling missions bilang CAFGU, inirekomenda ko si Orrozco na ma-enlist sa Philippine Army noong taong 2002.	because of his extraordinary bravery and excellence in patrolling mission as a CAFGU, I recommended Orrozco to be enlisted in the Philippine Army back in the year 2002.
<28>	Pinagawaran din namin sya ng pinakamataas na parangal para sa isang CAFGU na kung saan ay mismong si Presidente Gloria Macapagal Arroyo ang nagsabit sa kanyang medalya.	we also had him awarded the highest honors for a CAFGU wherein President Gloria Macapagal Arroyo herself hanged the medal on him.
<29>	Sa tingin nyo, matagurian ba syang 'badass' na sundalo?	in your point of view, can he be referred to as a 'badass' soldier?
<30>	Saludo ka ba sa kagalingan nya?	do you salute his excellence?
