<1>	‘DOH, di handa sa banta ng Ebola’	'DOH, unprepared to the threat of Ebola'
<2>	Hindi totoong handa ang gobyerno ng Pilipinas sa banta ng Ebola virus kung mapunta ang nakamamatay na sakit dito sa bansa, ayon sa mga kawaning pangkalusugan, na nagprotesta sa harap ng tanggapan ng Department of Health (DOH).	it is untrue that the Philippine government is ready to the threat of Ebola virus in case the deadly illness comes into the country, according to health sector employees, who protested in front of the office of the Department of Health (DOH).
<3>	Taliwas ito sa sinasabi ni DOH Sec. Enrique Ona na handa umano ang pamahalaan para sa Ebola.	this is contrary to the statements of DOH secretary Enrique Ona when he said that the government is ready for Ebola.
<4>	Nakahanda na raw ang mga pasilidad partikular sa Research Institute for Tropical Medicine, San Lazaro Hospital, at Lung Center of the Philippines.	he claimed that facilities are ready particularly at the Research Institute of Tropical Medicine, San Lazaro Hospital, and Lung Center of the Philippines.
<5>	Itinuturing na nakakaalarmang epidemiko ang Ebola virus sa buong mundo na kumitil na sa buhay ng libu-libong mamamayan sa Africa ngayong taon.	Ebola virus is considered as an alarming epidemic worldwide which claimed the lives of thousands of people at Africa this year.
<6>	Hindi totoong handa	being prepared is untrue
<7>	Ayon sa Alliance of Health Workers (AHW), hindi magawang tugunan ng gobyerno ang mga sakit na pumapatay sa Pilipino araw-araw gaya ng tuberculosis (TB) at tigdas (na pawang may mga lunas), kaya walang kasiguraduhan ang gobyerno na matutugunan nito ang sakit na Ebola.	according to the Alliance of Health Workers (AHW), the government cannot manage the diseases that kill the Filipinos daily like tuberculosis (TB) and measles (which has cures), therefore, there is no assurance that the government can manage the Ebola disease.
<8>	Ayon sa datos mismo ng DOH, nasa 63 katao ang namamatay araw-araw dahil sa sakit na TB.	according to the data of DOH itself, around 63 people die everyday due to the TB disease.
<9>	Nasa 97 porsiyento naman ng 16,743 naitalang kaso ng tigdas ang namatay mula Enero 1 hanggang Agosto 9, 2014 ng DOH.	around 97 percent of the recorded 16,743 cases of measles died since January 1 until August 9, 2014 from DOH.
<10>	“Taun-taon, libu-libong bata ang namamatay sa pagtatae at pulmonya bago umabot sa edad na limang taon sa Pilipinas.	"anually, thousands of children die of diarrhea and pneumonia before reaching the age of five in the Philippines.
<11>	Hindi pa rin nasasagot ng gobyerno na pito sa bawat sampung Pilipinong namamatay ang hindi man lang nakakakita ng doktor.	the government still cannot answer that seven out of ten Filipino die without ever seeing a doctor.
<12>	Ano ang kahandaan ng gobyerno sa Ebola?” ayon kay Sean Velchez, presidente ng National Orthopedic Health Workers Union-AHW.	what preparedness do the government have against Ebola?" according to Sean Velchez, president of National Orthopedic Health Workers Union-AHW.
<13>	Dagdag pa ni Velchez, ang Amerika na isang makapangyarihang bansa at may mas abanteng teknolohiya sa medisina para sa Ebola ay may isang ang kumpirmadong namatay.	Velchez added, America, which is one of the most powerful countries and has more advanced medical technology for Ebola, has one confirmed dead.
