<1>	Differential ng AFP/PNP iniipit at issues sa Pacquiao fight	differential of AFP/PNP held off and issues on Pacquiao fight
<2>	NAKIKIUSAP, nagmamakaawa, nagsusumamo at naninikluhod ang mga retiradong pulis at militar dahil ang kanilang inaasahan na pang-Noche-Buena ay kasalukuyan pang pinagkakakitaan ng mga kampon ni Satanas!	retired police and military pleads, begs, implores, and kneels because their expected money for Noche Buena is currently a living for the followers of Satan!
<3>	Ang tinutukoy natin ay ang kanilang “differential” na nagkakahalaga ng humigit kumulang sa P7,400 bawat isa ay hindi pa rin ibinibigay!	what we're pointing out is the "differential" that amounts to more or less P7,400 for each that is still not being given out!
<4>	Ayon sa mga nagrereklamo, may info na ilang opisyal sa Crame ang nagsabwatan para manatili sa bangko ang pondo, para mapakinabangan muna ang tubo!	according to the complainants, there's information that some officials of Crame conspired to maintain the funds in the bank, to benefit from the interest!
<5>	Sa puntong ito ay bibigyan natin ng pagkakataon ang ahensiyang responsable sa pagre-release nitong “differential” ng mga retiradong pulis at sundalo na kung maaari ay i-release na ang mga ito bago mag-Pasko.	at this point, we're giving a chance to the agencies responsible for the release of "differential" of retired police and soldiers to release it before Christmas.
<6>	Kung hindi, ating aalamin kung sino ang mga demonyong nasa likod nitong katarantaduhan na ito at babalatan natin, parekoy, nang buhay!	if not, we'll investigate which demon is behind this deceit, and we'll skin them, brother, alive!
<7>	Pramis!	promise!
<8>	At igagapos nang patiwarik ang mga animal!	and we'll tie those animals, headfirst!
<9>	BA’T kaya hindi tayo maka-pag move-on dito sa pagkatalo ng ating pambansang kamao?	why can't we move on from this, the defeat of our national fist?
<10>	Kesyo, ibinigay ang laban para may pera na naman sina Pacman at Bob Arum para sa susunod na laban.	for that reason, the game was lost for Pacman and Bob to get money in the next game.
<11>	Ang katwiran, eh, hindi naman daw malakas ang suntok na nagpabagsak kay Pacman!	in that sense, the hit that knocked off Pacman wasn't actually hard!
<12>	Tangna, kita nang napangiwi na nga si Manny!	son of a bitch, can't you see that Manny grimaced!
<13>	Kayo kaya ang magpasuntok kay Marquez para malaman ninyo!	why don't you try getting a hit from Marquez so that you'd know!
<14>	Baka umusli ‘yang mga tumbong ninyo sa impact ng “dinamita” ni Marquez!	your abdomen might swell from the impact of Marquez's "dynamite"!
<15>	Ayon naman kay Pacmom ang dahilan ng pagkatalo ng kanyang anak ay dahil nagpalit ito ng relihiyon o umalis sa pagiging Katoliko!	according to Pacmom, the reason behind her son's loss is his change of religion or his deviation from being Catholic!
<16>	Bakit, wala bang Katoliko na natatalo?	why, aren't there Catholics who lose?
<17>	Andami nga eh!	there are lots!
<18>	Kesyo, hindi na raw nagsusuot ng kanyang rosaryo.	for that reason, he's not wearing a rosary anymore.
<19>	Hmmm, tingin ko, parekoy, kahit mangromansa pa si Pacman ng Rosario, Magdalena o Alma, kung ganun naman talaga kalakas ang suntok na tumama ay tiyak na titihaya!	hmm, I think, brother, even if Pacman romances with Rosario, Magdalena, or Alma, if the hit was really that strong, surely, you'll be knocked out!
<20>	Bakit si Rosario lang ang sisisihin?	why are we only blaming Rosario?
<21>	Hahaha, kahit pa sabihing tsamba yun, pero sa madaling salita eh, talo talaga tayo.	hahaha, even if we say that it was only luck, in other words, that was really a loss.
<22>	At patunay lamang na mas mapwersa ang tsamba kesa bwenas!	and it only proves that luck is more dominant than fortune!
