<1>	REMEMBERING NINOY	remembering Ninoy
<2>	Sa kanyang 33rd death anniv By Bernard Tagui­nod	in his 33rd death anniversary by Bernard Taguinod
<3>	August 21, 2016	August 21, 2016
<4>	“I have returned on my free will to join the ranks of those struggling to restore our rights and freedoms through non-violence.	"I have returned on my free will to join the ranks of those struggling to restore our rights and freedoms through non-violence."
<5>	I seek no confrontation.	I seek no confrontation.
<6>	I only pray and will strive for a genuine national reconciliation founded on justice” Unang bahagi ito ng nakahandang talumpati ni dating Senator Benigno “Ninoy” Aquino Jr.	"I only pray and will strive for a genuine national reconciliation founded on justice" this is the first part of the prepared speech of former Senator Benigno "Ninoy" Aquino Junior.
<7>	sa pagbabalik Pili­pinas matapos ang tatlong taong pananatili sa Boston, sa Amerika noong Agosto 21,1983, gamit ang pa­saporteng nakapangalan sa Marcial Bonifacio.	in coming back to the Philippines after three years stay in Boston, America last August 1983, using the passport named to Marcial Bonifacio.
<8>	“I am prepared for the worst, and have decided against the advice of my mother,­ my spiritual adviser, many of my tested friends and a few of my most valued political mentors.	"I am prepared for the worst, and have decided against the advice of my mother, my spiritual adviser, many of my tested friends and a few of my most valued political mentors."
<9>	A death sentence awaits me.	a death sentence awaits me.
<10>	Two more subversion charges, both calling for death penalties, have been filed since I left three years ago and are now pending with the courts,” ang sa­sabihin sana ni Ninoy.	"two more subversion charges, both calling for death penalties, have been filed since I left three years ago and are now pending with the courts," Ninoy was supposed to say.
<11>	Pero hindi na naide­liber ni Ninoy ang talumpati niyang ito dahil bago pa man bumaba sa sinakyang eroplano habang nakahimpil sa tarmac ng dating Manila International Airport (MIA) ay sunud-sunod na putok ng baril ang narinig at da­lawang tao ang humandusay, isa na siya roon.	but Ninoy wasn't able to deliver his speech because before he even went out of the airplane he traveled in, while stopped at a tarmac of former Manila International Airport (MIA), successive gunshots were heard, and two people fell flat, and he was one of them.
