<1>	Sabado, Nobyembre 14, 2015	Saturday, November 14, 2015
<2>	WAKAS NG PANAHON at TAMANG PANAHON: Reflection for 33rd Sunday in Ordinary Time Year B - November 25, 2015 - YEAR OF THE POOR	the end of time and right time: reflection for the 33rd Sunday in ordinary time year b - November 25, 2015 - year of the poor
<3>	Kailan nga ba ang pagdating ng "wakas ng panahon?"	is the coming of "the end of time" necessary?
<4>	Katulad din ba ito ng "sa tamang panahon" na walang makapagsasabi kung kailan?	is it similar to "the right time" which no one can say when?
<5>	Marami sa atin ay natatakot sa pagdating ng "wakas ng panahon."	many of us are scared of the coming of "the end of time."
<6>	Bakit nga ba natin ito kinatatakutan?	why do we really fear it?
<7>	Tunay nga bang nakakatakot ang "katapusan?"	is the "end" truly scary?
<8>	Sa isang malaking mall na kung saan ay dagsa ang mga tao dahil sa papalapit na Pasko ay bigla na lamang may sumigaw.	in a large mall, where many people flock to because of a fast-approaching Christmas, someone suddenly shouted.
<9>	Isang taong nakadamit na kakaiba at may karatulang hawak-hawak na nakalagay na "The end of the world is near!"	a person dressed differently and holding a sign with "the end of the world is near!"
<10>	Sumisigaw siya ng malakas na "KATAPUSAN NA! KATAPUSAN NA!"	he was shouting loudly "it is the end! it is the end!"
<11>	Nang bigla na lamang may sumagot ng: "TANGA! KINSENAS PA LANG!"	when suddenly someone answered: "idiot! it is just the fifteenth!"
<12>	Kita na ninyo... hindi lahat ng KATAPUSAN ay kinatatakutan.	do you see... not all ends should be feared.
<13>	May KATAPUSAN na kinapapanabikan!	there is an end that is anticipated!
<14>	Hindi ang "katapusan" dahil sa hinihintay na suweldo ang tinutukoy ko.	I am not referring to the "end of the month" because of the monthly pay that is anticipated.
<15>	Sa ating mga kristiyano ang katapusan o wakas ng panahon ay hindi dapat katakutan kundi bagkus ay dapat pa nga nating kapanabikan.	to us Christians the end or the end of time should not be feared but instead we should even anticipate it.
<16>	Sa katunayan ang mga unang Kristiyano ay atat na atat na sa pagsapit ng katapusan ng panahon.	actually to the first Christians they really looked forward to the coming of the end of time.
<17>	Ang kanilang parating sinasambit ay "MARANATHA!"	what they always said was "maranatha!"
<18>	na ang ibig sabihin ay "Halina, Hesus!	which meant "come, Jesus!
<19>	Halina!"	come!"
<20>	Ang kanilang akala ay agaran ang kanyang pagdating kaya marami sa kanila ang nagbenta ng kanilang ari-arian at hindi na nagtrabaho.	what they assumed was his arrival was immediate so many of them sold their possessions and no longer worked.
<21>	Ngunit itinama ni San Pablo ang ganitong pag-iisip.	but Saint John corrected this mentality.
<22>	Hindi ganito ang inaasahan ng ating Panginoon na uri ng paghahanda.	this kind of preparation is not the one expected by our Lord.
<23>	Nakakatakot ang wakas ng panahon kung mali ang ating paghahanda at lalo na siguro kung hindi tayo naghahanda.	the end of time is scary if our preparation is wrong and perhaps especially if we are not preparing.
<24>	Ano ba ang tamang paghahanda sa "wakas ng panahon?"	what is the right preparation for "the end of time?"
<25>	Una, tanggalin natin ang masamang pag-uugali at kung kinakailang dumulog sa kumpisal ay gawin natin ito.	first, remove bad habits and if it is necessary to go to confession we must do it.
<26>	Walang hihigit pang mainam na paghahanda sa pagkakaroon ng isang malinis na puso.	there is no better preparation than having a pure heart.
<27>	Ikalawa, gawin nating makatotohanan ang ating mga panalangin at pagsisimba sa pamamagitan ng paggawa ng kabutihan at pagtulong sa mga nangangailangan lalong-lalo na sa mga mahihirap.	second, let us make our prayers and church-going realistic through doing good and helping the needy especially the poor.
<28>	Magtatapos na ang "Taon ng mga Mahihirap" o "Year of the Poor", may nagawa na ba akong pagtulong sa kanila?	the "year of the poor" or "year or the poor" is about to end, have I done any service to them?
<29>	Wag nating idahilang mahirap din tayo.	let us not reason that we are poor as well.
<30>	Para kay St.	for Saint
<31>	Theresa of Calcutta, hindi kinakailangang malaki ang pagtulong ang sabi niya: "Kung hindi mo kayang magpakain sa isangdaang katao, kaya mo naman siguro ang isa!"	Theresa of Calcutta, it is not necessary to give big she said: "if you cannot feed one hundred people, you can feed one!"
<32>	Kaya nga't tama ang sinabi ng Simbahan na walang taong mahirap para hindi magkaloob ng tulong sa iba.	so what the church said is correct that there is no person too poor to not offer help to others.
<33>	Hindi naman natatapos sa Year of the Poor ang ating pagtulong sa kapwa.	our helping our neighbors does not end in the year of the poor.
<34>	Araw-araw ay may pagkakataon tayong gumawa ng maliit na kabutihan para sa ating mga kapatid na mahihirap.	every day we have the chance to do small acts of kindness for our poor fellowmen.
<35>	Sa ating Ebanghelyo ay nagbabala ang Paningoon sa darating na "katapusan", hindi upang takutin tayo, kundi bagkus ay upang tulungan tayong maghanda sa pagdating ng araw na ito.	in our gospel the Lord warned of the coming "end", not to scare us, but instead to help us prepare for the coming of this day.
<36>	Totoo, walang nakakaalam ng araw, oras at lugar kung saan ito mangyayari.	true, no one knows the day, hour and place where it will happen.
<37>	Hindi na mahalaga kung kailan at saan.	it is no longer important when and where.
<38>	Sa ating pananampalataya ay ipinahahayag natin ang WAKAS NG PANAHON.	in our faith we announce the end of time.
<39>	Sa katunayan ay lagi nating sinasabi sa Misa na "Si Kristo'y namatay!	actually we always say in mass that "Christ died!
<40>	Si Kristo'y nabuhay!	Christ has risen!
<41>	SI KRISTO'Y BABALIK SA WAKAS NG PANAHON!	Christ will return in the end of time!
<42>	Ibig sabihin, naniniwala tayo na may tinatawag na katapusan ng mundo at naniniwala rin tayo na may Diyos na makatarungan at mapagmahal na hindi tayo pababayaan sa araw na ito.	meaning, we believe what is called the end of the world exists and we also believe there is a God who is just and loving who will not abandon us on that day.
<43>	Ang WAKAS NG PANAHON ay parating pa lang...	the end of time is only about to come...
<44>	Ang TAMNANG PANAHON ay ngayon na!	the right time is now!
<45>	Kumilos tayo ngayon at paghandaan ang kanyang pagdating!	let us act today and prepare for his coming!
