<1>	Gimik at negosyo to the max ang labanang Geisler at Matos!	gimmick and business to the max is the fight of Geisler and Matos!
<2>	Posted by: Jerry Yap	posted by: Jerry Yap
<3>	on June 24, 2016	on June 24, 2016
<4>	in Opinion	in opinion
<5>	MASASABI nating mahusay gumimik ang dalawang aktor ng Philippine show business na sina Baron Geisler at Kiko Matos.	we can say that the two actors of the Philippine show business who are Baron Geisler and Kiko Matos do gimmicks well.
<6>	Sabi nga, an idle mind is a devil’s workshop.	as said, an idle mind is a devil's workshop.
<7>	Ang alam natin, matagal-tagal na kasing walang proyekto sa pelikula o kahit sa telebisyon sina Geisler at Matos.	what we know, Geisler and Matos have no projects on movies or even television for some time.
<8>	Hanggang maganap nga ang kanilang sapakan sa isang bar sa Quezon City.	until their fight in a bar in Quezon city happened.
<9>	Akala natin, ito ay isang eksena na magwawakas sa korte…	we thought it was a scene that will finish in court...
<10>	Pero nagkamali po tayo dahil ang eksena ay magwawakas sa Universal Reality Combat Championship’s (URCC) MMA ring.	but we were mistaken because the scene will finish in the Universal Reality Combat Championship's (URCC) MMA ring.
<11>	Ang daming napapalakpak at napa-wow nang mabalitaan na gagawing pormal na laban ang away-kalye nina Geisler at Matos.	many clapped and were wowed upon learning that the street fight of Geisler and Matos will be made in to a formal fight.
<12>	Pero nagulat din agad ang lahat ng napapalakpak at napa-wow nang muli nilang mabalitaan na pagkakakitaan pala nang malaki ang ‘sapakan’ na ‘yan.	but everyone who clapped and were wowed were also immediately surprised when they learned that big money will be earned on that brawl.
<13>	E mantakin n’yo naman, tuloy na tuloy ang laban sa URCC Fight Night this coming June 25, 2016 sa Palace Pool Club pero para mapanood ito ay kailangan gumastos nang malaking halaga.	imagine it, the fight in the URCC fight night will continue on this coming June 25, 2016 at the palace pool club but big money is needed to be spent to watch it.
<14>	Ang “Single Entry” ay P1,200 (1 ticket no consumable drink nor food).	the "single entry" is P1,200 (1 ticket no consumable drink nor food).
<15>	Sa Mezzanine Skybox, tosgas ng P60,000, ‘yan ay may 15 tickets at P20,000 consumable.	in the mezzanine skybox, worth P60,000, that includes 15 tickets and P20,000 consumable.
<16>	Habang sa iba ay gagastos ng P60,000, P50,000, P45,000, P40,000 hanggang P35,000.	while in others will spend P60,000, P50,000, P45,000, P40,000 up to P35,000.
<17>	Mayroon din consumable food & drinks.	there is also consumable food and drinks.
<18>	O ‘di ba?	right?
<19>	Hindi ba’t maliwanag na gimik o negosyo ‘yang sapakan at pagbabati ‘kuno’ nitong sina Geisler at Matos?!	isn't it clear that Geisler and Matos' fight and so-called reconciliation is a gimmick or a business?
<20>	Paging movie producers and television networks, bigyan na ninyo ng project ang dalawang ‘yan para magkaroon ng pagkakakitaan hindi ‘yung kung ano-anong gimik ang ginagawa para kumita!	paging movie producers and television networks, give projects to those two to have earnings instead of doing gimmicks to earn!
<21>	Kamag-anak Inc., umeepal sa Manila City Hall	relatives incorporated showing off at Manila city hall
<22>	In fairness, mayroon din talagang mga pinagkakatiwalaang tao si Yorme Erap Estrada na mapagkakatiwaalan at talagang nagseserbisyo sa bayan.	in fairness, there are really trusted people by Yorme Erap Estrada who can be trusted and really serve the nation.
