<1>	PKP sa AFP: Tigilan ang pagsisilbi sa mga kumpanya sa pagmimina bilang pribadong hukbo	PKP to AFP: stop serving mining companies as private armies.
<2>	Kawanihan sa Impormas	bureau of information
<3>	Prtido Komunista ng Pilipinas	Communist Party of the Philippines
<4>	Disyembre 30, 2012	December 30, 2012
<5>	Translation: CPP to AFP: Stop serving as private armies of mining companies	translation: CPP to AFP: stop serving as private armies of mining companies
<6>	Tinuligsa ng Partido Komunista ng Pilipinas (PKP) ang pagkaipokrito ng Armed Forces of the Philippines (AFP) at ng Philippine Army sa paghamon sa Bagong Hukbong Bayan (BHB) na magdeklara ng tigil-putukan sa mga lugar na mapanganib sa mga natural na kalamidad at inakusahan ang AFP ng pakikipagsabwatann sa malalaking kumpanya sa pagmimina, pagtotroso at malalaking plantasyon na malaon nang pumipinsala sa kapalgiran at nagsasapeligro sa buhay ng taumbayan.	the Communist Party of the Philippines (PKP) denounced the hypocrisy of Armed Forces of the Philippines (AFP) and the Philippine Army in challenging the New People's Army in declaring a cease-fire in dangerous areas of natural disasters and accused AFP of conspiracy with large mining, logging companies and large plantations that long damaged the environment and imperils the lives of the townspeople.
<7>	Siningil ng PKP si Brig. Gen Gregorio Pio Catapang, kumander ng 7th ID na nagpahayag ng hamon, sa pagiging "mahigpit na nakatali sa kalinga ng mga kumpanya sa pagmimina sa Aurora, Nueva Ecija, Kalinga, Ilocos Sur at Southern Mindanao."	PKP charged Brigadier General Gregorio Pio Catapang, commander of the 7th ID who declared a challenge, being "closely tied to the care of mining companies in Aurora, Nueva Ecija, Kalinga, Ilocos Sur and Southern Mindanao."
<8>	Nakalataga ang mga yunit sa 7th ID sa mga prubinsya ng Northern Luzon maging sa Davao.	the 7th ID unit is stationed in the provinces of Northern Luzon even in Davao.
<9>	"Luha ng buwaya ang ipinakikita niya at nagkukunwari siyang sumisimpatya sa mamamayan habang ang kanyang mga tauhan ay utusan ng mga kumpanya sa pagmimina sa panunupil sa pakikibakang kontra-mina."	"he shows crocodile tears and he pretends to sympathize with the people while his men are used as lackeys by mining companies to suppress the counter-mining struggle."
<10>	"Isang kalokohan para sa BHB na magdeklara ng isang tigil-putukan sa mga lugar na kinukonsidera bilang mapanganib sa natural na kalamidad dahil magbibigay-laya ito sa AFP na isagawa ang mga kampanya nito ng pagsupil sa mga komunidad ng magsasaka at pambansang minorya na nagtatanggol sa kanilang lupain at kabuhayan," anang PKP.	"It is a joke for the BHB to declare a ceasefire in areas considered as endangered by natural disasters because it will liberate the AFP to carry out its campaigns of suppression of peasant communities and national minorities who are defending the their land and livelihood," said the PKP.
<11>	Idiniin ng PKP na ipinatutupad ng rehimeng Aquino ang patakaran ng rehimeng Arroyo na pahintulutan ang malalaking dayuhang kumpanya sa pagmimina at mga plantasyon na gamitin ang AFP at mga grupong paramilitar ng estado bilang mga pribadong security guard sa ilalim ng tinaguriang "Investment Defense Force."	the CPP stresses that the Aquino regime is implementing the Arroyo regime's policy to allow large foreign mining companies and plantations to use the AFP and paramilitary groups of the state as private security guards under the known "investment defense force."
<12>	Sa ilalim ng programang IDF, pinapayagan ang mga dayuhang kumpanya sa pagmimina sa pondohan ang pagbili ng malalakas ng kalibreng riple at iba pang sandata upang armasan ang pwersang panseguridad na sasanayin at ipaiilalim sa kumand ng AFP.	under the IDF program, foreign mining companies are allowed to fund the purchase of powerful caliber rifles and other weapons to arm their security forces to be trained and subject to the AFP's command.
<13>	"Ginawang lehitimo ng IDF ang pagtatayo ng mga kumpanya sa pagmimina at plantasyon ng mga pribadong hukbo upang supilin ang paglaban ng mamamayan sa mga mapangwasak na operasyon at pangangamkam ng lupa ng mga kumpanyang ito," pagdidiin ng PKP.	"The IDF has legitimized the establishment of private mining and plantation firms in order to suppress the people's resistance to the destructive operations and land grabbing of these companies," the CPP emphasizes.
<14>	"Marami sa mga biktima ng ekstrahudisyal na pamamaslang na isinagawa ng rehimeng Aquino sa mahigit dalawa at kalahating taon ay mga tagapagtaguyod ng kontra-minang pakikibaka at mga aktibistang magsasaka at pambansang minorya na nagtatangol sa mga karapatang pang-ekonomya, pampulitika at pangkultura ng mamamayan laban sa mga kumpanya sa pagmimina at plantasyon."	"many of the victims of the extrajudicial killings committed by the Aquino regime for over two and a half years are advocates of anti-mining struggle and peasant activists and national minorities who have been defending the people's economic, political and cultural rights against mining and plantation companies."
<15>	"Tinukoy ng PKP ang pagpatay noong Oktubre 18 sa pamilyang Capeon sa Kiblawan, Davao del Sur ng mga elemento ng 27th IBPA.	"the CPP is pertaining regarding the killings of the Capeon family in Kiblawan Davao last October 18 by the elements of the 27th IBPA.
<16>	Mahigipit na tinutulan ng pamilyang Capeon, kasama ang buong tribung B'laan na kinabibilangan nila, ang kumpanyang SMI-Xstrata na iligal na pumapasok at nangangamkam sa kanilang lupang ninuo.	the Capeon family strongly opposes, with all the B'laan tribes they belong to, the SMI-Xstrata company who illegally enters and grabs their ancestral land.
