<1>	NASA MABUTING KAMAY ANG BCDA AT SBMA	BCDA and SBMA in good hands
<2>	SABI ng iba, maraming pagkukulang daw ang gobyerno.	some say the government has many shortcomings.
<3>	Ngunit marami rin tayong dapat ipasalamat sa administrasyong Aquino.	but there is also a lot we are grateful for to the Aquino administration.
<4>	Ako personally, ang pinapasalamat ko bilang Filipino ay ang kalidad at dedikasyon ng mga namumuno sa Bases Conversion Development Authority (BCDA) at sa Subic Bay Metropolitan Authority (SBMA).	as a Filipino, I am personally grateful for the quality and dedication of the leaders of the Bases Conversion Development Authority (BCDA) and the Subic Bay Metropolitan Authority (SBMA).
<5>	Dito, panalo si PNoy sa kanyang mga appointee.	here, PNOY scores with his appointees.
<6>	Sa BCDA, dynamic duo ang tandem nina Chairman Rolando P. Gosiengfiao at CEO/President Arnel Paciano D. Casanova.	in BCDA, dynamic duo is the tandem of Chairman Rolando P. Gosiengfiao and CEO/President Arnel Paciano D. Casanova.
<7>	Si Gosiengfiao ay isang Iskolar ng Bayan at cum laude pa ng Business Administration sa U.P. Diliman.	Gosiengfiao is an Iskolar ng Bayan, and a cum laude of Business Administration in the University of the Philippines Diliman.
<8>	Malawak din ang kanyang work experience sa labas ng bansa.	he has an extensive work experience outside the country.
<9>	Si Casanova naman ay U.P. Law graduate at ka-batch ng aming napakaabilidad na congressman sa Marikina na si Miro Quimbo.	while Casanova is a University of the Philippines law graduate and from the same batch as our very able congressman in Marikina, Miro Quimbo.
<10>	Produkto rin siya ng Kennedy School of Government ng Harvard.	he is a product of the Kennedy School of Government in Harvard.
<11>	Nagtuturo siya sa Ateneo School of Government at aktibo siya sa Kaya Natin Movement on Good Governance, kasama sina namayapang Jesse Robredo, Grace Padaca at si Among Ed Panlilio.	he teaches at the Ateneo School of Government and very active in the Kaya Natin Movement on good Governance, together with the late Jesse Robredo, Grace Padaca and Among Ed Panlilio.
<12>	Kakaiba ang BCDA ngayon dahil hinahabol at hinahabla nila ang mga nanloloko sa ating bansa.	the BCDA today is different because it chases and sues those who cheat in our country.
<13>	Tulad na lang nang nangyari sa Camp John Hay.	like what happened in Camp John Hay.
<14>	‘Di nila talaga palalagpasin ang napakalaking utang ni businessman Bob Sobrepeña.	they will really not overlook the huge debt of businessman Bob Sobrepeña.
<15>	Ang gaganda pa ng kanilang mga proyekto tulad ng Clark Green City, ang anim na ongoing projects ngayon sa SCTEx worth P207-million, ‘yung sa Poro Point, at marami pang iba.	they have very good projects such as the Clark Green City, the six ongoing projects in SCTex worth 207 million pesos, the one in Poro Point and many others.
<16>	Sa SBMA naman ay nagsa-shine itong si Chairman at Adminstrator Roberto Garcia.	meanwhile, at the SBMA, chairman and administrator Roberto Garcia shines.
<17>	Unang stint ito ni Garcia sa gobyerno.	this is the first government stint of Garcia.
<18>	Dati siyang President at COO ng Oriental at Motolite batteries.	he was the former president and COO of Oriental and Motolite batteries.
<19>	AIMM graduate itong si Garcia at sa La Salle nagtapos ng kolehiyo at sa Ateneo naman para sa high school.	Garcia is an AIMM graduate and he finished college in La Salle and in Ateneo for high school.
<20>	Sa darating na Agosto 4 ay ire-release ng SBMA ang P93.	on August 4 the SBMA will release P93.
<21>	7-milyon na LGU revenue shares para sa unang semester ng 2014 sa walong bayan na katabi ng SBMA.	7 million LGU revenue shares for the first semester of 2014 for the eight surrounding areas of SBMA.
<22>	Ito ay ang Olongapo City; Subic, San Marcelino, San Antonio, at Castillejos sa Zambales; at mga bayan ng Dinalupihan, Hermosa, at Morong sa Bataan.	these are Olongapo City, Subic, San Marcelino, San Antonio, and Castillejos in Zambales; and towns of Dinalupihan, Hermosa, and Morong in Bataan.
<23>	Commitment daw nila ito sa neighboring LGUs para naman mapabilis ang pag-unlad sa mga lugar na ito at para lalong makamit ng mga ito ang minimithing inclusive growth ni Pangulong Aquino.	this is their commitment to the neighboring LGUs to hasten the progress in these areas and to fully achieve the desired inclusive growth of President Aquino.
<24>	Nawa’y sa ilalim ng pamumuno nina Garcia, Gosiengfiao at Casanova ay mas lalo pang mapaunlad ang SBMA at BCDA para mas malaki ang maiambag sa pondo ng pamahalaan.	hopefully, under the leadership of Garcia, Gosiengfiao and Casanova, SBMA and BCDA will further grow to contribute more to the funds of the government.
<25>	ABISO/Paul Edward P. Sison	ABISO/Paul Edward P. Sison
