<1>	World War II	World War II
<2>	World War II (Mk. 3: 22-30)	World War II (Mark 3:22-30)
<3>	Ikalawang Digmaang Pandaigdig.	second world war
<4>	Nakita ng mga tao ang bunga ng pag-aaway-away ng mga bansa.	people saw the consequence of fighting among nations.
<5>	Naranasan ng mga tao ang hirap ng pagkakawatak-watak at hindi pagkakaintindihan.	the people experienced the difficulty of being divided and misunderstanding.
<6>	Marami ang namatay.	many died.
<7>	Maraming mga gusali ang nawasak.	many buildings were destroyed.
<8>	Maraming mga pangarap ang nawalan ng katuparan.	many dreams did not come true.
<9>	Dahil sa karanasang ito nag-usap ang maraming lider ng mga bansa at pinag-usapan kung papaanong hindi na mauulit ang malaking hidwaan na ito.	because of this experience, many leaders of the countries talked and discussed on how this huge conflict will not be repeated again.
<10>	Dito nabuo ang United Nations noong October 24, 1945 na magbibigay ng mapayapang kaayusan sa mga pagkakataon na hindi nagkakaunawaan ang mga bansa.	this was when the United Nations was formed on October 24, 1945 that will give a peaceful arrangement in instances where nations are in conflict.
<11>	Ito rin ang tutulong sa mga bansa na nakakaranas ng kalamidad at kahirapan.	this will also help those countries experiencing calamity and poverty.
<12>	Ito ang bunga ng paghahanap ng mga bansa ng pagkakaisa para sa mga tao.	this is the result of nations seeking for unity for the people.
<13>	Ito rin ang nais ni Hesus para sa mga tao…na ang lahat ay maging isa katulad ng siya at ang Ama ay iisa.	this is also what Jesus wants for the people... that all will be one just like he and the Father are one.
<14>	Inakusahan si Hesus na ang kaniyang ginagawang pagpapagaling ay buhat sa kasamaan.	Jesus was accused that the healing he does comes from evil.
<15>	Pero sinabi ni Hesus na hindi pwedeng mangyari ito sapagkat kapag kinalaban ng demonyo ang demonyo din sila ay magkakawatak at sila ay mawawasak.	but Jesus said that this is not possible because if a demon will go against a demon too, they will be divided and they will be destroyed.
<16>	Nagdala si Hesus ng kagalingan dahil ito ang humihilom sa sugat na dala ng kasalanan.	Jesus brought healing because this is what cures wounds caused by sins.
<17>	Sa tahanan, kapag ang mga myembro ng pamilya ay nag-aaway at nagbabanggaan, ang pamilya ay hindi nagdudulot ng kasiyahan ay bagkus nagdadala sa kanila na lalong lumayo sa isa’t-isa.	in the home, when members of the family are fighting and clashing, the family does not cause happiness and instead leads them to become more distant to each other.
<18>	Sa basana, kung ang mga tao lalo naang mga namumuno ay walang pagkakaisa, wala ring paglago ang bansa at sa halip ay hinahatak ang bawat isa pababa.	in a country where the people especially the leaders are not united, the nation also does not grow instead it pulls each one down.
<19>	Sa Simbahan ay gayun din.	it is likewise with the church.
<20>	Kung ang mga myembro ng Simbahan ay nag-iinggitan, nagtsitsismisan at hindi pinagkakatiwalaan ang kakayahan ng bawat isa, hindi rin magiging maganda ang pagsulong nito.	if the members of the Church are jealous of each other, gossip, and do not trust the ability of each one, its growth will also be not good.
<21>	Kung tayo-tayo ay may kanya-kanyang agenda na pansarili lamang, ang Simbahan ay tiyak na mapupunta sa kawalan.	if all of us have our own selfish agenda, the Church will surely go nowhere.
<22>	Kung tayo-tayo ay nagbabangayan siguradong sa kangkungan ang ating hantungan.	if we are always fighting surely our destination will be the swamps.
<23>	Let us unite under the one banner of Love!	let us unite under the one banner of love!
