<1>	Mamamayan ng Puerto Galera, benepisyaryo ng KPSM Serbisyo Ora Mismo	Residents of Puerto Galera, beneficiary of KPSM Instant Service
<2>	September 28, 2016	September 28, 2016
<3>	CALAPAN, Oriental Mindoro, Setyembre 28 (PIA) – Nagsagawang muli ng serbisyo publiko para sa mga mamamayan ng Puerto Galera ng regular na 'Kapitolyo Para Sa Mamamayan (KPSM)-Serbisyo Ora Mismo'.	CALAPAN, Oriental Mindoro, September 28 (PIA) - Public service was again carried out for the residents of Puerto Galera by the regular "Capitol" for the Residents (KPSM)-Instant Service.
<4>	Iba’t ibang serbisyong panlipunan tulad ng medical at dental at iba pang mahahalagang serbisyo ng pamahalaan ang libreng naibigay sa mga mamamayan ng Puerto Galera.	Various community services like medical and dental and other important services of the government were given free to the residents of Puerto Galera.
<5>	Sa serbisyong medikal na isinagawa sa Puerto Galera Hospital, 509 na mamamayan ang nabigyan ng libreng konsultasyon.	in the medical services that was carried out by the Puerto Galera Hospital, 509 residents were given free consultation.
<6>	Sa pamamagitan naman ng mobile dental clinic, 450 ang libreng na-check up at nabunutan ng ngipin, 165 ang napakain sa libreng soup kitchen, 741 nabigyan ng libreng gamot, 180 ang naging kliyente ng PhilHealth.	Through the mobile dental clinic, 450 had free check-ups and tooth extraction, 165 were fed in the free soup kitchen, 741 were given free medicine, 180 became clients of PhilHealth.
<7>	Mula naman sa Education and Employment Services Division (EESD), 19 na set ng sports materials ang naipagkaloob sa pamamagitan ng Provincial School Board habang 13 barangay ang nabigyan ng sports equipment ng Special Concerns Division (SCD).	From the Education and Employment Services Division (EESD), 19 sets of sports materials were granted through the Provincial School Board while 13 barangay were given sports equipment by the Special Concerns Division (SCD).
<8>	Nagsagawa naman ang Provincial Tourism, Investment and Enterprise Development Office (PTIEDO) ng film viewing tungkol sa produksyon ng seafood snacks at namigay din ng Gabay sa Negosyo brochure sa 24 na katao.	The Provincial Tourism, Investment and Enterprise Development Office (PTIEDO) conducted a film viewing about the production of seafood snacks and also gave away Guide to Business brochure to 24 people.
<9>	Mayroon ding walong indibidwal ang sumangguni sa Provincial Legal Office (PLO) tungkol sa pagresolba ng iba't ibang kaso at usaping legal.	there were also eight individuals who consulted with the Provincial Legal Office (PLO) about resolving various cases and legal matters.
<10>	Nasa 13 barangay ang nabigyan ng butong pananim ng Provincial Agriculturist's Office samantalang 600 forest seedlings naman ang naipamahagi ng Environment and Natural Resources Office.	there are 13 barangays given with plant seeds by the Provincial Agriculturist's Office while 600 forest seedlings were distributed by the Environment and Natural Resources Office.
<11>	Sa pamamagitan ng Provincial Veterinary Office (ProVet), 52 mga hayop ang nabakunahan kontra-rabies, kabilang na rito ang mga alagang pusa at aso na kinapon. Dito ay naging katuwang ng ProVet ang mga doktor mula sa lalawigan ng Marinduque.	Through the Provincial Veterinary Office (ProVet), 53 animals were vaccinated with anti-rabies, included here were the castrated pet cats and dogs. Here the doctors became the support of ProVet from the province in Marinduque.
<12>	Samantala, mayroon namang 65 katao ang lumahok sa symposium ng isinagawa sa lugar ng Philippine Drug Enforcement Agency (PDEA) hinggil sa anti-drug campaign ng pamahalaang nasyunal.	Meanwhile, there are 65 people who participated in the symposium conducted in the place by the Philippine Drug Enforcement Agency (PDEA) about the anti-drug campaign of the national government.
<13>	Ang KPSM Serbisyo Ora Mismo ng kapitolyo ay nakasentro sa konsepto ng mabilis at agarang paghahatid ng mga pangunahing serbisyong panlipunan ng iba't ibang dibisyon ng Pamahalaang Panlalawigan at mga ahensya ng pamahalaang nasyunal sa mga mamamayan sa lahat ng bayan sa lalawigan.	The KPSM Instant Service of the capitol is centered on the concept of fast and quick delivery of primary community services of various divisions of the Provincial Government and the agencies of the national government to the residents of all towns in the province.
<14>	(CPRSD/LTC/PIA-Mimaropa/Calapan)	(CPRSD/LTC/PIA-Mimaropa/Calapan)
