<1>	Jana, masaya na kay Ejay By ALLAN DIO­­NES	Jana, already happy with Ejay by Allan Diones
<2>	November 2, 2016	November 2, 2016
<3>	GAYA nina Aljur Abrenica at Kylie Padilla, spotted din sa Japan nitong Undas ang Kapamilya hunk na si Ejay Falcon at ang dating Kapuso star na si Jana Roxas.	like Aljur Abrenica and Kylie Padilla, Kapamilya hunk Ejay Falcon and former Kapuso star Jana Roxas were also spotted in Japan last All Saint's Day.
<4>	Si Jana Roxas pala ‘yung JANA na sinasabi ni Prince Stefan sa podcast interview ni Mo Twis­ter na kaibigan niya na boyfriend ngayon si Ejay.	turns out Jana Roxas is the Jana Prince Stefan was saying in the podcast interview of Mo Twister that was his friend whose current boyfriend is Ejay.
<5>	Si Jana ‘yung friend ni Prince na pinagkuwentuhan niyang bet na bet niya ang pagka-macho ni Ejay, na next nilang punta sa gym ay kasama na ni Jana si Ejay at magsyota na pala ang dalawa.	Jana is Prince's friend whom he shared with how he really likes the machismo of Ejay, that next time they went to the gym Jana was already with Ejay and the two were already dating.
<6>	Itsinika rin ni Jana kay Ejay na type ito ni Prince kaya niloloko-loko na ni Ejay ang dyok­litang si Prince pag nagkikita sila sa gym.	Jana also gossiped to Ejay that he was the type of Prince so Ejay teased gay Prince whenever they saw each other in the gym.
<7>	Produkto ng StarStruck batch 3 si Jana, ka-batch nina Jackie Rice.	Jana is the product of StarStruck batch 3, the same batch as Jackie Rice.
<8>	Si Prince ay ga­ling din ng StarStruck (batch 4, kasabay nina Aljur) kaya magkaibigan ang dalawa.	Prince is also from StarStruck (batch 4, together with Aljur) so the two are friends.
<9>	Bago nag-Japan sina Ejay at Jana ay may nakita kaming pic na kuha nu’ng mag-dinner ang mga dating taga-StarStruck at ka-join sa group pic si Ejay, dahil syota nito ngayon si Jana.	before Ejay and Jana went to Japan we saw a photo taken when the former members of StarStruck had dinner and joining the group pic was Ejay, because he is dating Jana now.
<10>	Ang huli naming balita sa mestizang si Jana ay meron itong karelasyong non-showbiz guy na maraming tattoo, na ang alam namin ay matagal na sila at nagbabalak na silang pakasal.	our latest news about mestiza Jana is she is dating a non-showbiz guy with many tattoos, and we knew they were dating for a long time and were already planning to get married.
<11>	Obviously ay waley na ang nasabing lalaki, na sobrang kinainlaban at kinabaliwan ni Jana nang matagal ding panahon.	obviously the said guy is absent, whom Jana was in love with and crazy about for a long time.
<12>	Ang bongga ng 26-anyos na si Jana dahil si Ejay naman ang boylet niya ngayon.	26-year-old Jana is fabulous because her current boyfriend is Ejay.
<13>	Ang huling na-link kay Ejay ay si Ellen Adarna, na mukhang walang pinatunguhan.	the last linked to Ejay is Ellen Adarna, which seemed to have ended up nowhere.
<14>	Hindi namin sure kung may balak magbalik-showbiz ang matagal nawala sa sirkulasyon na si Jana o masaya na siyang dyowa niya si Ejay Falcon, na pinagnanasaan ng beki friend niyang si Prince.	we are not sure if Jana who was absent from the scene for a long time plans to return to showbiz or is happy to be dating Ejay Falcon, whom her gay friend Prince desired.
