<1>	PRANGKAHAN: Presidential Clarification OfficeBy Ellen Tordesillas	confrontation: Presidential Clarification Office by Ellen Tordesillas
<2>	December 21, 2016	December 21, 2016
<3>	Dapat palitan na lang ang Presi­dential Communications Office (PCO) ng Presidential Clarification Office dahil ang ginagawa nila ngayon ay magpaliwanag ng mga nakakabulabog na mga salita ni Pangulong Rodrigo Duterte.	the Presidential Communications Office (PCO) of the Presidential Clarification Office should be replaced because of what they are doing now is to explain the disrupting words of President Rodrigo Duterte.
<4>	Kadalasan, ang kanilang paliwanag ay taliwas sa mga sinabi ng Pangulo.	usually, their explanation is the opposite of what the President said.
<5>	Hindi rin yata bagay ang “Clarification” dahil kadalasan lalo ngang lumalabo ang usapan sa kanilang ginagawang paliwanag.	seems that "clarification" is not fitting because usually, the conversation becomes more muddled with the explanation that they have done.
<6>	Pwede siguro ang Presidential Obfuscation Office.	could be a Presidential Obfuscation Office.
<7>	Naaawa na ako kay Press Secretary Martin Andanar.	I am pitying Press Secretary Martin Andanar.
<8>	Mabait pa naman siya.	he is actually good.
<9>	Nang in-interview siya ni Rico Hizon ng BBC tungkol sa sinabi ng Pangulo na siya mismo ang nagpapatay ng mga nahuhuling sangkot sa iligal na droga, kulang na lang sabihin niya na huwag n’yong paniwalaan ang Pangulo, hindi niya alam ang kanyang sinasabi.	when he was interviewed by Rico Hizon of BBC about what the President said that he himself ordered the murder of those caught in illegal drugs, he almost said not to believe the President, he does not know what he is talking about.
<10>	Katulad na lang ng sinabi niya na isasantabi raw niya ang desisyon ng Permanent Court of Arbitration na nagpapabor sa Pilipinas laban sa China sa mga pinag-aagawang parte ng South China Sea kasama na doon ang Spratlys at Scarborough Shoal.	similar to what he said that he will disregard the decision of the Permanent Court of Arbitration favoring the Philippines against China in the disputed part of the South China Sea including the Spratlys and Scarborough Shoal.
<11>	Sumisipsip kasi si Duterte ngayon sa China.	Duterte is actually licking the ass of China now.
<12>	Kabaligtaran naman ng ginawa ng kanyang sinundan na si Pangulong Benigno Aquino III na inaway naman ang China at lalong nagpakatuta sa Amerika.	opposite to what his predecessor President Benigno Aquino III had done who quarreled China and became America's obedient follower.
<13>	Inisnab ng China ang kasong isinampa ng pamahalaang Aquino laban sa mapa ng China na sumasakop ng buong South China Sea at nasama doon ang teritoryo ng Pilipinas, Vietnam, Malaysia, Brunei at Taiwan.	China snubbed the case filed by the Aquino government against the map of China which covers the whole South China Sea and includes there the territory of the Philippines, Vietnam, Malaysia, Brunei and Taiwan.
<14>	Noong Lunes, sinabi ni Andanar na maraming beses nang sinabi ng Pangulo na hindi siya lalabas sa apat na sulok ng desisyon ng Arbitral Tribunal at isa na doon ay iligal ang mapa ng China na nine-dash line.	last Monday, Andanar said that the President has said several times that he will not go out of the four corners of the decision of the Arbitral Tribunal and one of these is the illegal nine-dash line map of China.
<15>	Ang isa ring sinabi ni Duterte na binabaligtad ng kanyang mga tagapagsalita ay tungkol sa pagputol ng relasyon sa Estados Unidos.	one thing that Duterte also said that his spokesmen have been reversing is about the excision of relationship from the United Sates.
<16>	Dahil sa pinuna siya ni Pangulong Barack Obama at iba pang opisyal, pinagmumura niya at sinabing puputulin na raw niya ang relasyon sa Amerika.	because he was criticized by President Barack Obama and other officials, he has cursed them and said that he is going to cut the relationship with America.
<17>	Puputulin na raw niya ang ­Visiting Forces Agreement (VFA) at pauuwiin na ang mga sundalong Amerikano na nasa Pilipinas.	he will cut the Visiting Forces Agreement (VFA) and send home the American soldiers who are in the Philippines.
<18>	Ngunit wala namang order na opisyal.	but there is no official order.
<19>	Hanggang salita lang.	just for words only.
<20>	Noong isang linggo, sinabi ng U.S. Embassy sa Manila na nagdesisyon ang kanilang pamahalaan na ipagpaliban ang pagpapalabas ng tulong para mabawasan ang kahirapan sa Pilipinas dahil sa paglabag ng karapatang pantao ni Duterte sa kanyang kampanya laban sa iligal na droga.	last weekend, the U. S Embassy in Manila said that their government decided to postpone the release of aide to lessen the poverty in the Philippines because of the violations on human rights of Duterte in his campaign against illegal drugs.
<21>	Siyempre, nagwala naman si Duterte at sinabi na naming pauwiin na ang mga Amerikanong sundalo dito sa Pilipinas at sa China at Russia na lang siya makipagkaibigan.	of course, Duterte went amok and we said we are going to send home the American soldiers here in the Philippines and they should befriend China and Russia instead.
<22>	Sinabi naman ni Presidential Communication Assistant Secretary Marie Banaag na “warning” lang ‘yun ng ­Pangulo.	Presidential Communication Assistant Secretary Marie Banaag also said that this is only a warning of the President.
<23>	Wala naman daw siyang order na putulin na ang VFA.	he does not actually have an order to cut the VFA.
<24>	Hintay na lang daw tayo sa susunod niyang hakbang o sasabihin.	for us to just wait for his next step or words.
<25>	Oo nga naman.	of course.
<26>	Baka bukas iba na naman ‘yan.	perhaps, tomorrow, it will be different.
