<1>	CHUBIBO: Abu Sayyaf — Dinuduro si DU30? By Dennis Garcia	Chubibo: Abu Sayyaf - pointing at DU30? by Dennis Garcia
<2>	June 17, 2016	June 17, 2016
<3>	Marami sa ating mga kababa­yan ang nalungkot at nagalit sa ba­li­tang may pinugutan na naman ang bandidong grupong Abu Sayyaf.	many of our fellowmen were saddened and angered by the news that the bandit group Abu Sayyaf beheaded another.
<4>	Ang napugutan ay si Robert Hall, isang Canadian citizen na kinidnap ng mga bandido kasama ang tatlo pang bihag mula sa Canada, Norway at isang Pilipina.	beheaded were Robert Hall, a Canadian citizen kidnapped by the bandits together with three other hostages from Canada, Norway, and one Filipina.
<5>	Unang pinatay sa grupo noong Abril si John Ridsdel, isa ring Canadian, nang mabigong makuha ng mga bandido ang hinihinging P300M ransom.	Jonn Ridsdel, another Canadian, was the first in the group to be killed when the bandits failed to get the P300M ransom they requested.
<6>	Tinaas na sa P600 million ang ransom na ginigiit ng Abu Sayaff para sa mga nabihag.	the ransom insisted by the Abu Sayaff for the hostages has increased to P600 million.
<7>	Kamakailan, nakausap ni President-elect Rodrigo Duterte si Canadian Prime Minister Justin Trudeau.	recently, President-elect Rodrigo Duterte talked to Canadian Prime Minister Justin Trudeau.
<8>	Humingi siya ng paumanhin sa nangyari kay Ridsdel at nangakong wala na mu­ling mamamatay na Canadian sa kamay ng anumang bandido.	he asked an apology for what happened to Ridsdel and promised that no more Canadian will die in the hands of any bandits.
<9>	Pero ang pangako ay napako nang pugutan si Robert Hall.	but the promise was broken when Robert Hall was beheaded.
<10>	Hula who.	guess who.
<11>	Magandang ehemplo ang pinapakita ng isang nanalo noong nakaraang halalan: tinanggihan niya ang isang magarbong tanggapan pagkat may kataasan ang buwanang upa rito.	one winner in the previous election shows a good example: he refused an extravagant office because the monthly rent for it is high.
<12>	Imbes na engrande, mas pumabor siya sa simpleng opisina sa Quezon City na mukhang mas malapit sa kanyang puso.	instead of the extravagant, he favored a simple office in Quezon City that seems to be closer to his heart.
<13>	Kaya lang, binibigyan ng malisya ang kanyang desisyon pero sa takdang panahon ay malalaman natin kung may katotohanan ang mga umuugong na tsismis na may napupusuan siya sa lungsod na ito.	however, his decision was given malice but at the right time we will know if the rumors going around are true that he likes someone in this city.
<14>	50 ang patay at 53 ang sugatan nang pumasok si Omar Mateen, isang Afghan-American, sa isang gay night club sa Orlando, Florida.	50 are dead and 53 are wounded when Omar Mateen, an Afghan-American, entered a gay night club in Orlando, Florida.
<15>	Nilabas ang sandatang pandigmaan at pinagbababaril ang mga nagsasalsang parokyano ng club.	he drew out a military weapon and shot the dancing patrons of the club.
<16>	Gamit niya ay isang AR15 – isang bigating assault rifle na gamit sa seryosong ratratan.	he used an AR15 - a heavy assault rifle that is used in serious attacks.
<17>	Tapos ng tinuring na pinakamadugong massacre sa America, sobrang lumakas ang benta ng AR15 na nagkakahalaga nang halos $800.	after what is considered the bloodiest massacre in America, sales of the AR15 that costs almost $800 really increased.
<18>	Nagbilihan ang maraming Amerikano dahil natatakot sa napapadalas na karahasan.	many Americans bought it due to fear of increasing violence.
<19>	Pangalawang dahilan ay pagkat nangangamba silang maghihigpit na ang gobyerno sa proseso ng pagbili ng baril.	the second reason is because they worry that the government will make the process of buying a gun stricter.
<20>	Galak na galak ang may-ari ng isang gun shop sa Florida.	a gun shop owner in Florida is extremely happy.
<21>	Kung dati’y nakakabenta sila ng isang AR15 kada araw – ngayo’y nakakabenta sila ng 10 assault rifles kada isang oras.	if before they can sell one AR15 per day - now they can sell 10 assault rifles per hour.
<22>	Huling hirit.	last attempt.
<23>	Sobrang haba ng pila sa mga metered taxi sa airport natin kaya agad kang lalapitan ng mga may car service “desks” sa labas ng terminal.	the line for metered taxis in our airport is really long so you will be immediately approached by those with car service "desks" outside the terminal.
<24>	Garapal na pepresyuhan ka ng P1500 para tumungo sa EDSA Shangri-La, samantalang aabutin lang ito ng P350 sa ordinaryong metered taxi.	you will be greedily priced with P1500 to go to EDSA Shangri-La, while in an ordinary metered taxi it will only cost up to P350.
<25>	Bakit ba hindi hinahayaang magsakay ng pasahero ang Uber sa airport para ang pagod na biyahero ay komportable, ligtas – at hindi pinagsasamantalahan?	why is Uber not permitted to carry passengers in the airport so the tired passenger is comfortable, safe - and not taken advantage of?
