<1>	WALA KAYONG MAGAGAWA!	you can do nothing!
<2>	March 17, 2016 Buong kumpiyansang sinabi ka­ha­pon ni Sen. Grace Poe, independenteng presidential aspirant, na wala nang magagawa ang kanyang mga kritiko oras na mahalal siya sa Mayo 9.	March 17, 2016 Senator Grace Poe, independent presidential aspirant, said in full confidence yesterday that her critics can no longer do anything once she is elected on May 9.
<3>	Reaksyon ito ni Poe sa paghahain ng motion for reconsideration (MR) sa Korte Suprema ng mga nagpapadiskwalipika sa kanya.	this is Poe's reaction to the motion for reconsideration (MR) submitted to the Supreme Court by those who want to disqualify her.
<4>	Sa ngayon ay ayaw umanong patulan ni Poe ang mga petitioners na kumukuwestyon sa na­ging desisyon ng Korte Suprema na pinapayagan siyang tumakbo sa pinakamataas na posis­yon sa gobyerno.	at present Poe does not want to acknowledge the petitioners questioning the decision of the Supreme Court to let her run for the highest position in the government.
<5>	“Siguro wala namang mensahe sa kanila na tatanggapin nila.	"perhaps there is no message for them that they will accept.
<6>	Hayaan mo na.	let it be.
<7>	Karapatan nila ‘yon kung gusto nilang mag-file, mag-file sila,” ani Poe.	it is their right if they want to file, let them file," said Poe.
<8>	“Hindi ako natatakot sa kanila,” dagdag pa ng senadora dahil ang pinanghahawakan umano niya ay ang desisyon ng Kataas-taasang Hukuman kung saan pitong mahistrado ang puma­yag na siya ay tumakbo, lima ang hindi at tatlo ang walang desisyon.	"I am not scared of them," added the senator because she holds onto the decision of the high court where seven judges allowed her to run, five did not and three had no decision.
<9>	Ayon sa senadora, itu­tutok na lamang, aniya, nito ang kanyang panahon at lakas sa panga­ngampanya para maabot ang mas mara­ming tao at masabi ng personal sa mga ito ang kanyang mga gagawing kapag siya ay nanalong pangulo.	according to the senator, she will just focus, according to her, her time and energy in campaigning to reach more people and personally say to them her plans if she wins president.
<10>	“Ang importante… kung meron ng desisyon ang ating mga kababayan at bumoto na sila, ‘yan ay pinakamatibay na ebidensiya na ikaw ay tinanggap at wala na silang magagawa doon, at wala na silang dapat gawin pa doon,” ayon kay Poe sa harap ng natipong mga tagasuporta sa pagbisita kahapon sa Bacoor, Cavite.	"what is important... if our fellowmen already have a decision and they have already voted, that is the strongest evidence that you are accepted and they can do nothing about it, and there is nothing they have to do there," according to Poe in front of supporters that gathered in her visit yesterday to Bacoor, Cavite.
<11>	Tigilan mo ang mga magniniyog, Grace!	lay off the coconut farmers, Grace!
<12>	Umapela ang isang transparency group kay presidential candidate Sen. Grace Poe na huwag gamitin ang mga magniniyog bagkus ay tumulong para maresolba ang matagal na nilang ipinaglalabang coco levy funds kasabay ng pa­nawagan na huwag kampihan ang negosyanteng si Danding Cojuangco.	a transparency group appealed to presidential candidate Senator Grace Poe to not use the coconut farmers and instead help to resolve their long-standing issue of the coco levy funds coinciding with the plea to not side with businessman Danding Cojuangco.
<13>	Ayon kay Filipino Alliance for Transparency and Empowerment (FATE) president Jennifer Castro, sa lantarang pagdepensa ng senadora kay Cojuangco, nangangamba ang mga coco farmers na lalong mababaon sa limot ang pagresolba sa coco levy funds kung si Poe ang mananalo sa May elections.	according to Filipino Alliance for Transparency and Empowerment (FATE) president Jennifer Castro, in the senator's public defense of Cojuangco, the coco farmers are worried that the resolution of the coco levy funds will be even more forgotten if Poe wins the May elections.
<14>	Pinuna pa ni Castro na ang kawalang malasakit ni Poe sa mga coco farmers ay ­mapapansin na kahit noong naka­upong vice chairperson ito ng agricultural committee sa Senado.	Castro also criticized that Poe's apathy of the coco farmers was noticeable even when she was the vice chairperson of the agricultural committee of the Senate.
<15>	Ni wala umano itong panukalang isinulong para sa distribusyon ng pondo sa mga coco farmers.	she did not propose anything for the distribution of funds to the coco farmers.
<16>	“Tingnan natin ang record ng senadora.	"let us look at the record of the senator.
<17>	Nu’ng Vice-Chair ng Agricultural Committee, dapat magpaliwanag si Senadora Poe bakit, kung bakit hindi naipasa ang bill sa Senado samantalang siya ang co-author nito.	when she was vice-chair of the agricultural committee, Senator Poe should explain why, the bill was not passed in the Senate when she is its co-author.
<18>	Huwag sana niyang gamitin ang sektor ng magniniyog,” pahayag ni Castro kasabay ng paghamon sa senadora na alamin ang kasaysayan ng coco levy sa halip na kumatig agad sa kabilang panig ni Cojuangco na pinagdududahan ngayong isa sa financier ng kampanya ng senadora.	hope she does not use the sector of coconut farmers," Castro stated together with challenging the senator to find out the history of the coco levy instead of siding immediately with the side of Cojuangco whom she suspects is one of the financiers of the senator's campaign.
