<1>	Tumalima sa mga alituntunin ng gubyernong bayan hinggil sa kampanya sa eleksyon	comply with the regulations of the people's government regarding the election campaigns
<2>	Communist Party of the PhilippinesFebruary 17, 2013	Communist Party of the Philippines February 17, 2013
<3>	Translation of: Abide by people's government guidelines regarding election campaigns	translation of: abide by the people's government guidelines regarding election campaigns
<4>	Lahat ng kandidato at kanilang mga partidong lalahok sa eleksyon sa Mayo na planong magsagawa ng kanilang pampulitikang aktibidad sa loob ng teritoryo ng Demokratikong Gubyernong Bayan ay dapat sumunod sa lahat ng umiiral na alituntunin at tiyaking makakuha ng permiso sa mga awtorisadong rebolusyonaryong komite.	all candidates and their parties joining the election on May who plan to conduct their political activities inside the territory of the People's Democratic Government should follow all the ruling guidelines and make sure to obtain permission from the authorized revolutionary committee.
<5>	Tinitiyak ng mga gabay na ito na ang reaksyunaryong eleksyon ay maisasagawa na hindi malalabag ang mga karapatan at interes ng mamamayan at sa paraang mapayapapa, maayos at kapaki-pakinabang sa mamamayan.	these guidelines are assuring that the reactionary election will be done without violating the rights and interests of the citizens and in a peaceful, orderly and beneficial way for the citizens.
<6>	Pahihintulutang makapasok sa mga teritoryo ng Demokratikong Gubyernong Bayan ang mga kandidato at mga kinatawan nila upang makapangampanya kung susunod sila sa mga gabay kaugnay ng kondukta ng mga pampulitikang kampanyang may kaugnayan sa reaksyunaryong eleksyon.	the candidates and their representatives are permitted to enter the territories of the People's Democratic Government to be able to campaign if they are going to follow the guidelines in relation to the conduct for political campaigns in relation to the reactionary election.
<7>	Pagbabawalan silang magsama ng kanilang pribadong armadong goons o militar, pulis o mga paramilitar na alalay.	they are prohibited to bring along their private armed goons or military, police or paramilitary aide.
<8>	Hindi sila dapat hayaang takutin, bantaan o pwersahin ang mamamayan o gumamit ng dahas laban sa mga karibal na kampong pampulitika.	they should not be tolerated to scare, threat or force the citizens or use violence against the opposing political camp.
<9>	Hindi sila dapat pahintulutang bumili ng boto o manuhol sa mga lider ng mga komunidad kapalit ng boto.	they should not be allowed to buy votes or bribe the leaders of the communities in exchange of a vote.
<10>	Susunod sila sa mga iskedyul na itatakda ng mga lokal na komite upang maiwasang sumapaw sa iskedyul ng ibang kandidato at para di maging dahilan ng pagkaabala sa pang-ekonomya, pampulitika at pangkulturang mga aktibidad sa lugar.	they are going to follow the schedules set by the local committees to avoid in overlapping the schedule of other candidates and for this not to be the cause of hassle in economical, political and cultural activities in the place.
<11>	Hihiikayatin silang magsagawa ng harapang pakikipagdayalogo sa mamamayan upang magkaroon sila ng pagkakataong marinig ang hinaing ng mamamayan at maipahayag ang kanilang opinyon at mailatag ang kanilang plataporma de gubyerno.	they will be encouraged to do a face to face dialogue with the citizens in order for them to have a chance to listen to the complaints of the citizens and express their opinion and spread their platform of governance.
<12>	May karapatan ang Demokratikong Gubyernong Bayan na pagbawalang pumasok ang mga kandidatong may mga seryosong krimen sa mamamayan at sa rebolusyonaryong kilusan.	the People's Democratic Government has a right to prohibit the candidates with serious crimes to the citizens and to the revolutionary movement.
<13>	Kabilang dito ang mga sagadsaring korap na upisyal ng gubyerno, yaong may malalalang kaso ng pang-aabuso sa mga karapatang-tao, mga drug lords at yaong mga taong nagpapatakbo at nagbibigay-proteksyon sa mga kriminal na sindikato.	included here are those downright corrupt officials of the government, those with severe cases of abuses on human rights, drug lords and those people who are running and giving protection to the criminal syndicates.
<14>	Babawalan din yaong mga kandidatong ginagamit ang kampanaya sa eleksyon para papasukin ang mga ahente sa paniktik ng militar at pulisya sa mga erya na nasa hurisdiksyon ng rebolusyonaryong awtoridad.	will be prohibited also are those candidates who are using the election campaign to let the entry of spy agents of the military and police in the areas within the jurisdiction of the revolutionary authorities.
<15>	Ginawa ang mga gabay na ito ayon sa kahilingan ng sambayanang Pilipino.	these guidelines are made in accordance to the plea of the Filipino people.
<16>	Malaon na silang biktima ng bulok na sistemang elektoral.	long have they been victims of rotten electoral system.
<17>	Sa ilalim ng naghaharing sistema, nakapangyayari ang maruruming reaksyunarong pulitko, mga tiranikong panginoong maylupa at brutal na mga warlord at isinasailalim ang mamamayan sa pamumuwersa, pananakot at panunuhol sa kanilang tulak na “mahalal”.	under the reigning system, exterminating are the dirty reactionary politicians, tyrant landlords and brutal warlord and subjugating the citizens through force, threat and bribe in their push to be elected.
<18>	Hindi kailanman tungkol sa demokratikong diskurso ang mga reaksyunaryong eleksyon, bagkus, pinagpapasyahan ito ng armadong lakas at yaman upang mamwersa at makapanuhol para makaupo sa poder.	the reactionary election has never been about democratic discourses, instead, these are being decided on by the armed force and wealth to force and bribe in order to sit on power.
<19>	Kapag nasa poder, ginagamit na ng mga reaksyunaryong pulitikong ito ang burukrasya at mga mapaniil na instrumento nito upang pag-ibayuhin ang panunupil at pagsasamantala sa mamamayan.	if already in power, these reactionary politicians are using the bureaucracy and the oppressive instruments to intensify the suppression and in taking advantage of the citizens.
<20>	Ang paglitaw at pagkakaroon ng Demokratikong Gubyernong Bayan habang umiiral pa ang reaksyunaryong gubyerno ng malalaking panginoong maylupa at burgesya kumprador ay nagbibigay ng instrumento sa mamamayan para harapin ang reaksyunaryong eleksyon, labanan ang pinakabrutal at anti-demokratikong aspeto nito at makakuha ng pakinabang mula rito.	the surfacing and having a People's Democratic Government while there is still a reigning reactionary government of huge landlords and bourgeoisie buyers is giving an instrument to the citizens to face the reactionary elections, fight against its most brutal and anti-democratic aspect and can get benefits from these.
<21>	Sa pagpapatupad ng mga alituntunin nito, epektibong nabawasan ng Demokratikong Gubyernong Bayan ang mga insidente ng karahasang kaugnay ng kondukta ng reaksyunaryong eleksyon sa mga lugar ng hurisdiksyon nito.	in implementing these guidelines, the People's Democratic Government effectively lessen the incidents of violence in relation to the conduct of reactionary election in the places within its jurisdiction.
<22>	Sa nakaraang mga taon, hinahamak ng reaksyunaryong rehimen at aramadong pwersa nito ang mga alituntuning sumasaklaw sa reaksyunaryong eleksyon sa loob ng mga lugar ng nasasakupan ng Demokratikong Gubyernong Bayan.	in the past years, the reactionary regime and its armed forces are degrading these guidelines encompassing the reactionary election in the places of jurisdiction by the People's Democratic Government.
<23>	Layon ng mapanirang kampanyang itong pagtakpan ang katotohanang epektibong gumagampan ang rebolusyonaryong kilusan ng kapangyarihang pang-estado at ang gayong kapangyarihang pang-estado ay malawak na kinikilala at nirerespeto.	objective of this destructive campaign is to cover the truth that the revolutionary movement effectively fulfill its obligation of stately power and that same stately power is hugely known and respected.
<24>	Sa kabila ng gayong kontra-rebolusyonaryong propaganda, lumalapit ang mga kandidato at mga partidong pulitikal sa rebolusyonaryong awtoridad upang tumalima sa mga gabay at patakaran ng Demokratikong Gubyernong Bayan.	despite of those anti-revolutionary propaganda, the candidates and political parties are coming closer to the revolutionary authorities to comply with the guidelines and rules of the People's Democratic Government.
<25>	Malayang idinadaos ang mga pulong sa pambansa, panrehiyon, pamprubinsya at lokal na antas upang talakayin ang mga suliranin ng mamamayan, ang mga plataporma ng mga kandidato at ang mga programa at patakaran ng rebolusyonaryong kilusan.	the meetings on national, regional, provincial and local ranks are freely conducted to discuss the problem of the citizens, the platforms of the candidates and the programs and rules of revolutionary movement.
<26>	Nagbibigay ng oportunidad ang gayong mga pulong upang talakayin ang mga bagay ng posibleng kooperasyon at koordinasyon kabilang ang pagtataguyod ng produksyong pang-agrikultura, pagpapataas ng kita sa kanayunan at pagsusulong ng edukasyon, literasiya, pangangalagang pangkalusugan at iba pang mga programa ng Demokratikong Gubyernong Bayan.	those meetings are giving opportunities to discuss the things of possible cooperation and coordination including the support on agricultural production, raising the profit in the provinces and advancing education, literacy, taking care of health and other programs of the People's Democratic Government.
<27>	Bahagi ang kabulukan ng reaksyunaryong eleksyon at ang reaksyunaryong burukratikong sistema, ng mapanupil at magpasamantalang naghaharing sistemang layong ibagsak ng sambayanang Pilipino at palitan ng isang tunay na demokratikong sistema ng paggugubyerno.	part is the rottenness of the reactionary election and reactionary bureaucratic system, of subjugating and advantageous reigning system which has a goal to fail the Filipino citizens and replace it with a real democratic system of governance.
<28>	Sa loob ng mga lugar ng hurisdiksyon ng Demokratikong Gubyernong Bayan, ginagampanan at pinauunlad ang gayong sistema ng demokratikong pamamahala kung saan nagsasagawa ang mamamayan ng tunay na demokratikong eleksyon upang ihalal ang kanilang upisyal at kinatawan mula sa kanilang hanay at lubos silang nakalalahok sa mga gawaing pampulitika at pang-estado.	within the places of jurisdiction of the People's Democratic Government, the said system of democratic governance is fulfilling its duty and progressing where the citizens are making a real democratic election to elect their officials and representatives from their ranks and participate fully in the political and state actions.
