<1>	32 magbababoy, nakinabang sa Organic Pig Raising	32 swine raisers, benefited from the Organic Pig raising
<2>	August 16, 2016	August 16, 2016
<3>	IBAAN, Batangas, Agosto 16 (PIA) -- May 32 magbababoy ang nakinabang sa Organic Pig Raising seminar na isinagawa ng lokal na pamahalaan noong Agosto 9 na magkatuwang na itinaguyod ng Municipal Agricuture Office at International Training Center for Pig Husbandry (ITCPH).	Ibaan, Batangas, August 16 (PIA) - around 32 swine raisers have benefited from the Organic Pig raising seminar conducted by the local government last August 9 which is upheld in partnership with the Municipal Agriculture Office and International Training Center for Pig Husbandry (ITCPH).
<4>	Sinabi ni Ibaan Mayor Juan Toreja na ang pagsasanay na ay layong makapagbigay ng kaalaman at mapalawak ang kasanayan sa pag-aalaga ng baboy sa natural na pamamaraan.	Ibaan Mayor Juan Toreja said that the training has an objective to be able to give knowledge and widen the skills in raising swine in a natural way.
<5>	“Bukod po sa pag-aalaga ng baboy, nais kong bigyang diin ang importansya ng pagrerecycle ng dumi ng baboy upang maiwasan na ito ay makaapekto sa ating kapaligiran lalo na at isa ito sa mga contributory sa polusyon," dagdag pa ni Toreja.	"aside from raising swine, I want to give assertion on the importance of recycling the manure of the pigs to avoid this in affecting our surroundings especially that this is one of the contributors of pollution," Toreja added.
<6>	Tinalakay ni Gng. Amy Eguia mula sa Career De velopment and Management Services ng ITCPH ang iba’t-ibang lahi ng native na baboy tulad ng Meishan, Landrace, Berkshire at Pietrain gayundin ang mga dapat isaalang-alang sa pag- aalaga ng baboy tulad ng pagkakaroon ng forage area para sa pakain at concoction sa bawat pagkain ng baboy.	Mrs. Amy Eguia from the Career Development and Management Services of the ITCPH discussed the different breeds of native pigs such as Meishan, Landrace, Berkshire and Pietrain as well as those needed to be considered in raising pigs such as having a forage area for feeding and concoction every time the pig eats.
<7>	Ilan sa mga pointers na ibinigay sa paggawa ng wastong tirahan ng baboy ay ang paggamit ng pawid bilang bubong, pagkakawang ng sulirap o kugon para sa magandang bentilasyon; paglalagay ng isang metrong ipa o kusot bilang beddings at lalagyan o painuman ng tubig malapit sa pinagkukunan ng tubig.	some of the pointers given in making a proper shelter for the pigs is the use of Nipa palm as ceiling, creating spaces between the cogon or cogon grass for a good ventilation; putting a one-meter rice husks or sawdust as bed materials and container or receptacle of water for drinking near the water source.
<8>	Ipinaliwanag naman ng Gng.	also explained by Mrs.
<9>	Jenny Hornilla na ang natural pig medication ay hindi ginagamitan ng anumang gamot o antibiotics bagkus ay herbal na medisina ang inilalagay.	Jenny Hornilla that a natural pig medication is not used with any medicine or antibiotics but rather herbal medicines are applied.
<10>	Ilan sa mga maaaring gamutin na sakit ng baboy gamit ang herbal ay ang scours o diarrhea, internal parasites; dehydration bunga ng pagtatae at buni o iba pang sakit sa paa.	some of the illness of the pigs that can be treated using herbal are scours or diarrhea, internal parasites, dehydration caused by loose bowl movement and shingles or other foot diseases.
<11>	Nagpapaalala pa si Hornilla na kung sakaling hindi maging epektibo sa alagang baboy ang paglalapat ng medisinang herbal ay maaaring komunsulta sa beterinaryo.	Hornilla is reminding that in case the treatment of herbal medicines are not going to be effective to the pet pigs, veterinarians can be consulted.
<12>	(BHABY P. DE CASTRO-PIA BATANGAS with reports from Mark Lacsamana-Ibaan LGU)	(Bhaby P. de Castro-PIA Batangas with reports from Mark Lacsamana-Ibaan LGU)
