<1>	GIRIAN SA WPS, BAGSAK NA LANGIS, LABAN SA ZIKA VIRUS	quarrel on the WPS, drop in oil, fight against Zika virus
<2>	MAY tatlong usaping internasyonal na bumabagabag sa mahal kong Pinas ngayon.	there are three international issues that are troubling the Philippines I love right now.
<3>	Ang agawan ng teritoryo sa West Philippine Sea, posibleng pagkadiskaril ng maraming overseas Filipino worker sa mga Arabong bansa at pagkalat ng Zika virus.	the struggle for the possession of West Philippine Sea territories, the possible derailment of many overseas Filipino workers on Arab countries and the spread of Zika virus.
<4>	Ano-ano na ang ginagawa ng ating pamahalaan upang masolusyonan o mapahupa man lang ang mga ito at manaig ang interes ng ating bansa?	what are the things our government is doing to solve or just to alleviate these, and to make the interest of our nation prevail?
<5>	GIRIAN SA WPS	quarrel on the WPS
<6>	Pinaiinit o pinakukulo ang girian sa WPS ng paglapit ng dalawang barkong pandigma ng Amerika sa mga islang inaangkin ng Tsina ngunit inaangkin din ang ilan ng Pilipinas.	the quarrel on the WPS is being heated up by the closing in of American warships on the islands which are being claimed by both China and the Philippines.
<7>	Nitong nakaraang mga araw, lumapit ang guided-missile destroyer USS Curtis Wilbur at naglayag sa loob ng 12-milyang sakop ng Triton Island.	these past days, the guided-missile destroyer USS Curtis Wilbur came close and was sailing within a 12-mile radius of the Triton Island.
<8>	Ayon sa mga Kano, wala silang nakitang barkong Tsino sa paligid ngunit kabaligtaran nito ang sinabi ng Tsina na pinalayas nila ang barko.	according to the Americans, they are not seeing any Chinese ships in the vicinity but this is in contradiction with what China said that they made the ship go away.
<9>	Noong Oktubre, lumapit naman ang guided-missile destroyer USS Lassen sa mga islang ginawa ng Tsina para sa mga puwersa militar at tirahan ng mga tao.	last October, the guided-missile destroyer USS Lassen closed in on the islands manufactured by China for their military forces and settlement for their men.
<10>	Binalaan lang umano ng mga Tsino ang mga Kano at saka ito nagreklamo.	China supposedly only warned the Americans before they complained.
<11>	Sa tono ng Tsina, sa kanila ang mga nabanggit na isla at walang sinomang lalapit o papasok maging sa karagatan ng mga isla nang hindi nagpapaalam dito.	based on China's tone, they owned the said islands and no one should come close or enter even on the seas of the islands without asking their permission.
<12>	HANGGANG SAAN?	until where?
<13>	Saan kaya hahantong ang girian?	where will this quarrel end up?
<14>	Magkakaroon ba ng madugong giyera?	will there be a bloody war?
<15>	Sakaling hahantong ang lahat ng girian sa putukan ng mga armas na militar, ano-ano na ba ang mga paghahanda ng gobyernong Aquino sa sitwasyong ito?	in case all arguments lead to the firing of military arms, what are the preparations of the Aquino government in this situation?
<16>	Mananatili na lang ba itong nakatunganga at aasa sa resulta ng demanda nito sa International Arbitration Tribunal sa Tha Hagues, Netherlands at hindi nito hahamunin ang pagbabakod ng Tsina sa mga isla?	will it remain dazed and depend on the result on their case in the International Arbitration Tribunal in the the Hagues, Netherlands and not challenge China's fencing of the islands.
<17>	Magpapadala ba ito ng mga armas na militar at tropa laban sa panghihimasok ng Tsina?	will it send military arms and troops against China's intrusion?
<18>	Alalahaning maging ang mga tinauhan na ng Pinas na mga isla ay inaangkin na ng Tsina.	remember that even the islands stationed by men from the Philippines are being claimed by China.
<19>	SAUDIZATION	Saudization
<20>	Isa sa pagmumulan ng pagkadiskaril ng mga overseas Filipino worker sa Gitnang Silangan ang programang Saudization na napadadali sa pagbagsak ng ekonomiya ng nasabing Arabong bansa.	one of the causes of the derailment of overseas Filipino workers in the Middle East is the Saudization program that hastens the economic fall of the said Arab country.
<21>	Ayon sa Saudi Arabia, kaya na nilang palitan ang mga dayuhang obrero, kabilang na ang nasa dalawang milyong OFW, ng kanilang mga sariling mamamayan at ang matitira lang ay ang mga gawaing hindi kayang gawin ng mga Saudi nasyonal.	according to Saudi Arabia, they are able to replace the foreign laborers, including the estimated two million OFWs, with their own citizens, and the only remaining jobs are those that can't be done by Saudi nationals.
<22>	Bumabagsak ang ekonomiya ng Saudi dahil sa pagbagsak ng industriya ng langis na pangunahin nitong ikinabubuhay.	the economy of Saudi Arabia is declining because of the recession in the oil industry, which is its main source of income.
<23>	EQUIVALENCY CERTIFICATE	equivalency certificate
<24>	May problema naman ngayon ang mga propesyonal gaya ng mga inhinyero at arkitektong OFW sa bansang Qatar.	professional workers like engineers and architects OFWs in Qatar are now having problems.
<25>	Walang iba kundi ang pagturing sa mga inhinyero at arkitekto na “dalawang taon” lang ang inabot ng mga ito na edukasyong pangkolehiyo.	there is nothing else but the treatment of engineers and architects who only finished "two years" in college education.
<26>	Kaya naman, pupwedeng ma-disqualify ang nasa nasabing mga propesyonal na OFW na umaabot sa 12,000 – 23,000.	so, the mentioned professional OFWs reaching 12,000 - 23,000 may be disqualified.
<27>	Hindi man sinasabi ng Qatar, hindi kaya konektado rin ang pagkuwestyon nila sa edukasyon ng mga OFW sa pagbagsak din ng ekonimiya ng nasabing bansa?	although it is not mentioned by Qatar, is it possible that their questioning of the educational attainment of the OFWs is also connected to the economic fall of the said country?
<28>	At ang pagpapaalis sa mga propesyonal na OFW ang isang paraan upang mabawasan sila ng alalahanin at pagbuhos ng kanilang salapi para sa mga dayuhan?	and the expulsion of the professional OFWs is one way to lessen their burdens and the money they are shelling out for foreigners?
<29>	Ano-ano na ang mga iniisip ng pamahalaan bilang solusyon sa posibleng pagkadiskaril ng buhay ng libo-libo kundi man milyong OFW sa Qatar at Saudi Arabia lamang?	what are the different solutions being thought up by the government for the possible derailment of the lives of thousands, if not millions, of OFWs in Qatar an Saudi Arabia alone?
<30>	Paano kung may lilitaw pang mga Arabong bansa na maghihigpit laban sa mga OFW?	what happens if other Arabs appear in the country who will regulate further against the OFWs?
<31>	ISTAYL LABAN SA DENGUE	style against dengue
<32>	Ipagpalagay nating hindi natin mahaharangan ang pagpasok ng Zika virus sa ating bansa, ano-ano ang mga posible nating gawin?	assuming that we can't stop the Zika virus from entering our country, what are the things that we can possibly do?
<33>	Sapat na ba ang sinasabing pagbabantay sa mga paliparan at daungan ng mga barko at bangka laban sa mga posibleng taong tagadala ng walang bakuna o gamot na sakit at nakamamatay at nakasisira sa katawan at ulo ng mga biktima?	is guarding the airports and harbors against possible carriers enough against a disease with no vaccine or medication which may cause the destruction of the body and the head, and death of the victim?
<34>	O kaya ang pagsasabing kung ano ang ginagawa na-ting kalinisan sa paligid laban sa dengue ay siya ring gagawin natin laban sa Zika virus?	or the dissemination of information that whatever cleaning we are doing to our surroundings against dengue will be enough to fight the Zika virus?
<35>	Sa balita, may isa nang OFW ang kinapitan ng Zika virus.	in the news, there is already one OFW infected by the Zika virus.
<36>	Paano ang iba na posibleng umuwi sa Pilipinas na may dala-dalang Zika virus?	how about the other people who may possibly come home to the Philippines carrying the Zika virus?
<37>	Paano ang pagdagsa ng mga turistang dayuhan na posibleng carrier ng nasabing virus na inaasahang milyon ang bilang at libo-libo ang bilang sa gabi’t araw sa ating mga paliparan at daungan?	how about the rush of foreign tourists who are possible carriers of the said virus which are anticipated to reach millions in numbers and reach thousands in numbers day and night in our airports and harbors?
<38>	Alalahaning hindi lang ang mga magagandang tanawin sa Pinas ang dinarayo ng mga dayuhang turista kundi ang mga naglalako ng laman na ating mga kababayan.	remember that foreign tourists visit the Philippines not only for the beautiful sceneries but also for our prostituting countrymen.
<39>	Sinasamantala ng mga dayuhang ang kahirapan sa bansa na nagtutulak sa maraming kababaihan at kalalakihan na pumasok sa prostitusyon.	the foreigners are taking advantage of the country's poverty which pushes a lot of men and women to enter prostitution.
<40>	Kumakapit sila sa patalim?	are they resorting to illegal activities?
<41>	oOo	oOo
<42>	Anomang reklamo o puna ay maaaring iparating sa www.remate.ph o i-text sa 09214303333.	any complaints or suggestions may be sent to www.remate.ph or through text message to 09214303333.
<43>	ULTIMATUM/BENNY ANTIPORDA	ultimatum/Benny Antiporda
