<1>	‘Digmang bayan para sa kapayapaan’	'national war for peace'
<2>	Ipinamalas ng rebolusyonaryong armadong kilusan sa Timog Mindanao ang lakas nito noong Disyembre 26.	the revolutionary army movement in south Mindanao showed its force last December 26.
<3>	Ang mensahe naman nito: hangad ng mga mamamayan ang kapayapaang batay sa hustisya.	its message: the residents desire a peace based on justice.
<4>	DAVAO CITY — Sa isang buong araw, naging sentro ng atensiyon ng buong bansa ang isang dati’y tahimik na baryo sa distrito ng Paquibato sa naturang lungsod.	Davao city - in one whole day, the center of attention of the entire country is one formerly quiet town in the district of Paquibato in the said city.
<5>	Ito’y dahil sa bulubunduking lugar na ito ng isa sa pinakamalaking lungsod sa bansa, isinagawa ang isang pambansang asembleyang pangkapayapaan.	this is because this mountainous place is of one of the biggest cities in the country, a country assembly on peace was done.
<6>	Kasabay nito, dito rin ipinagdiwang ang anibersaryo ng “tanging partido pulitikal sa buong bansa” (sabi ng maraming eksperto sa pulitikang Pilipino); ang partidong namumuno sa rebolusyong Pilipino ngayon: ang Communist Party of the Philippines (CPP), na itinatag 48 na ang nakararaan.	along with it, this is also where the anniversary of the "only political party in the entire country" was celebrated (said by many experts on Filipino politics); the party leading the Filipino revolution today: the Communist Party of the Philippines (CPP), that was established 48 ago.
<7>	Tinatayang aabot sa 15,000 ang mga sibilyan, tagasuporta at kabahagi ng CPP ang lumahok sa buong-araw na pagtitipon noong Disyembre 26.	it was estimated to reach 15,000 civilians, supporters and part of the CPP participated in the whole day gathering last December 26.
<8>	Kasabay nito ang mga pagdiriwang din sa iba’t ibang bahagi ng Mindanao at buong bansa.	along with it the celebration also in different parts of Mindanao and the entire country.
<9>	Pero sa Paquibato, nagmartsa, sa unang pagkakataon sa publiko, ang buong Pulang Bagani Batallion ng New People’s Army (NPA).	but in Paquibato, the entire Red Bagani Batallion of the New People's Army (NPA) marched, for the first time in public.
<10>	Ang imaheng ipinakita nila, imahen ng isang disiplinado, unipormado, makisig at masayang armadong puwersa ng rebolusyon.	the image they are showed, image of a disciplined, uniformed, well-groomed and happy armed force of the revolution.
<11>	Dumalo ang Pinoy Weekly at PinoyMedia Center sa pagtitipong ito, na nagsimula sa isang formation inspection sa Pulang Bagani Batallion bilang pagpupugay sa CPP.	pinoy weekly and PinoyMedia center attended this gathering, that started with a formation inspection in Red Warrior battalion to show respect to the CPP.
