<1>	Ika-80 kaarawan ni Dr. Bienvenido Lumbera, Guro at Artista ng Bayan, ipagdiriwang	80th birthday of Doctor Bienvenido Lumbera, teacher and artist of the people, celebrated
<2>	by Rommel Rodriguez	by Rommel Rodriguez
<3>	April 13, 2012	April 13, 2012
<4>	Dr. Bienvenido Lumbera, Pambansang Alagad ng Sining sa Panitikan	Doctor Bienvenido Lumbera, National Artist for Literature
<5>	Kilalang manunulat at iskolar ng kultura at panitikan, si Bienvenido Lumbera ay ipinanganak noong Abril 11, 1932 sa Lipa, Batangas.	a renowned writer and scholar of culture and literature, Bienvenido Lumbera was born on April 11, 1932 in Lipa, Batangas.
<6>	Nag-aral sa Unibersidad de Santo Tomas noong 1950 at sa Indiana University noong 1967.	he studied in the University of Santo Tomas in 1950 and in Indiana University in 1967.
<7>	Naging propesor din siya sa Osaka University at University of Hawaii sa Manoa, gayundin din sa iba’t ibang unibersidad sa bansa.	he also became a professor in Osaka University and University of Hawii at Manoa, as well as in different universities in the country.
<8>	Hindi matatawaran ang kontribusyon ni Bien sa larangan ng sining at panitikan.	Bien's contribution in the field of art and literature cannot be discounted.
<9>	Nakapaglimbag na siya ng mga panandang-bato na antolohiya, nakapagsulat ng iba’t ibang dula tulad ng Tales of the Manuvu, Nasa Puso ang Amerika at Hibik at Himagsik nina Victoria Laktaw.	he has published landmark anthologies, written different plays like Tales of the Manuvu, Nasa Puso Ang Amerika and Hibik at Himagsik nina Victoria Laktaw.
<10>	Pinarangalan siya bilang Pambansang Alagad sa Sining at nagkamit na rin ng gawad mula sa Ramon Magsaysay Awards para sa Pamamahayag.	he was awarded as a National Artist and earned recognition from the Ramon Magsaysay Awards for Journalism.
<11>	Sa kabila ng buhay sa sining, hindi nakaligtaan ni Bien ang halaga at ugnayan ng kanyang pagiging iskolar, guro at artista sa lipunan at bayan.	despite a life of art, Bien did not forget the value and connection to society and the country of his being a scholar, teacher, and artist.
<12>	Kinikilala ang kanyang ambag sa larangan ng pagtatayo ng mga organisasyong nagtataguyod ng pambansang demokrasya.	his contribution is recognized in the areas of establishing organizations supporting national democracy.
<13>	Bukod sa pagiging Professor Emeritus sa UP Diliman, siya rin ang Chairman Emeritus ng Concerned Artists of the Philippines at Congress of Teachers/Educators for Nationalism and Democracy.	aside from being a professor emeritus in UP Diliman, he is also chairman emeritus of the Concerned Artists of the Philippines and Congress of Teachers/Educators for Nationalism and Democracy.
<14>	Siya rin ang naging tagapanguna sa pagkakatatag ng Alliance of Concerned Teachers, Philippines na nangangalaga naman sa kagalingan ng mga guro sa Pilipinas.	he became the spearhead of the establishment of the Alliance of Concerned Teachers, Philippines that cares for the welfare of teachers in the Philippines.
