<1>	EYEWITNESS | ‘Nanggaling sa pulis ang mga putok’	EYEWITNESS | 'The shots came from the police'
<2>	by Pinoy Weekly	by Pinoy Weekly
<3>	Dalawang lider Moro ang naging saksi sa masaker sa Kidapawan City.	two Moro leaders bore witness to the massacre in Kidapawan City.
<4>	Basahin ang kuwento nila.	read their story.
<5>	Editor’s Note: Humigit-kumulang 6,000 magsasaka mula sa mga bayan ng Makilala, Mlang, Tulunan, Magpet, Roxas, Antipas, Arakan, at lungsod ng Kidapawan sa North Cotabato ang lumahok sa apat-na-araw na barikada malapit sa warehouse ng National Food Authority o NFA para igiit ang panawagang 15,000 sako ng bigas para sa mga biktima ng tagtuyot dahil sa El Nino.	editor's note: more or less 6,000 farmers from the town of Makilala, Mlang, Tulunan, Magpet, Roxas, Antipas, Arakan, and the city of Kidapawan in North Cotabato participated in the four-day barricade near the warehouse of the National Food Authority or NFA to call for the 15,000 sacks of rice intended for the victims of drought due to El Nino.
<6>	Sa kabila ng pangakong ito ng pamahalaan, tumanggi si Cotabato Gov. Lala Mendoza na ibigay ang kanilang hiling.	despite it being promised by the government, Cotabato Governor Lala Mendoza refused to give in to their request.
<7>	Nag-alok na lang ito ng tatlong kilong bigas sa bawat biktima sa loob ng tatlong buwan.	instead, she offered three kilograms of rice to each victim in the span of three months.
<8>	Siyempre, tinanggihan ito ng mga magsasaka, at ipinagpatuloy ang protesta.	of course, the farmers refused this offer and continued in their protest.
<9>	Kahapon, alas-10 ng umaga, naganap ang pagdispers sa barikada na inilarawan nina Bai Ali at Jerome.	Yesterday, 10 o'clock in the morning, the dispersal of the barricade took place as described by Bai Ali and Jerome.
<10>	Di pa rin kumpleto ang mga detalye, sa pagkakasulat ng artikulong ito.	the details remain incomplete as this article is being written.
<11>	Gayunman, napagtanto ng Anakpawis Party-list na tatlo sa nabalitang limang napaslang ay sina Rotello Daelto ng Brgy. Binoongan, Arakan; Victor Lumandang ng Brgy. Alobayon, Magpet; at Enrico Pabrica ng Kidapawan.	However, the Anakpawis Party-list realized that three of the five who were allegedly killed were Rotello Daelto from the town of Binoongan, Arakan; Victor Lumandang from the town of Alobayon, Magpet; and Enrico Pabrica of Kidapawan.
<12>	Di pa nakikilala ang dalawang babae na napaslang diumano sa naturang insidente.	two females allegedly slain during the incident have yet to be identified.
<13>	Samantala, di-bababa sa 30 katao ang sugatan, kasama si Jerome at Sheena Duazo ng Bayan-SMR.	meanwhile, no less than 30 people were injured, including Jerome and Sheena Duazo of Bayan-SMR.
<14>	Jerome Succor Aba	Jerome Succor Aba
<15>	Suara Bangsamoro	Suara Bangsamoro
<16>	Anim na buwan nang nakararanas ng El Nino at wala pa ring tulong na dumarating sa mga 36,000 indibidwal na apektado nito.	El Nino has been around for six months already and the 36,000 individuals affected by it still have not received any assistance.
<17>	Kaya nagpasya ang mga magsasakang Lumad na magbarikada sa national highway ng Kidapawan City para ipresyur ang gobyerno na ilabas ang calamity fund.	That's why the Lumad farmers decided to barricade the national highway of Kidapawan City in order to pressure the government to release the calamity fund.
<18>	Enero 2016, nagdeklara ang local government ng state of calamity, pero hindi pa nila ni-release ang pondo.	January 2016, the local government declared a state of calamity but did not yet release the fund.
<19>	Kaya iginiit ng mga magsasaka ‘yung 15,000 sacks of rice na ipamahagi na.	thus, the farmers insisted on the distribution of the 15,000 sacks of rice.
<20>	Napakatigas ng provincial government.	the provincial government was adamant.
<21>	Sa nagdaang negotiations, ginigiit natin ang 15,000 sako na i-release nila.	in past negotiations, we insisted they release the 15,000 sacks.
<22>	Pero ang kanilang counter proposal ay three kilos of rice na quarterly.	but their counter proposal was three kilograms of rice quarterly.
<23>	Patuloy nating dinepensahan ang barikada sa presensiya ng pulis at militar.	let us continue to defend the barricade in the presence of the police and the military.
<24>	Ito lang ata ang rali na hinaharapan ng long firearms ang mga nagbabarikada.	this may be the only rally where those barricading were faced with long firearms.
<25>	At hinarapan ng bombero, siyempre.	and the firefighter faced it, of course.
<26>	Sa ngayong araw, pang-apat na araw ng barikada, napatawag si Gov. Lala Mendoza ng mga makikipagnegosasyon.	this day, the fourth day of the barricade, Governor Lala Mendoza called for negotiators.
<27>	Tanghali, may negotiation.	By noon, there was a negotiation.
<28>	Pagkatapos nito, magpapatawag dapat kami ng presscon.	after this, we were supposed to call for a press conference.
<29>	Hindi natuloy ang aming presscon dahil biglang dumating si Mayor Joseph Evangelista ng Kidapawan City at Col. Alex Tagum, ang senior superintendent ng Philippine National Police (PNP) dito sa probinsiya, sa barikada.	Our press conference got called off because of the sudden arrival of Mayor Joseph Evangelista of Kidapawan City and Colonel Alex Tagum, Senior Superintendent of the Philippine National Police (PNP) here in the province, in the barricade.
<30>	At may kasama silang barangay chairman na mayroong pinapapirmahan sa atin na nakasulat doon na tanggalin ang barikada.	they were accompanied by a barangay chairman who asked us to sign a document stating that the barricade be removed.
<31>	Sobrang nakakaabala na raw ang barikada.	they said the barricade was causing a great inconvenience.
<32>	“Sir, hinahantay po namin yung negotiations kay Gov. Lala,” sabi namin.	"sir, we are waiting for the negotiations with Governor Lala," we said.
<33>	Pero sagot ni Col. Tagum: “Walang nego-negotiations.	but Colonel Tagum answered, "there are no negotiations.
<34>	Tapos na ang negotiation.”	the negotiation is finished."
<35>	Kaya nagkomand siya na sabi niya, “Men, ready. Tulak!”	that's why he commanded, "Men, ready. Push!"
<36>	Tinulak nila.	they pushed.
<37>	Dinepensahan natin ang hanay natin sa pagbatuta ng mga pulis.	we defended our line from the striking of the policemen.
<38>	Hindi talaga nabuwag ang hanay dahil napakaliit ng pulisya.	the line really did not break because there were very few policemen.
<39>	Nasa 200 ‘yun laban sa 6,000 na mga nagbabarikada.	it was 200 against 6,000 protestors.
<40>	Kaya ang last resort nila, mag-open fire.	that's why their last resort was to open fire.
<41>	Pinagbabaril ang mga magsasaka.	the farmers were shot.
