<1>	Hasmine, medyo nalerky sa MAITIM na UTONG By ALLAN DIO­­NES	Hasmine, went slightly gaga over dark nipples by Allan Diones
<2>	September 6, 2016	September 6, 2016
<3>	NASA Italy na ang grupo ng indie film na Pamilya Ordinaryo para dumalo sa 73rd Venice International Film Festival (August 31-September 10).	the group of the indie film Pamilya Ordinaryo is already in Italy to attend the 73rd Venice International Film Festival (August 31 - September 10).
<4>	Kasali ang nasabing pelikula sa 11 films na magkakatunggali sa 13th edition ng Venice Days section ng nasabing pestibal.	the said film is included in the 11 films vying for the 13th edition of the Venice Days section of the said festival.
<5>	Nauna na sa Venice­ ang bidang lalaki ng pelikula na si Ronwaldo­ Martin, direktor na si Eduardo Roy, Jr. at producer na si Ferdinand Lapuz.	the male star of the film Ronwaldo Martin, director Eduardo Roy, Junior and producer Ferdinand Lapuz already went ahead to Venice.
<6>	Susunod sa kanila ang female lead ng movie at tinanghal na Best Actress sa 2016 Cinemalaya filmfest na si Hasmine Killip na manggagaling ng London kung saan ito nakatira.	following them is the female lead of the movie and honored as best actress in the 2016 Cinemalaya Film festival Hasmine Killip who will come from London where she lives.
<7>	Ang sabi sa amin ni Hasmine ay September 8 ang dating niya ng Venice at sa araw na ‘yon din ang rampa nila sa red carpet.	Hasmine told us that she will arrive in Venice on September 8 and their walk on the red carpet is on the very same day.
<8>	Ready na ang kabogerang white gown na isusuot ni Hasmine na gawa ni John Herrera.	the smashing white gown made by John Herrera that Hasmine will wear is ready.
<9>	Nude ang effect ng gown na mas litaw ang likod kesa ang harapan, tapos ay super-haba ang slit sa tagiliran kaya ila­labas niya ang kanyang legs.	the gown's effect is nude wherein the back is more visible than the front, and the slit on the side is super-long so her legs will be revealed.
<10>	In fairness ay tago ang mga UTONG ni Hasmine, na medyo ikinalerky niya nang may mag-comment na ­MAITIM pala ang utong niya after mapanood ang Pamilya Ordinaryo.	in fairness Hasmine's nipples are hidden, which she went gaga about when someone commented that her nipples are dark after watching Ordinary Family.
<11>	May breast exposure kasi sa pelikula ang baguhang aktres nang pilitin ang karakter niyang si Jane ng isang manyak na pulis na ipakita ang kanyang mga suso.	the newbie actress has breast exposure in the movie when her character Jane was forced by a pervert police officer to show her breasts.
<12>	“Mag-assume ka pa ba ng malinis na utong, eh hindi nga naliligo (si Jane)?	"will you assume a clean nipple, when she (Jane) does not even bathe?
<13>	Ano iniisip n’yo, pink na kulay?	what are you thinking, the color pink?
<14>	Kaloka!!”	it's crazy!"
<15>	ang natatawang reaksyon ni Hasmine sa nagsabing maitim ang nipples niya.	was the funny reaction of Hasmine to the one who said her nipples are dark.
<16>	Sa eksenang ‘yon ay namimintog at nagla-lactate pa ang mga suso ni Jane dahil ilang linggo pa lang nitong ipinapa­nganak si Baby Arjan na ninakaw ng isang baby snatcher.	in that scene Jane's breasts are ripe and lactating because she gave birth only a few weeks before to Baby Arjan who was stolen by a baby snatcher.
<17>	Prosthetics ‘yon at hindi niya tunay na nipples.	those were prosthetics and not real nipples.
<18>	“Baka ‘pag pinakita ko tunay na utong ko, magulat kayo!	"maybe if you see my real nipples, you will be surprised!
<19>	Colorful!	colorful!
<20>	Ha!	ha!
<21>	Ha!	ha!
<22>	Ha!”	ha!"
<23>	tawa ng 21-anyos­ na showbiz newbie na kasal sa isang Briton.	laughed the 21-year-old show business newbie married to a British.
<24>	“Ano ba kasi kulay ng utong mo, bakla?”	"what is really the color of your nipple, you gay?"
<25>	tanong ng isang kaibigan ni Hasmine, na sinagot niya ng, “Color pink ang totoo, ang peke itim!	asked a friend of Hasmine, which she answered with, "the real one is color pink, the fake black!
<26>	Ha!	ha!
<27>	Ha!	ha!
<28>	Ha!”	ha!"
<29>	Hirit niya pa sa amin, “Wala naman akong anak, bakit magiging itim ang utong ko?”	she even said to us, "I do not have children, why will my nipple be black?"
<30>	PAK na PAK ang Usapang UTONG!	nipple discussion is a hit!
<31>	Approved without cuts nang ipalabas sa mga sinehan ang nanalong Best Film sa Cinemalaya 2016.	the winner of best film at Cinemalaya 2016 was approved without cuts when screened in theaters.
<32>	Showing pa rin ang Pamilya Ordinaryo, na in fairness ay may mga nanonood kaya hindi ito natsugi sa mga sinehan.	Pamilya Ordinaryo is still showing, which in fairness has viewers so it was not axed from cinemas.
<33>	Sana ay magwagi rin ang pelikula sa Venice filmfest.	hopefully the film will also win in the Venice film festival.
<34>	Walang awards for performances ang Venice Days, ang Best Film lang ang binibigyan ng tropeo na may kasamang cash prize na 20,000 Euros.	performances are not awarded in Venice Days, only the best film is given a trophy together with a cash prize of 20,000 euros.
