<1>	Sa ngalan ng kaligtasan	in the name of safety
<2>	(Unang nalimbag ang akdang ito sa isyu 3 ng Philippine Collegian noong 27 Hunyo 2012.)	(this article was first published in issue 3 of the Philippine Collegian on 27 June 2012)
<3>	ni Anne Vitug	by Anne Vitug
<4>	Sakay ang sariling motorsiklo, iniikot ni Lawrence Mappala ang National Science Complex bilang bahagi ng pang-araw-araw niyang duty.	riding his own motorcycle, Lawrence Mappala goes around the National Science Complex as part of his daily duty.
<5>	“Ako na ang nagpapagasolina sa motorsiklo ko para magamit sa pagronda. Sa kakulangan ng kagamitan para sa amin sa SSB, minsan kailangan naming magsakripisyo para lang magawa namin nang maayos ang mga trabaho namin.”	"I am the one paying for the gasoline of my motorcycle to be used in making rounds. with the lack of equipment for us in the SSB, sometimes we need to make sacrifices so that we can do our jobs properly."
<6>	| Chris Martin Imperial	| Chris Martin Imperial
<7>	Araw-araw silang nakikipagbuno sa init ng araw, sa puyat, at higit sa lahat, sa banta ng dahas at panganib.	every day they wrestle with the heat of the sun, with lack of sleep, and most of all, with the threat of violence and danger.
<8>	Naroon sila kahit saan, sinisigurong maayos ang takbo ng seguridad sa loob ng unibersidad.	they are everywhere, ensuring security properly operates inside the university.
<9>	Hindi sila security guards, hindi rin naman pulis.	they are not security guards, and also not the police.
<10>	Hindi man sila gaanong kilala ng lahat dahil sa kanilang bihis sibilyan, patuloy pa rin nilang sinisiguro ang seguridad ng mga estudyante at empleyado ng UP.	they may not be that well-known by everyone because of their civilian attire, yet they continue to ensure the safety of the students and employees of UP.
<11>	Ang tagapagtanggol	the defenders
<12>	Binuo ang Special Services Brigade (SSB) noong 2005 bilang katuwang ng mga pulis at security guards sa pagpapaigting ng seguridad sa UP.	the Special Services Brigade (SSB) was created in 2005 as partners of the police and security guards in improving safety in UP.
<13>	Isa sa mga pinakaunang naging miyembro nito si Manong Lawrence Mappala, 45 anyos.	one of its first members is Manong Lawrence Mappala, 45 years old.
<14>	Sa loob ng pitong taon sa serbisyo, ginugugol niya ang bawat araw sa walang kapagurang pag-iikot sa iba’t ibang lugar sa unibersidad. Palagi siyang handa sa tawag ng serbisyo, araw man o gabi. Ito ang dahilan kung bakit itinuturing siya ng kanyang mga kasamahan bilang isa sa pinakamaasahang miyembro ng SSB.	in his seven years of service, he spends each day restlessly making rounds in different parts of the university. he is always prepared for the call of service, day or night. this is the reason why his coworkers consider him as one of the most reliable members of the SSB.
<15>	Mula sa Aurora, Isabela si Manong Lawrence ngunit lumaki siya sa Quezon City.	Manong Lawrence is from Aurora, Isabela but he grew up in Quezon City.
<16>	Bata pa lamang siya, pangarap na niyang maging sundalo ngunit naudlot ito nang mapatay ng isang holdaper ang kanyang ama na siyang tanging naghahanapbuhay noon sa kanilang pamilya.	even when he was a child, he dreamed of becoming a soldier but this was cut short when his father who was the sole breadwinner for their family back then was killed by a thief.
<17>	Hayskul pa lamang ay natuto nang magbanat ng buto si Manong Lawrence bilang construction worker kapag may libreng oras. Dahil dito, at dahil na rin sa matiyagang paglalabandera ng kanyang ina, nagtapos siya bilang General Radio Operator sa Samson College.	even during high school Manong Lawrence learned to work as a construction worker if he has free time. because of this, and also because his mother diligently did the laundry of others, he graduated as a general radio operator in Samson College.
<18>	Bago maglingkod bilang SSB sa unibersidad, naging intelligence officer si Mang Lawrence sa Economic Investigation and Intelligence Bureau, isang ahensya ng gobyerno na nabuwag noong 2000.	before serving as SSB in the university, Mang Lawrence became an intelligent officer in the Economic Investigation and Intelligence Bureau, a government agency that was abolished in 2000.
<19>	Nagtapos ang operasyon ng ahensya nang may makaalitan silang malalaking pangalan sa mundo ng pulitika na nasangkot sa nasabat nilang ilegal na kargamento.	the operations of the agency stopped when they went against big personalities in the world of politics involved when they confiscated some illegal cargo.
<20>	Nakaranas si Manong Lawrence at higit sa isang libong empleyado ng paninikil at pananakot mula sa mga pulitiko hanggang sa tuluyan na ngang mabuwag ang ahensiya.	Manong Lawrence and more than one thousand employees experienced pressure and threats from politicians until the agency was eventually dissolved.
<21>	Ilang buwan din siyang nahirapan makahanap ng trabaho na makatutugon sa pangangailangan ng kanyang pamilya.	for a few months he experienced difficulty finding a job that can answer to the needs of his family.
<22>	Sa bandang huli ay muli siyang naglingkod bilang barangay tanod sa Pook Dagohoy sa loob ng unibersidad.	at the end he again served as a barangay sentry in Pook Dagohoy inside the university.
<23>	Ayon sa kanya, higit pa sa pangangailangang pinansiyal, nakatulong ang mga karanasan niya sa trabaho sa pagganap sa kanyang tungkulin bilang SSB.	according to him, more than the financial needs, his experience from work helps him fulfill his role as SSB.
<24>	Sa kabila ng hirap at panganib na hatid ng kanyang trabaho, para kay Manong Lawrence, isang pribilehiyo ang maging SSB.	despite the difficulty and danger his job brings, for Manong Lawrence, being an SSB is a privilege.
<25>	Sa sweldong P481kada araw at sa tulong na rin ng asawang librarian sa UP College of Law ay natutugunan naman umano ang pangangailangan ng kanilang pamilya.	with a salary of P481 per day and help from his wife who is a librarian in the UP College of Law they can answer to the needs of their family.
<26>	Katulad ng maraming magulang, pangarap ni Manong Lawrence na sa UP makapag-aral ang kanyang tatlong anak na lalaki.	like many parents, it is Manong Lawrence's dream for his three sons to study in UP.
<27>	Sinubukang tuparin ng kanyang panganay ang pangarap na ito ngunit hindi siya pumasa sa UPCAT.	his first child tried to achieve this dream but he did not pass the UPCAT.
<28>	Sa kabila nito ay hindi siya nawalan ng loob at ngayon ay malapit nang magtapos ng kursong Criminology sa Republican College.	despite this he did not lose confidence and is now close to finishing the course Criminology in Republican College.
<29>	Patuloy naman na naghahangad si Manong Lawrence na maging matagumpay ang mga anak niya sa anumang larangang mapili nila.	Manong Lawrence continues to wish for his children to succeed in whatever field they choose.
<30>	Maraming tungkuling ginagampanan si Manong Lawrence bilang SSB.	Manong Lawrence fulfills many roles as SSB.
<31>	Sa kanyang trabaho, nakakatulong siya sa pagtitiyak ng kaayusan at seguridad ng pamantasan.	in his job, he helps ensure the order and safety of the university.
<32>	Takbo ng trabaho	operation of work
<33>	Hindi tulad ng mga pulis at security guard, walang uniporme ang mga SSB.	unlike the police and security guards, the SSB do not have uniforms.
<34>	Matagal na rin silang hindi gumagamit ng kahit anong armas gaya ng batuta.	they also have not used any weapon like the baton for a long time.
<35>	Tanging liksi ng katawan at talas ng isip ang armas ni Manong Lawrence at ng 51 na iba pang miyembro ng SSB upang matupad ang kanilang mga tungkulin.	only the agility of the body and sharpness of the mind are the weapons of Manong Lawrence and 51 other members of the SSB in fulfilling their responsibilities.
