<1>	Pinabayaang mga biktima ng bagyo	abandoned typhoon victims
<2>	Pagkatapos ng isang panayam kaugnay sa proyektong tulong pangkabuhayan sa mga magsasaka sa Surigao del Sur, sumama na ako sa pangkat ng CBHP (Community Based Health Program) na nagbalik-dalaw sa ilang lugar na sinalanta ng bagyong Pablo sa Surigao del Sur at Davao Oriental.	after an interview about the livelihood assistance project for farmers in Surigao del Sur, I joined the team of CBHP (Community Based Health Program) in revisiting some areas devastated by typhoon Pablo in Surigao del Sur and Davao Oriental.
<3>	Umalis kami sa Tandag ng ala-una ng madaling araw at narating namin ang unang baryo na sinisilbihan ng CBHP nang bandang alas-8 ng umaga.	we left Tandag at one o'clock in the morning and arrived at the first village served by CBHP at around 8 o'clock.
<4>	Bagama’t nakita ko na sa telebisyon ang mga imahen ng pinsalang dulot ng bagyo, matindi pa rin ang aking gulat-hinagpis nang mapaloob ako mismo sa tunay na eksena ng mga wasak na kabahayan at mga pananim.	although I have seen images of the damage caused by the typhoon on television, I was still shocked as I myself faced the scene of destroyed homes and crops.
<5>	Mabilis na sumagitsit sa aking isipan ang mga nakakapangilabot na larawan ng Hiroshima, Vietnam, at Iraq matapos ang pambobomba ng Amerika.	immediately, dreadful images of Hiroshima, Vietnam, and Iraq after being bombed by America entered my mind.
<6>	Sa sandaling iyon, lubusan kong naramdaman ang malubhang pinsala ng bagyong Pablo, hindi lamang sa mga tirahan, kabuhayan, kapaligiran, at kalusugan ng mga tao kundi pati na rin ang malubhang epekto ng pagbabago sa klima, kasakiman ng malalaking negosyo (pagmimina, plantasyon ng saging, atbp) at ng kapabayaan ng gobyerno.	in that moment, I deeply felt not only the immense damage brought about by typhoon Pablo on the houses, livelihood, surroundings, and well-being of the people, but the serious effects of climate change, corporate greed (mining, banana plantation, et cetera), and government neglect as well.
<7>	Sa nagngangalit kong kalooban, hindi ko na alintana ang pamamanhid ng aking mga paa sa mahigit tatlong oras na pagkasalpak sa likod ng motorsiklong kung tawagin ay “habal-habal.”	in my anger, I didn't even care about the numbing of my feet from more than three hours of riding on the back of a motorcycle called "habal-habal."
<8>	Apat kaming sakay nito at nakaipit ako sa likuran ng drayber.	there were four of us riding on it and I was squeezed behind the driver.
<9>	Marami sa mga biktima ang malayo sa sentro ng barangay at kabayanan at hindi naaabutan ng tulong ng gobyerno, media at mga karaniwang organisasyong sibiko.	many of the victims lived far away from the heart of the village and the city, and could not access government assistance, media, and civic organizations.
<10>	Ang mga lugar na ito ang pangunahing binibigyang pansin ng CBHP at ng mga kaalyado nitong mga samahan, kabilang na ang kilusang magbubukid sa rehiyon.	these areas were prioritized by the CBHP and its allies, including the farmer movement in the region.
<11>	Pinuntahan na rin namin ang isa sa mga pinakamatinding apektado ng bagyo sa Davao Oriental, ang bayan ng Cateel, na katabi ng mga apektadong lugar sa Surigao del Sur.	we also went to one of the areas most affected by the typhoon in Davao Oriental, the town of Cateel, which is situated right next to the affected areas in Surigao del Sur.
<12>	Grabe talaga ang pinsala, parang binagsakan ng bomba atomika talaga!	The damage was so great, it really seemed an atomic bomb had been dropped on the area!
<13>	Wasak na wasak ang halos lahat ang mga istruktura at mga halaman, lalo na ang mga niyog.	all the buildings and plants were utterly destroyed, especially the coconut trees.
