<1>	Panalo na si Pacquiao!	Pacquiao has won!
<2>	Posted by: hataw tabloid	posted by: hataw tabloid
<3>	on April 24, 2015	on April 24, 2015
<4>	in Sports	in sports
<5>	WALONG araw pa bago umakyat ng ring si Manny Pacquiao sa Mayo 3 laban kay Floyd Mayweather ngunit na-knockout na ng People’s Champ ang kanyang kalaban sa isang mahalagang aspeto ng mega-fight: sa mga commercial endorsement.	eight days before Manny Pacquiao climbs the ring in May 3 against Floyd Mayweather but the People's Champ has already knocked out his opponent in one of important aspects of this mega-fight: in commercial endorsements.
<6>	Sa kabila ng pagiging Amerikano ni Mayweather, si Pacquiao ang boxing superstar na umaani ng sunod-sunod na mga endorsement, kaliwa’t kanan, sa Estados Unidos.	in spite of Mayweather being an American, Pacquiao is the boxing superstar that gains continuous endorsements, left and right, in United States.
<7>	Sa nakalipas na anim na buwan, nagawang lumagda ng kontrata si Pacman sa ilang malalaking kompanya, kabilang ang Nike at Nestle, na magbibigay sa kanyang ng US$5 milyon, ayon sa ulat ni Kurt Badenhausen ng Forbes Magazine.	in the past six months, Pacman managed to sign contracts with some big companies, including nike and nestle, that gave him US$5 million, based in the report by Kurt Badenhausen of Forbes magazine.
<8>	Batay din sa nasabing report, wala pang kinikita si Mayweather sa alin mang endorsement.	based also on the said report, Mayweather hasn't profited yet in any endorsement.
<9>	Plano pa rin umano ng mga American snack brand na Butterfinger at Wonder Pistachio na magsagawa ng malalawak na advertsing campaign gamit ang People’s Champ.	American snack brands like Butterfinger and Wonder Pistachio allegedly plans to execute a broad advertising campaign with the People's Champ.
<10>	Kaugnay nito, malapit nang ilunsad ng Nike ang bagong linya ng Pacquiao apparel.	related to this, Nike is soon to launch the new line in the Pacquiao apparel.
<11>	“Magiging available ito exclusively sa Foot Locker, Nike.	"this will be exclusively available in foot locker, nike.
<12>	com at mga tindahan ng Nike sa West Coast, na matatagpuan ang pinakamalaking fan base ni Pacquiao sa US.	com and nike stores in the West Coast, where the biggest fan base of Pacquiao in the US could be found.
<13>	Palolobohin ng mga royalty sa damit at mga sponsor deal sa Filipinas ang 12-buwan endorsement income ni Pacquiao nang mahigit US$5 milyon,” ani Badenhausen.	the royalties in clothing and sponsor deals in the Philippines will inflate the 12-month endorsement income of Pacquiao to almost US$5 million," Badenhausen said.
<14>	“Maraming kompanya ang nag-aala-ngan sa boxing, pero talagang mahal nila si Manny Pacquiao,” wika naman ni Lucia McKelvey ng Top Rank, ang point person para sa pagmemerkado kay Pacquiao sa US.	"many companies are doubting boxing, but they really love Manny Pacquiao," Lucia McKelvey of top rank said, the point person for merchandising Pacquiao in the US.
<15>	Samantala, sa kampo ni Mayweather ay hindi nababahala sa lumalaking marketing money ng Pambansang Kamao.	meanwhile, Mayweather's camp is not worried about the growing marketing money of "Pambansang Kamao".
<16>	“Para itong ‘badge of courage’ kay Mayweather na wala siyang mga endorsement.	"this is like a 'badge of courage' for Mayweather that he has no endorsements.
<17>	Dahil dito ay hindi siya kailangang mangilin sa alin mang kompanya, at ang sabi ni Mayweather, mas gusto niyang makuha ang kapiraso sa aksyon kaysa alin mang deal na siya ang involved,” dagdag ni Badenhausen.	because of this he does not need to abstain to any company, and Mayweather said, he would like to get a piece of the action than any other deal that he is involved," Banhausen added.
<18>	May dala rin bagahe ang American champion mula sa multiple domestic violence charges, at maging ang tatlong-buwan pagkakabilanggo noong 2012 sa plea deal ng kasong battery at harassment na isinampa laban sa kanya.	the American champion also carries baggage from multiple domestic violence charges, and even the three-month imprisonment last 2012 in plea deal of the batter case and harassment that was charged against him.
<19>	“Siya ang highest-paid athlete sa buong mundo sa pagitan ng Hunyo 2013 at Hunyo 2014 sa kanyang kinitang US$105 milyon, pero wala kahit isang kusing na nagmula sa endorsements,” pagtatapos ni Badenhausen.	"he is the highest-paid athlete in the whole world between June 2013 and June 2014 with his earnings of US$105 million, but not a cent from endorsements," Badenhausen ended.
