<1>	AlDub, ikakasal bukas sa SIMBAHAN sa QCMaine, may bridal shower ngayon! By Allan Diones	AlDub, to be wed tomorrow in a church in QC Maine, has a bridal shower today! by Allan Diones
<2>	October 21, 2016	October 21, 2016
<3>	BUKAS na ang ina­abangang kasal nina Alden Richards at Maine Mendoza sa Kalyeserye ng Eat Bulaga.	tomorrow is the anticipated wedding of Alden Richards and Maine Mendoza in Kalyeserye of Eat Bulaga.
<4>	Sa isang simbahan sa Quezon City magaganap ang much-awaited wedding ng AlDub/MaiDen, na hindi namin babanggitin kung saan dahil baka dumugin at mahirapan silang kontrolin ang crowd.	the much-awaited wedding of AlDub/Maiden will take place in a church in Quezon City, which we will no longer say where because it might get mobbed and they might find it difficult to control the crowd.
<5>	Tutukan n’yo na lang ang Eat Bulaga bukas, ­simula 11:30 AM para sa sinasabing biggest ­wedding on live television.	just watch Eat Bulaga tomorrow, starting 11:30 AM for what is said to be the biggest wedding on live television.
<6>	Kahapon ay sinabi ni Maine na Rosa Clara ang wedding gown na isusuot niya at sinamahan siya ng stylist niyang si Liz Uy para pumili ng gusto niyang dress.	yesterday Maine said she will wear a Rosa Clara wedding gown and her stylist Liz Uy accompanied her in choosing the dress she wants.
<7>	Binanggit din ni Meng kay Lola Nidora (Wally Bayola) na si Jason Magbanua ang kanilang wedding videographer.	Meng also mentioned to Lola Nidora (Wally Bayola) that Jason Magbanua is their wedding videographer.
<8>	“Wow, bigatin!!”	"wow, big-time!"
<9>	ang reaksyon dito ni Vic Sotto.	was Vic Sotto's reaction to this.
<10>	Si Jason ang most in demand wedding video­grapher at ito ang paboritong kunin ng maraming ­celebrities.	Jason is the most in-demand wedding videographer and many celebrities prefer to hire him.
<11>	Mala-short film kung tumirada ng wedding ­video si Magbanua at ang alam namin ay napakahirap niyang i-book.	Magbanua takes wedding videos like a short film and we know that he is very difficult to book.
<12>	Sa isang video message na pinakita ni Meng ay sinabi ni Jason na ‘epic’ at ‘off the charts’ ang magaganap na AlDub wedding kaya pumayag siya agad nang kunin ang serbisyo niya.	in a video message shown by Meng Jason said that the AlDub wedding that will take place is 'epic' and 'off the charts' so he agreed at once when his service was hired.
<13>	Ipapakita niya sa kanyang video coverage kung gaano ka-grand ang nasabing kasalan na 600 ang invited guests.	he showed in his video coverage how grand the said wedding is with 600 invited guests.
<14>	Ang dinig namin ay ang in demand din sa showbiz weddings na si Badang Rueda ang kinuhang florist.	we also heard that Badang Rueda who is in-demand in showbiz weddings is the hired florist.
<15>	Pupunuin daw ng white flowers ang kahabaan ng aisle ng simbahan.	supposedly the whole aisle of the church will be filled with white flowers.
<16>	Piling-pili ang mga imbitado sa kasal.	the wedding guests are very limited.
<17>	Kasama sa mga inimbitahan ang malalapit na fans nina Alden at Maine para maging bahagi rin sila ng momentous event.	included in those invited are the close fans of Alden and Maine so they can also be part of the momentous event.
<18>	May nakapagsabi sa amin na ang laki ng budget ng Alden-Maine wedding.	someone was able to tell us that the budget of the Alden-Maine wedding is huge.
<19>	Kahit pang-Kalyeserye lang ito ay parang pang-real life wedding ang gastos dito.	even if it is just for Kalyeserye its expenses are that of a real-life wedding.
<20>	Dayalog pa ni Menggay kahapon kay Lola Nidora, ilang tulog na lang ay magsasama na sila habambuhay ni Alden.	Menggay even said to Lola Nidora yesterday, just a few nights more and she and Alden will be together forever.
<21>	Ang groom-to-be ay ngayong gabi ang ­balik mula sa maiksing bakasyon sa Japan kasama ng tropa nito sa Sunday ­PINASaya.	the groom-to-be will return tonight from a short vacation in Japan together with his friends from Sunday -PINASaya.
<22>	Nag-Wizarding World of Harry Potter ang ­Potterhead na si Tisoy sa Universal Studios sa Osaka, Japan.	the Potterhead mestizo went to the Wizarding World of Harry Potter in Universal Studios in Osaka, Japan.
<23>	Ang sabi ng ibang AlDub fans, okey lang na nawala si Alden for a few days dahil hindi dapat magkita ang ikakasal.	some AlDub fans said, it is okay for Alden to be missing for a few days because the groom and bride should not see each other.
<24>	Doon na sila dapat magkita sa wedding ceremony.	they should just see each other in the wedding ceremony.
<25>	Tila feel na feel ng AlDub Nation na totohanang kasalan ang magaganap.	it seems like the AlDub Nation feels that the wedding that will take place is real.
<26>	Ngayon ang bridal shower ni Meng sa Eat Bulaga.	today is Meng's bridal shower in Eat Bulaga.
