<1>	CHALLENGE ACCEPTED	challenge accepted
<2>	ANG buhay ng tao ay punom-puno ng mga pagsubok na humahamon at sumusubok sa ating lakas at tatag.	the life of a person is full of trials which are testing and challenging our strength and firmness.
<3>	Sa marami-rami na ring bansa na aking napuntahan, iba’t ibang tao na ang aking nakilala at nakasalamuha.	I have met and interacted with different kinds of people in quite a lot of countries that I have been to.
<4>	Magmula sa mga CEO, COO, doctor, abogado, teacher hanggang sa mga simpleng empleyado ay aking nakapanayam at nakasama, at sa istorya ng kanilang mga buhay at tagumpay ay hindi nawawala ang mga problema at pagsubok na dumarating, tunay ngang tila parte na ng buhay ng tao ang mga ito.	I have interviewed and mingled with CEO, COO, doctor, lawyer, teacher to simple employees, and in the stories of their lives and successes, the arrival of problems and challenges cannot be missing, these seem to be part of the life of a person.
<5>	Subalit sabi nga ng linya sa isang kanta – “ mga pagsubok lamang ‘yan, ‘wag mong isuko ang laban.”	but as the line of the song tells - "those are just challenges, do not surrender the fight."
<6>	Sa Macau ay isang Filipinang domestic helper ang aking nakilala.	I have met a Filipina domestic helper in Macau.
<7>	Siya si Nanay Josie at ibinahagi niya sa akin ang istorya ng patuloy na pakikibaka niya sa mga hamon ng buhay.	she is Mother Josie and she shared to me the story of her continuing struggle in the challenges of life.
<8>	Tubong Mabatan, Abucay sa Bataan si Nanay Josie, masaya at maginhawa ang kanyang buhay kasama ang kanyang tatlong anak.	Mother Joise is raised in Mabatan, Abucay in Bataan, her life is happy and prosperous with her three children.
<9>	Mayroon siyang katulong at hindi niya gasinong problema ang mga gastusin upang matustusan ang pag-aaral ng kanyang mga anak na noon ay nagsisipag-aral pa, sapagkat ang kanyang asawa ay may magandang trabaho sa bansang Saudi Arabia.	she had a helper and it was not much of problem to provide for the expenses of education of her children who were still studying, because her husband had a good job in Saudi Arabia.
<10>	Aniya ay kontento na siya sa kanilang masaya at tila perpektong buhay kaya hindi niya inasahan ang isang malaking hamon na sa kanya ay susubok- nagkahiwalay sila ng asawang nasa Saudi.	for her, she was contented with their happy and seemingly perfect life so she had not expected that a huge challenge would test her - she separated from her husband who was in Saudi.
<11>	Tila gumuho noon ang mundo ni Josie at dahil sa matinding kalungkutan at pighati dahil sa nangyari ay nagdesisyon siyang mangibang bansa upang kahit papaano ay mabawasan ang lungkot na kanyang dinaranas at upang kumita ng salapi para sa gastusin ng kanilang pamilya.	seemed that Josie's world crumbled then and because of too much sadness and grief due to what happened, she decided to go abroad so that somehow the sadness that she was experiencing will be lessened and to earn money to be spent for their family.
<12>	Dinala siya ng kapalaran sa bansang Macau, na noon ay hindi pa gaanong maunlad kung ikukumpara sa kasalukuyan nitong estado.	she was brought by fate in the country Macau, which was not so progressive before compared to its current state.
<13>	Halos isang buwan din siyang walang trabaho noong unang buwan niya roon, kaya’t iba’t ibang trabaho ang kanyang pinasok gaya ng pagtitinda ng mga pagkain at pagma-manicure, upang kahit papaano ay matustusan niya ang kanyang mga pangangailangan doon.	on the months that she was there, she did not have work for almost a month, so she entered various jobs such as selling food and giving manicure so that somehow she could provide for her needs there.
<14>	Patuloy lamang na tinanggap at hinarap ni Nanay Josie ang bawat hamon na dumarating at nagtatangkang igupo siya.	Mother Josie continues to accept and face each challenge coming and attempting to take her down.
<15>	Hanggang sa makapagtrabaho siya bilang isang domestic helper, kung saan ay natulungan siya ng kanyang boss na isang Portuguese, upang magkaroon ng blue card at maging ligal ang pananatili niya sa Macau.	until she was able to work as a domestic helper where she was helped by her Portuguese boss to acquire a blue card and make her stay in Macau legally.
<16>	Aminado si Nanay Josie na mahirap man ang naging adjustment para sa kanya sapagkat ang dating magandang buhay sa Pilipinas ay nauwi sa pagiging isang katulong sa Macau ay nagpapasalamat pa rin siya sa Maykapal sapagkat binigyan siya nito ng katatagan at lakas ng loob upang harapin ang mga pagsubok na naging daan upang higit niyang makilala ang kanyang sarili at matuklasan ang iba pa niyang kakayahan at potensyal.	Nanay Josie admitted that the adjustment for her was difficult because of her previous good life in the Philippines which ended up as a maid in Macau, but she was still grateful to God because she was given with firmness and internal strength to face the challenge she was going through so she could know herself better and discover her other abilities and potential.
<17>	PASAPORTE/JR Langit	passport/ Junior Langit
