<1>	Freedom	Freedom
<2>	by Maria Concepcion Montajes	by Maria Concepcion Montajes
<3>	March 14, 2012	March 14, 2012
<4>	Hindi ko alam kung paano uumpisahan ang kwento ng aking anak na si Freedom.	I don't know how to start the story of my child, Freedom.
<5>	Siya si Maricon Montajes.	she is Maricon Montajes.
<6>	Si Freedom ngayon ay isang bilanggong pulitikal sa Batangas Provincial Jail.	Freedom is now a political prisoner in Batangas Provincial Jail.
<7>	Ang aming mag-anak ay mula sa siyudad ng Dabaw, sa Silangang Mindanao.	our relatives are from the city of Davao, in Southern Mindanao.
<8>	Ang alam ko lang, ipinanganak ko siya noong Pebrero 25.	all I know is, she was born in February 25.
<9>	Makabuluhan ang petsang ito para sa marami sa atin na sinupil, sinikil at nawalan ng laya’t mga mahal sa buhay sa panahon ng diktadura.	this date is significant for many of us who were terrorized, who were oppressed and who lost their freedom and loved ones during the time of dictatorial.
<10>	Noong Pebrero 25, nagtapos ang madilim na yugtong iyon sa ating kasaysayan.	on February 25, that dark chapter of history ended.
<11>	Kaya nga ang naging palayaw ni Maricon ay Freedom.	hence, Maricon's nickname is Freedom.
<12>	Hindi niya masyadong mabigkas nang mabuti ang “f” sa “freedom” kaya nang lumaon ay tinawag siyang “Eedom” ng karamihan.	she can't properly pronounce the "f" in "freedom", hence, as time passed, she was called "Eedom" by most.
<13>	Minsan nabasa ko sa blog niya na hindi niya pala masyadong gusto itong palayaw niya.	some time, I read in her blog that she doesn't like this nickname that much.
<14>	Pero panahon na rin lang ang naging dahilan at naintindhan na niya ang ibig sabihin ng palayaw na ito.	but it's only time that she finally understood the meaning of the nickname.
<15>	Estudyante si Eedom at kumukuha ng kurso sa Pelikula sa UP Diliman.	Eedom is a student taking up a course of Film in UP Diliman.
<16>	Hunyo 3, 2010: Inaresto siya bahay ng isang magsasaka sa Taysan, Batangas kasama ang mga kabataang sina Ronilo Baes and Romiel Canete.	June 3, 2010: she was arrested in the house of one farmer in Taysan, Batangas, along with teenagers, Ronilo Baes and Romiel Canete.
<17>	Sinampahan sila ng mga kriminal na kaso.	a criminal case was filed against them.
<18>	Isa si Freedom sa pinakabatang bilanggong pulitikal sa bansa.	Freedom is one of the youngest political prison of the country.
<19>	Dalawang beses na kaming nagdiwang ng kaarawan ni Freedom sa loob ng bilangguan.	we celebrated Freedom's birthday in prison twice already.
<20>	Kaya ang Freedom, hindi ko na makita, at minsan, hindi ko na alam ang kahulugan.	Freedom, I can't see it anymore, sometimes, I don't even know what it means.
<21>	Kasunod ng kaarawan niya ang iskedyul ng hearing sa korte nitong Pebrero 29.	after her birthday is her schedule of hearing in court this February 29.
<22>	Halos isa’t kalahating taon na sa piitan sina Eedom nang sa wakas ay matuloy ang pre-trial ng kaso nila noong Nobyembre.	it's been almost a year and a half that Eedom's in prison, and finally, her pre-trial case will push through.
<23>	Nito pa lang nagsimula ang mga pormal na pagdinig.	the formal hearings have just started.
<24>	Unang dininig ang kasong frustrated homicide na isinampa laban kay Ronilo Baes.	the case of frustrated homicide filed against Ronilo Baes was first heard.
<25>	Hindi sumipot ang opisyal ng Air Force na paksa ng reklamo at binaril diumano ni Ronilo.	official of Air Force, subject of complaint and allegedly shot by Ronilo, didn't come.
<26>	Sumunod naman ang pagbista sa illegal possession of explosives and ammunition na kasong isinampa sa kanilang tatlo.	caught with illegal possession of explosives and ammunition was the next case filed against the three.
<27>	Dahil maselan ang mga ebidensya, hindi ito ipinrisenta sa korte.	because the evidences are delicate, it wasn't presented at court.
<28>	Magkakaroon na lamang daw ng ocular inspection bago ang susunod na hearing sa Abril 25.	there will be an ocular inspection before the next hearing on April 25 instead.
<29>	Pagkatapos noon, ang susunod na hearing ay gaganapin sa Hunyo 13.	after that, the next hearing will be on June 13.
<30>	Ang kasunod sa hearing na iyon ay sa Agosto 22 pa.	the next hearing after that will be on August 22.
<31>	At iyon ay kung masunod lang ang mga iskedyul — at hindi mapo-postpone na gaya ng karaniwan sa loob ng dalawang taon naming pagsubaybay sa kanilang kaso.	and that's if the schedule will be followed - and not postponed like the usual, as what we have observed with the case, the past two years.
<32>	Hindi simpleng inip at bagot ang nararamdaman ko.	I don't feel just a simple impatience and boredom.
<33>	Hindi lang simpleng pagkasaid ng pinansya o pasensya ang aking pinagdaraanan.	not just a simple exhaustion of finance and patience is what I'm going through.
<34>	Habang binibilang ko ang bawat araw ng pagkakait ng kalayaan at katarungan para kay Freedom, hindi ko na matanaw ang daang matuwid na sinasabi ng Pangulo.	while I counted the days of freedom and justice deprived from Freedom, I can't see the right road the President says.
<35>	Mas lalong hindi ko maintidihan ang sinasabi niya na “Kayo ang boss ko!” habang ipinapahayag din ng pamahalaan na “Walang bilanggong pulitikal sa Pilipinas.”	what I can't really understand is his statement, "you are my boss!", while the government also says "there's no political prisoner in the Philippines."
<36>	Sa ilalim ni PNoy, mahigit 80 na ang inaresto at ibinilanggo nang walang kasalanan.	under PNoy, more than 80 people who had no offense were arrested and put to jail.
<37>	Mahigit 340 na ang patuloy na nakapiit at binabansagan ng pamahalaan na mga “kriminal,” dahil sa kanilang mga paniniwala at paninindigang pampulitika.	more than 340 are in jail and identified by the government as "criminals," because of their political stand and belief.
<38>	Ngayong buwan ay Buwan ng Kababaihan.	this month is Women's month.
<39>	Nitong Marso 8, ipinagdiwang ng mundo ang Araw ng Kababaihan.	last March 8, the world celebrated Women's day.
<40>	Ano nga ba ang dapat ipanawagan?	what do we really need to call for?
<41>	Ang alam ko lang ay may 36 na kababaihang bilanggong pulitikal sa bansa, kasama doon ang anak kong si Freedom, si Charity… si Vanessa..	what I know is we have 36 women political prisoners in the country, which includes my daughter, Freedom, Charity, Vanessa.
<42>	Dalawang taon na kaming nananawagan para sa kanilang kagyat na pagpapalaya.	it has been two years since we've been calling for their immediate freedom.
<43>	Ang alam ko lang ay may mahigit 340 bilanggong pulitikal sa buong Pilipinas.	what I know is we have more than 340 political prisoners in the Philippines.
<44>	Ang alam ko lang ay kaliwa’t kanan na ang mga panawagan upang igawad sa kanila ang inaasam na kalayaan.	what I know is it has been a left and right call for them to be given the freedom they've been looking forward to.
<45>	Ang alam ko lang ay dapat umalpas ang lahat sa dilim na kinasasadlakan natin sa ngayon.	what I know is everyone should be freed from the darkness we are trapped in now.
<46>	Freedom!	Freedom!
<47>	…Freedom… Sadyang totoo lamang ang salitang ito bilang palayaw ng aking anak.	Freedom! this word is only true to my daughter's nickname.
