<1>	Halaga ng Katapatan	worth of honesty
<2>	Limiin kung ano ang mensahe, at hindi ang hatulan kung sino ang nagsabi.	heed the message and do not judge the one who said it.
<3>	Bagama’t karamihan ng tao sa ngayon ay may pansariling hangarin sa kanilang gawain, ang iba naman ay lubhang makasarili at walang pakialam sa mangyayari.	although most people nowadays have their own personal desires, there are others who are very selfish and do not care about what will happen.
<4>	May matindi pa kung magpataw ng presyo sa kanilang mga serbisyo o produkto.	some overcharge the price of their service or products.
<5>	Mayroon pang pinapalitan ang mga materyales ng mababang kalidad at padaskol ang gawa.	there are those who replaces the materials with low quality ones and does sloppy work.
<6>	Kadalasan ay laging pagsasamantala at pandaraya ang isinusukli kahit na nagbabayad ka sa presyo na napagkasunduan.	oftentimes you will get abused and cheated in return even though you have paid the agreed price.
<7>	Isang magandang kapalaran sakali mang makatagpo ka ng isang manggagawa, karpintero, mekaniko, doktor, o negosyante na matapat ang paglilingkod sa kapwa.	it is very fortunate if you are able to meet a worker, carpenter, mechanic, doctor or a businessman who is honest in their work with others.
<8>	Isang lalaki na malapit nang ikasal ang nagtungo sa isang sikat na sastre, at hiniling na igawa siya ng terno mula sa telang dala niya.	a man who is soon to wed went to a well known tailor and asked if he could make a set of clothes for him with the clothing material he has.
<9>	Matapos sukatin ng sastre ang dalang tela ng lalaki ay malungkot na nagpahayag ito, “Ikinalulungkot ko ginoo, ang telang dala mo ay kulang sa sukat.	after the tailor has finished measuring the cloth he said sadly, "I am sorry mister, the cloth you brought is not enough."
<10>	Hindi ito magkakasya para gawing terno.”	it is not enough to produce a set."
<11>	Nagulat ang lalaki sa tinuran ng sastre, at madali nitong binalot muli ang tela at umiiling na lumabas ng tahian ng sastre.	the man was shocked with what the tailor has said and immediately took the cloth and went out the of tailor's shop while shaking his head.
<12>	Pauwi na siya sa bahay nang madaanan niya ang isang maliit na tahian.	he was on his way home when he passed by a small tailor's shop.
<13>	Mabilis na pumasok ito at tinanong ang nakaupong sastre kung maigagawa siya ng terno sa telang dala niya.	he quickly went inside and asked the tailor if he could make a set of clothes for him with the material he has.
<14>	Matapos sukatin ang tela, “Kasya po sa isang terno!” ang sagot ng sastre.	after measuring the cloth, "I could make you a set of clothes with this!" the tailor answered.
<15>	Isang linggo ang lumipas at nagbalik ang lalaki para tubusin ang kanyang terno.	a week passed and the man returned to pay for his set of clothes.
<16>	Matapos itong isuot at madamang sukat na sukat sa kanya ay madali nitong binayaran ang balanse.	he put on the clothes and he felt that the size was right for him so he quickly paid the remaining balance.
<17>	Subalit nang siya ay palabas na ng tahian, napansin niya ang isang batang lalaki na may suot na pantalon na katulad ng kanyang tela.	but when he was about to leave the shop, he noticed a young boy wearing a pair of pants with the same type of cloth he has.
<18>	Nang makita ng sastre ang pagkagitla ng lalaki ay nahihiya itong nagpaliwanag, “Pasensiya na po kayo, dahil sobra ang tela at naisip ko na wala na itong halaga pa sa inyo, kaya, ang ginawa ko ay itinahi ko ng isang pantalon ang aking batang anak.”	when the tailor saw how surprised the man was, he was embarrassed and explained, "please forgive me, because the cloth you brought was too much for a set of clothes and it would no longer be of use to you, I decided to make a pair of pants for my son."
<19>	Bagama’t nakaramdam ng galit ang lalaki sa kapangahasang ginawa ng sastre, nagpasensiya na lamang ito dahil sa magandang terno na ginawa para sa kanya.	even though the man felt a bit angry because of what the tailor did, he decided not to mind it at all because of the nice set of clothes he made for him.
<20>	Nagpuntang muli ang lalaki sa naunang sastre upang ipakita dito ang magandang terno na nagmula sa tela na tinanggihan nito, dahil ayon sa sastre na ito, ay kulang sa sukat.	the man went back to the first tailor to show him the beautiful set of clothes from the clothing material, which as per the tailor, was not enough.
<21>	Matamang tinignan ng sastre ang pagkakagawa ng terno, pinuna ang sukat at pagkakatahi, habang patuloy naman na ikinukuwento ng lalaki, na sa halip na kulang ang tela ay sumobra pa ito at nakatahi pa ng isang pantalon para sa isang bata.	the tailor took a closer look on how the clothes were made, he pointed out the size and how it was sewed while the man goes on telling him that instead of the material being short, the material was more than enough and was even able to make a pair of pants for a child out of the excess.
<22>	Hindi man lamang natigatig o kumurap ang sastre sa mga narinig sa lalaki, at mayabang na nangusap, “Walang kaduda-duda ginoo, talagang magkakasya ang sobra ng tela sa isang bata.	the first tailor was not even impressed and did not even blinked with what he heard from the man, and arrogantly replied, "no doubt mister, the material you had will have an excess for one child."
<23>	Para sa akin ito ay kulang sa sukat, dahil ang aking anak naman ay binata at 25 taong gulang na.”	"for me, this is lacking in size because my son is a young man and is already 25 years old."
