<1>	Arci, tabon na tabon ni Gelli By Alwin Ignacio	Arci, outshined by Gelli by Alwin Ignacio.
<2>	December 27, 2016	December 27, 2016
<3>	Mga dramang dapat mukhang mahihirap at dugyot ang mga bida pero ang nakakaloka, may mga kulay sa buhok, bangs at kaybibilugan ng mga fezlak at pwedeng lumaban sa palo-palo ang mga braso nila.	there are dramas where stars need to look poor and dirty, but what's mind-boggling is that their bangs and hair are dyed, their faces are plump, and their arms could pass for laundry paddles.
<4>	Buti naman at tinapos na ang nakakapagdabog ng bangs na Oh My Mama, na may chance na hindi man lang pinanood ni Maricel Soriano.	thank goodness they already ended the hair-raising Oh My Mama, which, chances are, was not even watched by Maricel Soriano.
<5>	Kung pinanood man niya, sure na dahil ­na-stress siya sa kanyang pinanood, nag-Shake, Body-Body Dancer na lamang siya.	if she did watch it, she surely got stressed with what she saw that she could not help but dance Shake, Body-Body Dancer.
<6>	Sa Magpahanggang Wakas, hindi pwedeng damsel in distress si Arci Muñoz.	in Until the End, Arci Muñoz cannot be a damsel in distress.
<7>	Lalong mahiya kayo kay Gelli de Belen ­dahil sa sobrang husay niya sa soap, kailangan ­siyang patayin at itapon sa ­building para hindi ­mahalata na tabon na tabon at lamon na lamon niya sa mga eksena si Muñoz.	you should be put to shame by Gelli de Belen because of her extraordinary talent in the soap, she had to be killed and thrown off a building so it won't be obvious that she is really outshining and overpowering Muñoz in the scenes.
<8>	NGAYONG Kapaskuhan na chaotic for some pero cheerful para sa nakakarami, hindi mapigilan ang paglapad ng balakang at pagtambok ng baby fats at belly… May we have less and less of these….	this Christmas, which is chaotic for some but cheerful for many, having wider hips and bulging baby fats and belly cannot be avoided. may we have less and less of these.
<9>	Mga dramang tungkol sa mga taong afflicted with mental illnesses na presented in full melodrama overload.	dramas about people afflicted with mental illnesses that are presented in full melodrama overload.
<10>	Buti na lang, magaga­ling ang mga artista rito.	thankfully, the actors here are good.
<11>	Kapwa kayo may sala, The Greatest Love and Someone To Watch Over Me.	you are both to blame, The Greatest Love and Someone To Watch Over Me.
<12>	Mga dramang may temang paghihiganti at laging mas matatalino at mas tuso ang kontrabida kesa sa bida.	dramas that have themes of revenge and the villain is always smarter and wiser than the hero.
<13>	Tama na, sobra na ang katangahan ng mga bida sa Doble Kara.	enough, the stupidity of the stars of Doble Kara is already too much.
<14>	Anong birtud meron ba si Ma­xene Magalona at lagi niyang natatakasan ang kapulisan at hustisya?	what kind of luck does Maxene Magalona have that she always evades the police and justice?
<15>	Less of commercials sa mga top-rating daytime at primetime shows.	less of commercials in top-rating daytime and primetime shows.
<16>	Kadalasan, mas marami pa ang advetisements.	usually there are more advertisements.
<17>	Parang 15 minutes na lang ang natitira sa programa.	it is as if only 15 minutes are left in the program.
<18>	Less of the artistas na lagi na lang pinasasa­lamatan ang kanilang mga hair & make up ex-deals, stylist and clothing sponsors tuwing nagpapaalam na sila sa musical variety shows.	less of the artists, who are always thanking their hair & make up ex-deals, stylist and clothing sponsors whenever they say goodbye in musical variety shows.
<19>	Less of balitang tungkol sa mga sawa, ahas at kung anu-ano pang kahayupan (especially rape, massacres) sa primetime news.	less news about backstabbers, traitors and other sorts of vile behavior (especially rape, massacres) on primetime news.
<20>	Less of Mocha Uson, Cynthia Patag, Teddy Locsin Jr.	less of Mocha Uson, Cynthia Patag, Teddy Locsin Junior
<21>	at ang mga hindi tactful at politically incorrect statements mula kay President Digong Duterte.	and tactless and politically incorrect statements from President Digong Duterte.
<22>	Less of the extra judicial killings, campaign on drugs, the obsession with the complicated relationships of Senadora Leila de Lima and the grandstanding and holier than thou attitude of some of the men in power during Congressional and Senate hearings na ang kiyeme latik ay in aide of legislation.	less of the extra-judicial killings, campaign on drugs, the obsession with the complicated relationships of Senator Leila de Lima and the grandstanding and holier than thou attitude of some of the men in power during Congressional and Senate hearings, who are pretending to be in aide of legislation.
<23>	Less traffic, electrical, telephone, food at basic services bills.	less traffic, electrical, telephone, food and basic services bills.
<24>	Less of the emotoda encarnacion of Kakai Bautista.	Less of the too much emotions of Kakai Bautista.
<25>	Marami ang humaha­nga sa iyong talento pero mas marami ang hindi sumasang-ayon sa ‘di mo pagkilos ayon sa iyong ganda.	many admire your talent but there are more who disapprove of how you aren't acting according to your beauty.
<26>	Less of the pa-tweetum stars lalo na ‘yung in their 20’s or young adult age na.	less of the stars who act cute, especially those who are in their 20's or are of young adult age.
<27>	You know who you are, hindi ko na kayo papa­ngalanan.	you know who you are. I will not name you anymore.
<28>	Mag-aral na lang ka­yong maging mahuhusay na aktres.	just learn to be good actresses.
<29>	Less of Xian Lim’s mabini, kahinhinan at prim and proper ways.	less of Xian Lim's modest, demure and prim and proper ways.
