<1>	‘Insider’ sa BFP hinahanting!	'insider' in BFP being haunted!
<2>	Posted by: Almar Danguilan	posted by: Almar Danguilan
<3>	on March 7, 2017	on March 7, 2017
<4>	in Opinion	in opinion
<5>	Leave a comment	leave a comment
<6>	NAKATATAWA ang pamunuan ng Quezon City Bureau of Fire Protection (BFP) sa hakbangin nila laban sa pagbubunyag natin kaugnay sa travel allowance ng mga Fire Safety Inspector (FSI).	the office of the Quezon City Bureau of Fire Protection (BFP) is hilarious in their efforts against us exposing the travel allowance for fire safety inspectors (FSI).
<7>	Nitong mga nagdaang linggo, tinalakay at tinatanong natin kung gaano katotoo ang isyu hinggil sa travel allowance para sa FSI na hindi (raw) napapasakamay ng mga FSI sa kabila ng pirmado sila sa voucher bilang patunay na natanggap ang allowance.	this past weeks, we have discussed and asked on how true is the issue regarding the travel allowance for FSIs that are not (allegedly) being given to the FSIs in spite of them signing the voucher as proof that they received their allowances.
<8>	Para sa kaalaman ng mga hindi nakasubaybay hinggil sa isyu, ang allowance para sa bawat FSI ay ibinibigay sa tuwing magsasagawa ang FSI ng inspeksyon sa mga establisiyemento.	for the information of those who have not been following the issue, the allowance for every FSI is given whenever the FSI will conduct an investigation on the establishments.
<9>	Sa bawat lakad at inspeksyon ng FSI sa bawat establisiyemento, ito ay may katumbas na P60.00 travel allowance.	in every errand and inspection of the FSI in every establishment, this has an equivalent of P60.00 travel allowance.
<10>	Kung titingnan ay maliit na bagay ang P60.00 pero kapag pagsama-samahin o susumahin ang allowance, aabot ito nang daang libo o milyon.	if you will look at it P60.00 is a small thing but if you will put them all together or sum up all the allowance, it will reach about hundred thousands or millions.
<11>	Halimbawa sa Lungsod Quezon, kung saka-ling 1,000 establisiyemento ang iinspeksiyonin sa loob ng isang araw, umaabot ang sumatotal ng allowance sa P60,0000.	for example in Quezon City, if 1,000 establishments will be inspected within one day, the total of the allowance will cost P60,000.
<12>	Ibig sabihin sa isang buwan ay…magkano?	meaning that for one month... how much is it?
<13>	Ang laki ‘di po ba?	it's big isn't it?
<14>	Pero hindi ko naman sinasabing practice ito sa QC – BFP at sa halip ay tinatanong natin kung gaano katotoo na naibubulsa ang travel allowance para sa mga FSI.	but I don't say that this is a practice in the QC-BFP and instead we are asking how true is that the travel allowances for FSIs are being pocketed.
<15>	Pero, wala naman kayang kinalaman ang BFP National Capital Regional Office hinggil sa travel allowance na ito?	but, does the BFP National Capital Regional Office have something to do regarding this travel allowance?
<16>	Anyway, nalaman din natin na okey lang sa FSI na hindi nila nakukuha ang kanilang allowance dahil ang kapalit pala ng nawalang P60.00 ay libo naman daw.	anyway, we will know if it is OK for the FSIs that they do not receive their allowances because the replacement of the missing P60.00 is a thousand as they say.
<17>	Oo, dahil hindi lang doble ang kapalit nito kundi 1,000 percent.	yes, because the replacement for it is not only double but 1,000 percent.
<18>	Saan nila kinukuha ang kapalit?	where do they get the replacement?
<19>	Sa mga sasalakayin nilang establisiyemento – kumikita sila nang P3,000 hanggang P5,000 o higit pa sa bawat establisiyemento na pinalalabas nilang may nilabag sa fire code.	from their target establishments - they earn P3,000 up to P5,000 or even more in every establishment that they will falsely accuse of violating the fire code.
