<1>	Tanauan City, handang handa na sa pagdiriwang ng 444th Foundation at 15th Cityhood Day	Tanauan City, extremely ready for the celebration of the 444th Foundation and 15th Cityhood Day
<2>	February 05, 2016	February 05, 2016
<3>	LUNGSOD NG TANAUAN, Batangas, Peb. 5 (PIA) –Isang makulay at engrandeng selebrasyon ang inihanda ng pamahalaang lungsod, sa pangunguna ni Tanauan City Mayor Antonio C. Halili at mga miyembro ng Sangguniang Panlungsod, para sa nalalapit na pagdiriwang ng ika-444 anibersaryo ng pagkakatatag ng lungsod na ito at ika-15 taon ng “cityhood” sa darating na Marso 10, 2016.	City of Tanauan, Batangas, February 5 (PIA) -the provincial government, headed by Tanauan City Mayor Antonio C. Halili and members of the city council, have prepared a colorful and grand celebration for the approaching celebration of the 444th anniversary of the foundation of this city and 15th year of "cityhood" this coming March 10, 2016.
<4>	Mag-uumpisa ang isang linggong pagdiriwang sa pag-arangkada ng ikatlong yugto (3rd leg) ng Solar Sports Paddles Up - Philippine Dragon Boat Tour sa Marso 5.	the one-week celebration will start with the surge of the third leg (3rd leg) of the Solar Sports Paddles Up - Philippine Dragon Boat Tour on March 5.
<5>	Isasagawa ang nasabing kumpetisyon sa Lawa ng Taal na nasasakupan ng mga barangay ng Wawa at Boot nalalahukan ng mga batikang mananagwan mula pa sa ibat-ibang panig ng bansa at pangangasiwaan ng Philippine Canoe-Kayak Federation (PCKF).	the said competition will be held in the Taal Lake that is part of barangays Wawa and Boot and will be joined by veteran rowers from different parts of the country and be handled by the Philippine Canoe-Kayak Federation (PCKF).
<6>	Samantala, isa namang “royal enthronement ceremony” ang nakatakdang isagawasa Marso 10 ng Royal Houses of Sultanate of Batangas (RHSB) – isang “Independent Sultanate Entity” na ibinatay sa istraktura ng politikal ng sinaunang Sultanate of Bonbon (ang kasalakuyang Lalawigan ng Batangas) na umiral bago pa man dumating ang mga Kastila – para sa mga natatangi at kinikilalang lider ng lungsod.	meanwhile, one "royal enthronement ceremony" is set to be held on March 10 in the Royal Houses of Sultanate of Batangas (RHSB) - an "independent sultanate entity" that is based on the political structure of the ancient Sultanate of Bonbon (currently the Province of Batangas) that prevailed even before the arrival of the Spanish - for the outstanding and recognized leaders of the city.
<7>	Nangunguna sa gagawaran ng maharlikang titulo si Mayor Antonio C.	first to be awarded with a royal title is Mayor Antonio C.
<8>	Halili bilang “Sultan A Pangadapun Sa Batangas”, na ang ibig sabihin ay “Ang Sultan Na Igagalang Sa Batangas”.	Halili as "Sultan A Pangadapun Sa Batangas," which means "the sultan that will be respected in Batangas".
<9>	Kasama rin sa pararangalan sina Vice Mayor Atty. Jhoanna C. Corona bilang “Bai A Labi Sa Tanauan”; ABC President Polmark L. Fajardo (“Datu A Sangkopan Sa Tanauan”); Tanauan Muslim Consultative Council Chairman Engr. Malic A. Ali (“Sultan Sa Tanauan”); Kapitan Wilfredo P.	also included in the awardees are Vice Mayor Attorney Jhoanna C. Corona as "Bai A Labi Sa Tanauan"; ABC President Polmark L. Fajardo ("Datu A Sangkopan Sa Tanauan"); Tanauan Muslim Consultative Council chairman Engineer Malic A. Ali ("Sultan Sa Tanauan"); Captain Wilfredo P.
<10>	Ablaong Darasa (“Datu Sa Darasa”); Kapitan Cesar P. De Villa ng Sambat (“Datu Sa Sambat”); Alyodin Casim ng Tanauan Muslim Traders Association (“Datu A Cabugatan”); at, Johari Abdullah ng Tanauan Da’Wah Association (“Datu A Romapunut”).	Ablaong Darasa ("Datu Sa Darasa"); Captain Cesar P. De Villa of Sambat ("Datu Sa Sambat"); Alyodin Casim of Tanauan Muslim Traders Association ("Datu A Cabugatan"); and, Johari Abdullah of Tanauan Da'Wah Association ("Datu A Romapunut").
<11>	Dadaluhan ang nasabing seremonya ng mga matataas na lider mula sa ibat-ibang “Sultanate” sa buong bansa at magingngilang opisyal ng embahada ng mga bansang Brunei, Indonesia at Malaysia.	the said ceremony will be attended by high-ranking leaders from different "sultanates" in the whole country and some officials of the embassy of the countries of Brunei, Indonesia and Malaysia.
