<1>	UNTI-UNTING NAGIGIBA ANG DAANG MATUWID TSK! TSK! TSK!	the straight path is slowly breaking down.
<2>	ANO na ang nangyayari sa Matuwid na Daan?	What has happened to the Righteous Path?
<3>	Unti-unti yata itong nagigiba.	it seems to be falling apart.
<4>	Nagigiba sa sarili nitong kalawang at hindi kinakailangang siraan para tuluyang magiba.	It's falling apart in its own rust and it doesn't need to be broken for it to completely fall apart.
<5>	Aba dalawang matataas na opisyal at pinuno ng mahahalagang ahensya ng pamahalaan, parekoy, ang sentro ng usapan sa kasalukuyan.	well, dude, two high-ranking officials and leaders of important government agencies are currently the hot topic.
<6>	Una, ukol kay Arthur Juan na boss ng National Food Authority.	first, about Arthur Juan, boss of the National Food Authority.
<7>	Nangikil umano si Juan at ang kasanggga nitong si Atty. Patricia Galang ng halagang P15-milyon mula sa nahuli umanong mandurugas sa bigas.	Juan and his ally, Attorney Patricia Galang, allegedly extorted 15 million pesos from an alleged rice hoarder who was caught.
<8>	Sa raid nina Juan, kasama sina Interior Secretary Mar Roxas at Agriculture Modernization Secretary Kiko Pangilinan, natagpuan umano ang 32,000 kabang bigas ni Jomerito “Jojo” Soliman sa Bulacan na may halong feeds o pampakain sa mga hayup pero ibinebentang magandang uri ng bigas.	during the raid of Juan, along with Interior Secretary Mar Roxas and Agriculture Modernization Secretary Kiko Pangilinan, Jomerito "Jojo" Soliman's 32,000 sacks of rice, which were mixed with animal feeds but were being sold as high quality rice, were allegedly found in Bulacan.
<9>	Sabi ng NBI, may pruweba sa cellphone at text messages ni Juan na nangikil ito kay Soliman kapalit ng hindi pagsasampa ng kaso rito at pagbabalik ng lisensya na makapagnegosyo muli ito?	The NBI says that there is proof in Juan's cellphone and text messages that he asked for money from Soliman in exchange for not pressing charges and returning his business license.
<10>	Ikalawa, dalawang kasong pandarambong naman ang isinampa laban kay PNP chief Alan Purisima batay sa mga hindi maliwanag na yaman nito.	second, two plunder cases were filed against PNP Chief Alan Purisima based on his unclear properties.
<11>	Hindi maliwanag dahil payak na impormasyon lang ang nakalagay sa Statement of Assets, Liabilities ang Networth nito ukol sa mahabang listahan ng mga ari-arian nito.	they were unclear because only limited information regarding his long list of properties was given in his Statement of Assets, Liabilities and Net Worth.
<12>	Ang natatandaan natin, mismong si Pangulong Noynoy ang nag-utos sa imbestigasyon kay Juan at lagi namang sinasabi nitong hayaan ang katotohanan na lumabas sa mga imbestigasyon, kabilang na ang mga isinasagawa laban sa kanyang mga KKK.	as we recall, President Noynoy himself ordered the investigation on Juan and he always said the truth would come out of the investigation, including those being carried out against his KKK.
<13>	Para sa akin, parekoy, bigyan natin ng benefit of doubt si PNoy.	for me, my man, let's give PNoy the benefit of the doubt.
<14>	Malay nating sa kabila ng pagtatanggol niya sa kanyang mga tauhan, eh, naririyan din ang pagtanggap niya ng katotohanang mayroon ding hindi tumatahak sa Matuwid na Daan?	who knows? despite defending his staff, there is also his acceptance of the truth that there are really those who don't follow the righteous path.
<15>	Kung nagagawa niyang i-expose ang kanyang mga kalaban sa pOlitika, magagawa rin niya ito sa hanay ng kanyang mga kasangga.	if he can expose his political enemies, he can also do the same to his allies.
